seed,block_size,threshold,num_params,initial_val_accuracy,initial_val_loss,val_accuracy,val_loss,val_loss_drop,test_accuracy,total_fires,fire_epoch_fraction,train_forward_calls,total_forward_calls,train_forward_examples,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_capacity,counter_count,counter_saturated_count,counter_saturated_fraction,counter_saturation_update_count,counter_peak_abs_during_accumulation,layer_0_fires,layer_1_fires
0,1,4,100000,0.113,2.4033251953125,0.41,1.9779898681640624,0.4253353271484377,0.4194,1732,0.5773333333333334,384000,384017,49152000,-64,64,-0.09707776126795443,64,21.655274888558694,127,4038,0,0.0,0,64,1526,206
1,1,4,100000,0.129,2.439138427734375,0.304,2.04685205078125,0.3922863769531246,0.2795,1728,0.576,384000,384017,49152000,-64,64,-1.8663857213683688,64,20.860436291522063,127,4034,0,0.0,0,64,1545,183
2,1,4,100000,0.061,2.441544921875,0.388,2.04944091796875,0.3921040039062498,0.3678,1704,0.568,384000,384017,49152000,-64,64,-0.696151924037981,64,21.322838580709647,127,4002,0,0.0,0,64,1526,178
0,1,8,100000,0.113,2.4033251953125,0.414,1.9872613525390626,0.41606384277343755,0.4171,1470,0.49,384000,384017,49152000,-64,64,-0.03811881188118812,64,21.645049504950496,127,4040,0,0.0,0,64,1295,175
1,1,8,100000,0.129,2.439138427734375,0.291,2.054718505859375,0.38441992187499974,0.2711,1485,0.495,384000,384017,49152000,-64,64,-1.7985611510791366,64,20.927313321756387,127,4031,0,0.0,0,64,1312,173
2,1,8,100000,0.061,2.441544921875,0.365,2.059435791015625,0.3821091308593747,0.3537,1468,0.48933333333333334,384000,384017,49152000,-64,64,-0.6849075462268865,64,21.326586706646676,127,4002,0,0.0,0,64,1308,160
0,1,16,100000,0.113,2.4033251953125,0.381,2.0135115966796877,0.3898135986328124,0.3893,1093,0.36433333333333334,384000,384017,49152000,-64,64,0.07202970297029702,64,21.820544554455445,127,4040,0,0.0,0,64,947,146
1,1,16,100000,0.129,2.439138427734375,0.242,2.0881796875,0.350958740234375,0.2295,1085,0.3616666666666667,384000,384017,49152000,-64,64,-1.7066699727250185,64,21.10662038184974,127,4033,0,0.0,0,64,948,137
2,1,16,100000,0.061,2.441544921875,0.316,2.093675537109375,0.3478693847656249,0.3054,1069,0.35633333333333334,384000,384017,49152000,-64,64,-0.5981028457314029,64,21.389415876185723,127,4006,0,0.0,0,64,944,125
0,8,4,100000,0.113,2.4033251953125,0.733,1.3166771240234374,1.0866480712890627,0.7445,2962,0.9873333333333333,384000,384017,49152000,-64,64,-0.12408872826967413,64,8.065954265063244,127,32098,0,0.0,0,64,2422,540
1,8,4,100000,0.129,2.439138427734375,0.749,1.3539178466796875,1.0852205810546873,0.7365,2954,0.9846666666666667,384000,384017,49152000,-64,64,-0.15331508894141063,64,8.11910685408633,127,32156,0,0.0,0,64,2414,540
2,8,4,100000,0.061,2.441544921875,0.749,1.3425849609375,1.0989599609374998,0.7643,2945,0.9816666666666667,384000,384017,49152000,-64,64,-0.15374540011226845,64,8.112954531279236,127,32066,0,0.0,0,64,2358,587
0,8,8,100000,0.113,2.4033251953125,0.736,1.333701416015625,1.069623779296875,0.7427,2695,0.8983333333333333,384000,384017,49152000,-64,63,-0.12577364476098654,64,8.03993406525052,127,32153,0,0.0,0,64,2188,507
1,8,8,100000,0.129,2.439138427734375,0.729,1.3685740966796875,1.0705643310546873,0.726,2689,0.8963333333333333,384000,384017,49152000,-64,63,-0.15890172692259907,64,8.10318051931917,127,32196,0,0.0,0,64,2152,537
