seed,split,method,accuracy,loss
0,validation,FP32,0.949,0.19198719787597657
0,validation,PTQ_A3,0.106,2.303657470703125
0,validation,QAT_A3,0.085,2.302585205078125
0,test,FP32,0.9446,0.22540433654785155
0,test,PTQ_A3,0.1094,2.3057892822265624
0,test,QAT_A3,0.098,2.3025851440429688
1,validation,FP32,0.932,0.2689627075195313
1,validation,PTQ_A3,0.097,2.303184326171875
1,validation,QAT_A3,0.085,2.302585205078125
1,test,FP32,0.9336,0.26261580047607425
1,test,PTQ_A3,0.0979,2.3051291748046876
1,test,QAT_A3,0.098,2.3025851440429688
2,validation,FP32,0.951,0.19582730102539062
2,validation,PTQ_A3,0.105,2.304169921875
2,validation,QAT_A3,0.133,2.15873779296875
2,test,FP32,0.9385,0.25307254867553713
2,test,PTQ_A3,0.1013,2.30651005859375
2,test,QAT_A3,0.1216,2.1738252685546877
