condition,step,layer,seeds,relative_squared_error_mean,relative_squared_error_sample_std,cosine_mean_valid_mean,cosine_mean_valid_sample_std
E18a,0,0,3,4.652780117705896e-05,0.0,0.9999797303468754,0.0
E18a,0,1,3,3.6009367159669144e-05,2.501967096358998e-06,0.9999822095954896,1.2384533784190047e-06
E18a,0,10,3,2.9758561137918692e-05,3.072211887040387e-06,0.9999854798847674,1.5181631242887637e-06
E18a,0,11,3,3.382855064078176e-05,1.0067291244895313e-06,0.9999832885536784,5.014589540698422e-07
E18a,0,12,3,3.289366263236174e-05,2.415643694737711e-06,0.9999839857074699,1.0777458379635176e-06
E18a,0,13,3,3.657850833397207e-05,2.594790819180579e-06,0.9999819247373618,1.2772839987348407e-06
E18a,0,14,3,2.9774996664980923e-05,3.119509802519084e-07,0.9999854254292913,1.5584920576436172e-07
E18a,0,15,3,3.75792884510682e-05,2.805374517961483e-06,0.9999814212575799,1.4000191264210229e-06
E18a,0,16,3,2.9409682878608633e-05,1.6794372872012345e-06,0.9999856502197211,8.015103491555776e-07
E18a,0,17,3,3.5585117277960495e-05,1.6422862401350585e-06,0.9999824268354869,8.108417952075245e-07
E18a,0,18,3,3.053248849969312e-05,3.4139439144267465e-06,0.999985211749744,1.6298992015978937e-06
E18a,0,19,3,3.468699024236779e-05,4.545899265827525e-07,0.9999828615708659,2.3231759685849552e-07
E18a,0,2,3,2.9207875363285777e-05,7.37103011418397e-07,0.9999857361381527,3.708546254668485e-07
E18a,0,20,3,3.1111948468595425e-05,2.6471499473357923e-06,0.9999847688077481,1.2775810234747238e-06
E18a,0,21,3,3.7061267273755994e-05,3.6199061957401607e-06,0.9999816906358165,1.7845473951801943e-06
E18a,0,22,3,2.6584025619426012e-05,5.163458802186861e-07,0.9999870682628612,2.7278573633364203e-07
E18a,0,23,3,3.680350447714428e-05,4.803637522902312e-06,0.9999818189225805,2.3748210515636017e-06
E18a,0,24,3,3.1128726419258944e-05,5.374837529186853e-06,0.999984824491575,2.68492385518884e-06
E18a,0,25,3,3.8711975364460994e-05,5.258170479899026e-06,0.9999808669025706,2.6073211687604384e-06
E18a,0,26,3,3.077654755663677e-05,2.7965286326941485e-06,0.9999849873127887,1.3532692589295336e-06
E18a,0,27,3,3.854178951301209e-05,5.0865935212858036e-06,0.9999809766345519,2.507645286639303e-06
E18a,0,28,3,2.74391202041999e-05,4.2400418335999527e-07,0.9999866162641586,2.2671961436385823e-07
E18a,0,29,3,3.6297042500558575e-05,2.9991559933098048e-06,0.9999820627950964,1.47977971761744e-06
E18a,0,3,3,3.6591976408236235e-05,1.5451790680162257e-06,0.9999819203326655,7.670800858725946e-07
E18a,0,30,3,2.971706477822786e-05,2.6173747181577693e-06,0.9999854834958458,1.2197936225076733e-06
E18a,0,31,3,3.5107701396540994e-05,1.7260713116160645e-06,0.9999826601417112,8.554517548402466e-07
E18a,0,32,3,2.7325900886220976e-05,1.1218635985773625e-06,0.9999865541548238,5.783115560703616e-07
E18a,0,33,3,3.46462588618121e-05,2.7338233197440274e-06,0.9999828839791812,1.3529358262341323e-06
E18a,0,4,3,3.2293842904711805e-05,4.808572287825653e-06,0.999984190906987,2.4495116349600247e-06
E18a,0,5,3,3.487819519163393e-05,2.538224433042098e-06,0.999982768747528,1.2669367073587406e-06
E18a,0,6,3,2.860381835984724e-05,2.2046931663769655e-06,0.9999860381548471,1.0184203787363123e-06
E18a,0,7,3,3.840987796656076e-05,3.3480039015243765e-06,0.999981032374588,1.6676904804602111e-06
E18a,0,8,3,2.8431673890981682e-05,3.091707750613186e-06,0.9999861127953321,1.5683604046213415e-06
E18a,0,9,3,3.4098130863905546e-05,1.6653354981172977e-06,0.9999831672910074,8.16816820383552e-07
E18a,1000,0,3,4.652780117705896e-05,0.0,0.9999797303468754,0.0
E18a,1000,1,3,3.5941720316951147e-05,2.3842858964361054e-06,0.9999822421053008,1.1688475666378174e-06
E18a,1000,10,3,3.071955747226199e-05,1.1316343318282214e-06,0.9999850347119766,5.185730805221576e-07
E18a,1000,11,3,3.416237089484064e-05,1.8368585372986846e-06,0.9999831302949891,9.011090816223523e-07
E18a,1000,12,3,3.288780817245583e-05,3.750112769932239e-06,0.9999839874125452,1.7441672285048525e-06
E18a,1000,13,3,3.7004882543221067e-05,1.0406202493409017e-06,0.9999817105436367,5.173448910941656e-07
E18a,1000,14,3,3.121945121209101e-05,3.487346585943189e-06,0.999984831725843,1.6862779594736276e-06
E18a,1000,15,3,3.765095174366333e-05,1.165530625066504e-06,0.9999813923621673,5.852494261604629e-07
E18a,1000,16,3,2.9593627422492717e-05,5.75040725301632e-07,0.999985553954484,1.7649337949551667e-07
E18a,1000,17,3,3.5431543405789204e-05,1.6155077461508794e-06,0.9999824951809071,7.987051690543199e-07
E18a,1000,18,3,3.054200289797456e-05,1.8947912427823504e-06,0.9999851009825463,1.0698328121881905e-06
E18a,1000,19,3,3.443131893572977e-05,2.283482162332247e-06,0.9999829896016607,1.13279675056681e-06
E18a,1000,2,3,2.9263884936305062e-05,1.3877017268783649e-06,0.9999856938425828,7.089952157848611e-07
E18a,1000,20,3,2.8226145847399056e-05,3.3738577393270086e-06,0.9999861303678078,1.4926665103156686e-06
E18a,1000,21,3,3.698715638140325e-05,1.0343700528005484e-06,0.9999817332988434,5.199270021580988e-07
E18a,1000,22,3,2.676831104933807e-05,1.6667328668282056e-06,0.9999869468905996,8.486946396293446e-07
E18a,1000,23,3,3.534565370866179e-05,1.7879872249012834e-07,0.999982547759336,7.932862201619252e-08
E18a,1000,24,3,2.9797687102507635e-05,4.311655943964916e-06,0.9999855626400862,2.102422925612556e-06
E18a,1000,25,3,3.530596820327214e-05,8.028053702346835e-07,0.9999825416387625,4.0009967691128445e-07
E18a,1000,26,3,3.180963484390973e-05,6.0092542863918076e-06,0.9999844531335607,2.9073078671020335e-06
E18a,1000,27,3,3.668009197579397e-05,2.1440593636109564e-06,0.9999818815642701,1.0509765147640198e-06
E18a,1000,28,3,2.78187698102899e-05,5.056123296110535e-07,0.9999863733831375,2.3686168146165842e-07
E18a,1000,29,3,3.508479208007998e-05,8.266677649383364e-07,0.9999826654080145,4.103873874977476e-07
E18a,1000,3,3,3.72089041392467e-05,1.8594485275490926e-06,0.999981616550351,9.184972528767893e-07
E18a,1000,30,3,3.0128894430381854e-05,2.7795372533732723e-06,0.9999853277234372,1.3658365096765063e-06
E18a,1000,31,3,3.329078554215747e-05,1.9286676444508754e-06,0.9999835611684733,9.399770977512068e-07
E18a,1000,32,3,3.0102516078265782e-05,2.3973591950769678e-06,0.9999852009009021,9.82230315191493e-07
E18a,1000,33,3,3.377595310657066e-05,3.1125226793903687e-06,0.9999833151532345,1.5406743633720207e-06
E18a,1000,4,3,3.0339569221649324e-05,3.847926465076925e-06,0.9999851568699749,1.8734950246887791e-06
E18a,1000,5,3,3.6040840525767545e-05,2.667511781849875e-06,0.9999821967476108,1.3242491638710932e-06
E18a,1000,6,3,3.0714728602812683e-05,1.6202134210594313e-06,0.99998500664331,7.381000595724023e-07
E18a,1000,7,3,3.8002660856818026e-05,2.509139489826306e-06,0.9999812196658154,1.2440353290738566e-06
E18a,1000,8,3,2.8788152424003455e-05,3.493580180791788e-06,0.999985889670563,1.7793495837033048e-06
E18a,1000,9,3,3.537151242745834e-05,1.4048602954144845e-06,0.9999825313554528,6.970479221368234e-07
E18a,10000,0,3,4.652780117705896e-05,0.0,0.9999797303468754,0.0
E18a,10000,1,3,3.6436011397825414e-05,2.974158975640242e-06,0.9999820072940107,1.4767830617377859e-06
E18a,10000,10,3,3.113341173014943e-05,4.29107747918634e-07,0.9999847701912455,3.6074785132208474e-07
