condition,seed,layer,matrix,parameters,fires,selected_intervals,fire_intervals,selected_coordinates,all_interval_firing_rate,selected_interval_firing_rate
E18a,0,0,W_in,6840,458,5186,458,6746,0.03816666666666667,0.08831469340532203
E18a,0,1,block0.W1,5776,383,4575,383,5740,0.03191666666666667,0.08371584699453552
E18a,0,2,block0.W2,5776,326,4608,326,5820,0.027166666666666665,0.07074652777777778
E18a,0,3,block1.W1,5776,340,4697,340,5865,0.028333333333333332,0.07238662976367895
E18a,0,4,block1.W2,5776,345,4646,345,5803,0.02875,0.07425742574257425
E18a,0,5,block2.W1,5776,343,4759,343,5984,0.028583333333333332,0.07207396511872242
E18a,0,6,block2.W2,5776,327,4674,327,5811,0.02725,0.0699614890885751
E18a,0,7,block3.W1,5776,356,4750,356,5941,0.029666666666666668,0.07494736842105264
E18a,0,8,block3.W2,5776,312,4532,312,5653,0.026,0.06884377758164166
E18a,0,9,block4.W1,5776,321,4651,321,5794,0.02675,0.06901741560954633
E18a,0,10,block4.W2,5776,293,4611,293,5759,0.024416666666666666,0.06354369984818911
E18a,0,11,block5.W1,5776,321,4606,321,5659,0.02675,0.06969170646982197
E18a,0,12,block5.W2,5776,316,4614,316,5764,0.026333333333333334,0.06848721283051581
E18a,0,13,block6.W1,5776,329,4589,329,5751,0.027416666666666666,0.07169317934190456
E18a,0,14,block6.W2,5776,287,4599,287,5710,0.023916666666666666,0.0624048706240487
E18a,0,15,block7.W1,5776,295,4585,295,5704,0.024583333333333332,0.064340239912759
E18a,0,16,block7.W2,5776,335,4596,335,5734,0.027916666666666666,0.07288946910356832
E18a,0,17,block8.W1,5776,294,4601,294,5750,0.0245,0.063899152358183
E18a,0,18,block8.W2,5776,283,4671,283,5823,0.023583333333333335,0.06058659815885249
E18a,0,19,block9.W1,5776,287,4641,287,5732,0.023916666666666666,0.06184012066365008
E18a,0,20,block9.W2,5776,285,4594,285,5706,0.02375,0.062037440139312144
E18a,0,21,block10.W1,5776,297,4613,297,5703,0.02475,0.06438326468675483
E18a,0,22,block10.W2,5776,277,4571,277,5705,0.023083333333333334,0.060599431196674686
E18a,0,23,block11.W1,5776,308,4560,308,5677,0.025666666666666667,0.06754385964912281
E18a,0,24,block11.W2,5776,327,4665,327,5866,0.02725,0.07009646302250803
E18a,0,25,block12.W1,5776,289,4483,289,5605,0.024083333333333335,0.06446575953602499
E18a,0,26,block12.W2,5776,318,4598,318,5745,0.0265,0.06916050456720313
E18a,0,27,block13.W1,5776,335,4614,335,5742,0.027916666666666666,0.07260511486779367
E18a,0,28,block13.W2,5776,338,4654,338,5783,0.028166666666666666,0.07262569832402235
E18a,0,29,block14.W1,5776,316,4609,316,5692,0.026333333333333334,0.06856151008895639
E18a,0,30,block14.W2,5776,322,4723,322,5872,0.026833333333333334,0.06817700614016516
E18a,0,31,block15.W1,5776,291,4586,291,5700,0.02425,0.06345399040558221
E18a,0,32,block15.W2,5776,364,4735,364,5890,0.030333333333333334,0.07687434002111933
E18a,0,33,W_out,760,97,751,97,771,0.008083333333333333,0.12916111850865514
E18a,1,0,W_in,6840,429,5261,429,6827,0.03575,0.08154343280745105
E18a,1,1,block0.W1,5776,339,4627,339,5749,0.02825,0.07326561486924574
E18a,1,2,block0.W2,5776,361,4623,361,5770,0.030083333333333333,0.07808782176076141
E18a,1,3,block1.W1,5776,323,4680,323,5784,0.026916666666666665,0.06901709401709402
E18a,1,4,block1.W2,5776,328,4682,328,5872,0.027333333333333334,0.07005553182400684
E18a,1,5,block2.W1,5776,327,4607,327,5748,0.02725,0.07097894508356849
E18a,1,6,block2.W2,5776,300,4602,300,5718,0.025,0.0651890482398957
E18a,1,7,block3.W1,5776,342,4666,342,5761,0.0285,0.0732961851693099
E18a,1,8,block3.W2,5776,324,4603,324,5707,0.027,0.07038887681946557
E18a,1,9,block4.W1,5776,332,4677,332,5820,0.027666666666666666,0.07098567457772076
E18a,1,10,block4.W2,5776,300,4632,300,5789,0.025,0.06476683937823834
E18a,1,11,block5.W1,5776,327,4614,327,5747,0.02725,0.07087126137841353
