condition,layer,matrix,parameters,seeds,fires_mean,fires_sample_std,all_interval_firing_rate_mean,all_interval_firing_rate_sample_std,selected_interval_firing_rate_mean,selected_interval_firing_rate_sample_std
E18a,0,W_in,6840,3,432.0,24.63736998950984,0.036,0.0020531141657924874,0.08257279884483133,0.005302681994228665
E18a,1,block0.W1,5776,3,369.6666666666667,26.63331247391757,0.030805555555555558,0.002219442706159798,0.07968664494080796,0.005620717820553156
E18a,10,block4.W2,5776,3,300.0,7.0,0.025,0.0005833333333333333,0.0649394460621887,0.0014895689600932392
E18a,11,block5.W1,5776,3,316.0,14.177446878757825,0.026333333333333334,0.0011814539065631512,0.06865506384128016,0.0028781181878387014
E18a,12,block5.W2,5776,3,314.0,22.06807649071391,0.026166666666666668,0.0018390063742261585,0.067297251963819,0.005561215068417796
E18a,13,block6.W1,5776,3,332.3333333333333,8.504900548115382,0.027694444444444445,0.0007087417123429499,0.07161840093237598,0.0012331234167840832
E18a,14,block6.W2,5776,3,315.0,27.51363298439521,0.02625,0.0022928027486996015,0.06798234467261269,0.006098205833055484
E18a,15,block7.W1,5776,3,311.6666666666667,17.55942292142123,0.025972222222222223,0.00146328524345177,0.06826679516606997,0.0040597974056634355
E18a,16,block7.W2,5776,3,312.0,19.924858845171276,0.026,0.0016604049037642723,0.06745779442822789,0.004704337043751315
E18a,17,block8.W1,5776,3,313.3333333333333,19.5021366350801,0.026111111111111113,0.0016251780529233414,0.06768602866972898,0.004122814911872309
E18a,18,block8.W2,5776,3,303.0,17.435595774162696,0.02525,0.001452966314513557,0.06571080603941909,0.004440090524499754
E18a,19,block9.W1,5776,3,312.3333333333333,21.96208854670551,0.026027777777777778,0.0018301740455587924,0.06736459524949576,0.004785959777895992
E18a,2,block0.W2,5776,3,338.3333333333333,19.655363983740756,0.028194444444444446,0.0016379469986450633,0.07322556071731004,0.0042111140429380856
E18a,20,block9.W2,5776,3,294.6666666666667,15.044378795195676,0.024555555555555556,0.0012536982329329725,0.06376156799704792,0.0025075689590379198
E18a,21,block10.W1,5776,3,302.3333333333333,5.033222956847166,0.025194444444444446,0.0004194352464039298,0.0662875479470409,0.0019043250102833403
E18a,22,block10.W2,5776,3,281.3333333333333,18.876793513023692,0.023444444444444445,0.0015730661260853077,0.061179635392667846,0.003114764772299556
E18a,23,block11.W1,5776,3,310.6666666666667,2.516611478423583,0.02588888888888889,0.0002097176232019649,0.06745422028535224,0.00039131600925645856
E18a,24,block11.W2,5776,3,328.3333333333333,15.044378795195676,0.02736111111111111,0.0012536982329329725,0.07078957479291295,0.0027190265175538585
E18a,25,block12.W1,5776,3,306.0,21.37755832643195,0.025500000000000002,0.0017814631938693286,0.06620693693771242,0.002918430313606171
E18a,26,block12.W2,5776,3,306.3333333333333,30.237945256470937,0.025527777777777778,0.002519828771372577,0.06553817144455783,0.0072824448219673535
E18a,27,block13.W1,5776,3,319.6666666666667,14.571661996262929,0.02663888888888889,0.0012143051663552446,0.06875906479174702,0.0035305604653835757
E18a,28,block13.W2,5776,3,321.6666666666667,20.984120980716188,0.026805555555555555,0.001748676748393016,0.0695705557879597,0.004187937202791028
E18a,29,block14.W1,5776,3,309.6666666666667,26.083200212652844,0.025805555555555554,0.0021736000177210706,0.06759212923110675,0.004996570846592026
E18a,3,block1.W1,5776,3,333.3333333333333,9.073771725877465,0.027777777777777776,0.0007561476438231222,0.07171517269716503,0.0024328664493311024
E18a,30,block14.W2,5776,3,311.6666666666667,9.073771725877465,0.025972222222222223,0.0007561476438231222,0.06732621221201884,0.0007576259687797982
E18a,31,block15.W1,5776,3,308.0,18.083141320025124,0.025666666666666667,0.0015069284433354268,0.06672386497725845,0.003291417435334194
E18a,32,block15.W2,5776,3,329.3333333333333,34.01960219246153,0.027444444444444445,0.002834966849371794,0.07097706627353156,0.0062143298240164725
E18a,33,W_out,760,3,90.0,8.18535277187245,0.0075,0.0006821127309893707,0.12138076958138336,0.01128836074707958
E18a,4,block1.W2,5776,3,336.3333333333333,8.504900548115382,0.02802777777777778,0.0007087417123429486,0.07219552159798061,0.002102035002054015
E18a,5,block2.W1,5776,3,333.0,8.717797887081348,0.02775,0.0007264831572567786,0.07104746204300195,0.000994017237574944
E18a,6,block2.W2,5776,3,310.3333333333333,14.571661996262929,0.025861111111111112,0.0012143051663552438,0.06667487679052597,0.0028506428208847612
E18a,7,block3.W1,5776,3,343.0,12.529964086141668,0.028583333333333336,0.0010441636738451388,0.072984980015416,0.002135069621385426
E18a,8,block3.W2,5776,3,312.6666666666667,11.015141094572204,0.026055555555555554,0.0009179284245476834,0.06786127190172571,0.0031364773583612443
E18a,9,block4.W1,5776,3,325.3333333333333,5.8594652770823155,0.02711111111111111,0.0004882887730901929,0.06998731264129754,0.0009844381796477919
E18b,0,W_in,6840,3,302.6666666666667,4.932882862316247,0.025222222222222222,0.0004110735718596862,0.07854409699995495,0.0006627055941962678
E18b,1,block0.W1,5776,3,279.6666666666667,11.590225767142472,0.023305555555555555,0.0009658521472618719,0.08264770704554919,0.004929637708749847
E18b,10,block4.W2,5776,3,220.0,8.18535277187245,0.018333333333333333,0.0006821127309893718,0.06475063353740479,0.0011650617802344298
E18b,11,block5.W1,5776,3,228.0,16.09347693943108,0.019,0.001341123078285924,0.06823264499131249,0.005195483233799307
E18b,12,block5.W2,5776,3,210.0,11.789826122551595,0.017499999999999998,0.0009824855102126332,0.06312828404489641,0.0023499502750544275
E18b,13,block6.W1,5776,3,213.33333333333334,18.44812546936228,0.017777777777777778,0.001537343789113523,0.06421240504029008,0.004429869858621579
