condition,seed,attempt,epoch,layer,matrix,batches,mean_gradient_norm,max_gradient_norm,zero_gradient_batches,gradient_before_clipping,partial_epoch
E20a,0,0,1,0,W_in,79,0.8123478466951395,1.773166298866272,0,True,False
E20a,0,0,1,1,block0.W1,79,0.5343477758048456,1.0944631099700928,0,True,False
E20a,0,0,1,2,block0.W2,79,0.5347741365055495,1.3995500802993774,0,True,False
E20a,0,0,1,3,block1.W1,79,0.3839870073561427,1.034458041191101,0,True,False
E20a,0,0,1,4,block1.W2,79,0.3618925789111777,1.1742106676101685,0,True,False
E20a,0,0,1,5,block2.W1,79,0.28569557998753803,0.8833423256874084,0,True,False
E20a,0,0,1,6,block2.W2,79,0.2861140725921981,0.9509509801864624,0,True,False
E20a,0,0,1,7,block3.W1,79,0.22589866166250616,0.7327495813369751,0,True,False
E20a,0,0,1,8,block3.W2,79,0.19979956859274756,0.7398719787597656,0,True,False
E20a,0,0,1,9,block4.W1,79,0.18927609382928173,0.6269815564155579,0,True,False
E20a,0,0,1,10,block4.W2,79,0.1902089497616774,0.7245739698410034,0,True,False
E20a,0,0,1,11,block5.W1,79,0.1581040333626391,0.6680662631988525,0,True,False
E20a,0,0,1,12,block5.W2,79,0.17371323954644083,0.9266628623008728,0,True,False
E20a,0,0,1,13,block6.W1,79,0.14918278931062431,0.6086218357086182,0,True,False
E20a,0,0,1,14,block6.W2,79,0.14954797720795945,0.7348616123199463,0,True,False
E20a,0,0,1,15,block7.W1,79,0.1261119218189505,0.512700617313385,0,True,False
E20a,0,0,1,16,block7.W2,79,0.13048078327239315,0.6613596677780151,0,True,False
E20a,0,0,1,17,W_out,79,0.5227625081433526,2.6831369400024414,0,True,False
E20a,0,0,2,0,W_in,79,0.886356102137626,2.267760753631592,0,True,False
E20a,0,0,2,1,block0.W1,79,0.5818644000005119,1.5114529132843018,0,True,False
E20a,0,0,2,2,block0.W2,79,0.5625212215170076,1.3523142337799072,0,True,False
E20a,0,0,2,3,block1.W1,79,0.3977315680512899,0.906361997127533,0,True,False
E20a,0,0,2,4,block1.W2,79,0.3624488437854791,0.7407559752464294,0,True,False
E20a,0,0,2,5,block2.W1,79,0.2767377769268012,0.6391568779945374,0,True,False
E20a,0,0,2,6,block2.W2,79,0.2804283182832259,0.549638569355011,0,True,False
E20a,0,0,2,7,block3.W1,79,0.20601139453392994,0.3907303810119629,0,True,False
E20a,0,0,2,8,block3.W2,79,0.17785764881704427,0.34780415892601013,0,True,False
E20a,0,0,2,9,block4.W1,79,0.16868534589870066,0.4045592248439789,0,True,False
E20a,0,0,2,10,block4.W2,79,0.16472261776275274,0.3633567988872528,0,True,False
E20a,0,0,2,11,block5.W1,79,0.1318659308967711,0.25982946157455444,0,True,False
E20a,0,0,2,12,block5.W2,79,0.1361527336360533,0.26032283902168274,0,True,False
E20a,0,0,2,13,block6.W1,79,0.11305018382359154,0.2642616629600525,0,True,False
E20a,0,0,2,14,block6.W2,79,0.11313401313522194,0.2527875006198883,0,True,False
E20a,0,0,2,15,block7.W1,79,0.09396395804006842,0.21789336204528809,0,True,False
E20a,0,0,2,16,block7.W2,79,0.09273948520421982,0.18331527709960938,0,True,False
E20a,0,0,2,17,W_out,79,0.30597831912433043,0.692470133304596,0,True,False
E20a,0,0,3,0,W_in,79,0.801977733645258,1.2642724514007568,0,True,False
E20a,0,0,3,1,block0.W1,79,0.5329074493691891,0.7883407473564148,0,True,False
E20a,0,0,3,2,block0.W2,79,0.4990604093557672,0.7981449961662292,0,True,False
E20a,0,0,3,3,block1.W1,79,0.3551350128424319,0.6008455157279968,0,True,False
E20a,0,0,3,4,block1.W2,79,0.3249643407290495,0.5187954902648926,0,True,False
E20a,0,0,3,5,block2.W1,79,0.251002640663823,0.37654468417167664,0,True,False
E20a,0,0,3,6,block2.W2,79,0.24800236259080186,0.38448384404182434,0,True,False
E20a,0,0,3,7,block3.W1,79,0.18720292413159262,0.2645050883293152,0,True,False
E20a,0,0,3,8,block3.W2,79,0.16021460587088066,0.24875988066196442,0,True,False
E20a,0,0,3,9,block4.W1,79,0.15064949023572705,0.23816999793052673,0,True,False
E20a,0,0,3,10,block4.W2,79,0.13752815391443954,0.21774213016033173,0,True,False
E20a,0,0,3,11,block5.W1,79,0.11640738441219813,0.17415893077850342,0,True,False
E20a,0,0,3,12,block5.W2,79,0.11301710701818708,0.17988276481628418,0,True,False
E20a,0,0,3,13,block6.W1,79,0.09796382260473468,0.14315278828144073,0,True,False
E20a,0,0,3,14,block6.W2,79,0.09436269901409934,0.1525203436613083,0,True,False
E20a,0,0,3,15,block7.W1,79,0.08033577183002158,0.12025592476129532,0,True,False
E20a,0,0,3,16,block7.W2,79,0.07704962360896642,0.1285584717988968,0,True,False
E20a,0,0,3,17,W_out,79,0.24240244887297666,0.3775097727775574,0,True,False
E20a,0,0,4,0,W_in,79,0.766003013600277,1.2624328136444092,0,True,False
E20a,0,0,4,1,block0.W1,79,0.4979460480846936,0.7926185131072998,0,True,False
E20a,0,0,4,2,block0.W2,79,0.4581484872894951,0.7462207674980164,0,True,False
E20a,0,0,4,3,block1.W1,79,0.3328759302444096,0.5390653610229492,0,True,False
E20a,0,0,4,4,block1.W2,79,0.2968166261156903,0.5342165231704712,0,True,False
E20a,0,0,4,5,block2.W1,79,0.23219224008955533,0.3403388559818268,0,True,False
E20a,0,0,4,6,block2.W2,79,0.22762879517070855,0.382559597492218,0,True,False
E20a,0,0,4,7,block3.W1,79,0.17430749328076084,0.26652106642723083,0,True,False
E20a,0,0,4,8,block3.W2,79,0.14482162091173703,0.2519646883010864,0,True,False
E20a,0,0,4,9,block4.W1,79,0.13593874338872824,0.2375761866569519,0,True,False
E20a,0,0,4,10,block4.W2,79,0.12236695722499981,0.20228800177574158,0,True,False
E20a,0,0,4,11,block5.W1,79,0.10750024308320842,0.1748320609331131,0,True,False
E20a,0,0,4,12,block5.W2,79,0.09984898718097542,0.16616512835025787,0,True,False
E20a,0,0,4,13,block6.W1,79,0.08807273616990711,0.14018148183822632,0,True,False
E20a,0,0,4,14,block6.W2,79,0.08316573868446712,0.147233247756958,0,True,False
E20a,0,0,4,15,block7.W1,79,0.07100674993346763,0.11674673110246658,0,True,False
E20a,0,0,4,16,block7.W2,79,0.06643935948421684,0.12260356545448303,0,True,False
E20a,0,0,4,17,W_out,79,0.19892226423643813,0.33647337555885315,0,True,False
E20a,0,0,5,0,W_in,79,0.8141720372287533,4.611667633056641,0,True,False
E20a,0,0,5,1,block0.W1,79,0.5302603503194037,3.2068467140197754,0,True,False
E20a,0,0,5,2,block0.W2,79,0.49811962077134775,3.0627052783966064,0,True,False
E20a,0,0,5,3,block1.W1,79,0.3582825258940081,1.747963309288025,0,True,False
E20a,0,0,5,4,block1.W2,79,0.31929152581510667,1.761637806892395,0,True,False
E20a,0,0,5,5,block2.W1,79,0.25479645857328104,1.5560944080352783,0,True,False
E20a,0,0,5,6,block2.W2,79,0.23917773101903214,1.4732414484024048,0,True,False
E20a,0,0,5,7,block3.W1,79,0.18113320188809046,0.7975459694862366,0,True,False
E20a,0,0,5,8,block3.W2,79,0.15136465090739576,0.7077005505561829,0,True,False
E20a,0,0,5,9,block4.W1,79,0.14495411557675916,0.8034327626228333,0,True,False
E20a,0,0,5,10,block4.W2,79,0.12449876619856569,0.6070329546928406,0,True,False
E20a,0,0,5,11,block5.W1,79,0.11339662964396839,0.7186561822891235,0,True,False
E20a,0,0,5,12,block5.W2,79,0.10204654436888574,0.48458102345466614,0,True,False
E20a,0,0,5,13,block6.W1,79,0.09048792286009728,0.44653230905532837,0,True,False
