step,elapsed_seconds,train_forward_calls,abs_y_mean,val_loss,val_accuracy,fires,clip_rate,zero_difference_count,zero_difference_fraction,saturation_rate,nonzero_vote_rate,scale,counter_peak_abs,counter_count,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_saturated_count,counter_saturated_fraction,counter_capacity,counter_all_mean,counter_all_abs_mean
1,0.30477282404899597,128,0.002929743379354477,,,1,0.0,0,0.0,0.0,0.134765625,0.02,9,22,-3,9,0.3636363744735718,9,2.0,0,0.0,127,2.0786563254659995e-05,0.00011432609608164057
2,0.6100247129797935,256,0.005618728697299957,,,0,0.0,0,0.0,0.0,0.2998046875,0.01828789043426514,14,20,-10,14,0.949999988079071,14,4.550000190734863,0,0.0,127,4.936808909405954e-05,0.0002364471583859995
3,0.9157573841512203,384,0.00282350555062294,,,0,0.0,0,0.0,0.0,0.162109375,0.016999262523651127,8,21,-8,6,-1.1428571939468384,8,2.3809523582458496,0,0.0,127,-6.23596934019588e-05,0.00012991602125111967
4,1.226112987846136,512,0.003945730626583099,,,1,0.0,0,0.0,0.0,0.2587890625,0.015566555814743047,18,21,-18,9,-0.7142857313156128,18,4.142857074737549,0,0.0,127,-3.897480564774014e-05,0.0002260538749396801
5,1.5322027206420898,640,0.004306476563215256,,,1,0.0,0,0.0,0.0,0.28515625,0.014417953631401066,21,20,-6,20,3.5999999046325684,20,4.800000190734863,0,0.0,127,0.00018707907292991877,0.0002494387736078352
6,1.838092103600502,768,0.0029734857380390167,,,0,0.0,0,0.0,0.0,0.228515625,0.013377941257762913,7,22,-6,7,1.0909091234207153,7,3.090909004211426,0,0.0,127,6.23596934019588e-05,0.00017668578948359936
7,2.143426936119795,896,0.00215868279337883,,,0,0.0,0,0.0,0.0,0.171875,0.012289103812284473,6,21,-5,5,-0.2857142984867096,5,2.761904716491699,0,0.0,127,-1.55899233504897e-05,0.00015070258814375848
8,2.4485866874456406,1024,0.006697405129671097,,,1,0.15625,0,0.0,0.0,0.5546875,0.011247685801661494,21,18,-21,19,2.1111111640930176,21,8.11111068725586,0,0.0,127,9.873617818811908e-05,0.0003793547803070396
9,2.7575244940817356,1152,0.0032281391322612762,,,1,0.0,0,0.0,0.0,0.3125,0.010701821373411849,12,25,-5,12,1.440000057220459,12,3.5199999809265137,0,0.0,127,9.353953646495938e-05,0.00022865219216328114
10,3.062586583197117,1280,0.0033617205917835236,,,1,0.015625,0,0.0,0.0,0.330078125,0.009903269523241075,12,24,-12,12,0.25,12,4.333333492279053,0,0.0,127,1.55899233504897e-05,0.000270225340500474
11,3.367389138787985,1408,0.0038766562938690186,,,1,0.03125,0,0.0,0.0,0.4228515625,0.009207842511407691,13,22,-10,12,1.045454502105713,12,5.2272725105285645,0,0.0,127,5.9761368902400136e-05,0.0002988068445120007
12,3.6712422780692577,1536,0.0037611201405525208,,,0,0.015625,0,0.0,0.0,0.4169921875,0.008659992601697586,17,24,-11,17,-0.375,17,4.625,0,0.0,127,-2.3384884116239846e-05,0.0002884135756175965
13,3.9760375283658504,1664,0.003200169652700424,,,1,0.015625,0,0.0,0.0,0.3974609375,0.008118314134679684,15,24,-15,9,-1.9583333730697632,15,4.375,0,0.0,127,-0.00012212105502840132,0.0002728236431721598
14,4.2820210084319115,1792,0.0031608007848262787,,,0,0.0625,0,0.0,0.0,0.404296875,0.0076268457659504855,13,20,-11,6,-2.0,11,4.599999904632568,0,0.0,127,-0.00010393281991127878,0.00023904547560960054
15,4.587757032364607,1920,0.003145109862089157,,,1,0.0625,0,0.0,0.0,0.412109375,0.007134742434777801,15,19,-15,10,-1.894736886024475,15,5.157894611358643,0,0.0,127,-9.353953646495938e-05,0.00025463540805503726
16,4.893161024898291,2048,0.012742403894662857,,,0,0.859375,0,0.0,0.0,0.935546875,0.006675541605911837,60,19,-10,60,2.526315689086914,60,7.789473533630371,0,0.0,127,0.0001247193868039176,0.0003845514147542417
17,5.199876915663481,2176,0.003351956605911255,,,1,0.109375,0,0.0,0.0,0.44140625,0.007306128924812841,16,25,-16,14,-2.4800000190734863,16,4.559999942779541,0,0.0,127,-0.00016109587159007788,0.00029620854184031487
18,5.506371412426233,2304,0.002702031284570694,,,1,0.03125,0,0.0,0.0,0.40234375,0.006878307627790542,10,24,-9,9,-0.75,9,3.3333332538604736,0,0.0,127,-4.676976823247969e-05,0.00020786563982255757
19,5.815353345125914,2432,0.004981007426977158,,,1,0.34375,0,0.0,0.0,0.6953125,0.00641349360390309,41,22,-12,41,3.454545497894287,41,7.454545497894287,0,0.0,127,0.00019747235637623817,0.0004261245485395193
20,6.1279651783406734,2560,0.003356020897626877,,,1,0.140625,0,0.0,0.0,0.4921875,0.006236679003034266,15,19,-15,10,-0.5263158082962036,15,6.4210524559021,0,0.0,127,-2.5983204977819696e-05,0.00031699510873295367
21,6.442268509417772,2688,0.002313021570444107,,,1,0.0625,0,0.0,0.0,0.4033203125,0.005897778253609746,10,23,-8,10,2.3043477535247803,10,4.304347991943359,0,0.0,127,0.00013771098747383803,0.0002572337107267231
22,6.750912394374609,2816,0.003916911780834198,,,1,0.28125,0,0.0,0.0,0.603515625,0.005522839409877189,25,22,-13,24,0.27272728085517883,24,6.181818008422852,0,0.0,127,1.55899233504897e-05,0.00035337157896719873
23,7.068817086517811,2944,0.009651146829128265,,,1,0.796875,0,0.0,0.0,0.923828125,0.0053214122498953294,58,19,-11,58,2.526315689086914,58,9.052631378173828,0,0.0,127,0.0001247193868039176,0.0004469111154321581
24,7.38747926056385,3072,0.0030660778284072876,,,1,0.109375,0,0.0,0.0,0.4853515625,0.005774416593753453,17,23,-13,17,1.2608696222305298,17,6.043478488922119,0,0.0,127,7.535129407187924e-05,0.0003611665451899171
25,7.705330528318882,3200,0.004932116717100143,,,1,0.328125,0,0.0,0.0,0.6591796875,0.005466697872915705,24,20,-14,20,0.75,20,6.949999809265137,0,0.0,127,3.897480564774014e-05,0.0003611665451899171
