stage,layer,matrix,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,W_in,0,16,2.5257906913757324,2.525754690170288,3.600120544433594e-05
initial,0,W_in,1,16,2.431137800216675,2.456132173538208,0.024994373321533203
initial,0,W_in,2,16,2.6204612255096436,2.628211736679077,0.007750511169433594
initial,0,W_in,3,16,2.4723496437072754,2.472672939300537,0.00032329559326171875
initial,0,W_in,4,16,2.6795291900634766,2.67242169380188,0.00710749626159668
initial,0,W_in,5,16,2.490666151046753,2.4941437244415283,0.0034775733947753906
initial,0,W_in,6,16,2.4509198665618896,2.4523258209228516,0.001405954360961914
initial,0,W_in,7,16,2.3787176609039307,2.3826406002044678,0.003922939300537109
initial,0,W_in,8,16,2.497920274734497,2.493542194366455,0.004378080368041992
initial,0,W_in,9,16,2.59850811958313,2.601163625717163,0.002655506134033203
initial,0,W_in,10,16,2.590857982635498,2.598437547683716,0.0075795650482177734
initial,0,W_in,11,16,2.5461032390594482,2.5383856296539307,0.007717609405517578
initial,0,W_in,12,16,2.50753116607666,2.512533664703369,0.005002498626708984
initial,0,W_in,13,16,2.360689163208008,2.361130714416504,0.00044155120849609375
initial,0,W_in,14,16,2.4956231117248535,2.508111000061035,0.01248788833618164
initial,0,W_in,15,16,2.548532485961914,2.541516065597534,0.007016420364379883
initial,0,W_in,16,16,2.4741830825805664,2.4634571075439453,0.010725975036621094
initial,0,W_in,17,16,2.521113872528076,2.5246431827545166,0.0035293102264404297
initial,0,W_in,18,16,2.5884599685668945,2.5987110137939453,0.010251045227050781
initial,0,W_in,19,16,2.4795053005218506,2.461068630218506,0.018436670303344727
initial,0,W_in,20,16,2.6214170455932617,2.6203927993774414,0.0010242462158203125
initial,0,W_in,21,16,2.5160317420959473,2.5152153968811035,0.00081634521484375
initial,0,W_in,22,16,2.4060544967651367,2.398434638977051,0.0076198577880859375
initial,0,W_in,23,16,2.537334680557251,2.5386853218078613,0.0013506412506103516
initial,0,W_in,24,16,2.511767864227295,2.5246503353118896,0.012882471084594727
initial,0,W_in,25,16,2.540212869644165,2.5460855960845947,0.0058727264404296875
initial,0,W_in,26,16,2.628147840499878,2.626919984817505,0.0012278556823730469
initial,0,W_in,27,16,2.3903374671936035,2.393172025680542,0.0028345584869384766
initial,0,W_in,28,16,2.408345937728882,2.441694736480713,0.033348798751831055
initial,0,W_in,29,16,2.579601287841797,2.5814695358276367,0.0018682479858398438
initial,0,W_in,30,16,2.584003210067749,2.578874111175537,0.005129098892211914
initial,0,W_in,31,16,2.6236519813537598,2.6140313148498535,0.00962066650390625
initial,0,W_in,32,16,2.347719430923462,2.350249767303467,0.002530336380004883
initial,0,W_in,33,16,2.567931890487671,2.5647053718566895,0.0032265186309814453
initial,0,W_in,34,16,2.510603666305542,2.5113630294799805,0.0007593631744384766
initial,0,W_in,35,16,2.292315721511841,2.278376817703247,0.01393890380859375
initial,0,W_in,36,16,2.551795482635498,2.5535738468170166,0.0017783641815185547
initial,0,W_in,37,16,2.511491537094116,2.5128538608551025,0.0013623237609863281
initial,0,W_in,38,16,2.5919687747955322,2.5866940021514893,0.005274772644042969
initial,0,W_in,39,16,2.5874240398406982,2.600764036178589,0.013339996337890625
initial,0,W_in,40,16,2.649293899536133,2.649855852127075,0.0005619525909423828
initial,0,W_in,41,16,2.5155563354492188,2.5150840282440186,0.0004723072052001953
initial,0,W_in,42,16,2.3865585327148438,2.409226655960083,0.022668123245239258
initial,0,W_in,43,16,2.57828688621521,2.590869665145874,0.012582778930664062
initial,0,W_in,44,16,2.4336605072021484,2.432410717010498,0.0012497901916503906
initial,0,W_in,45,16,2.462388277053833,2.4681506156921387,0.005762338638305664
initial,0,W_in,46,16,2.5052690505981445,2.522584915161133,0.01731586456298828
initial,0,W_in,47,16,2.4906208515167236,2.5052642822265625,0.014643430709838867
initial,0,W_in,48,16,2.4534995555877686,2.458000898361206,0.0045013427734375
initial,0,W_in,49,16,2.4761526584625244,2.4822309017181396,0.006078243255615234
initial,0,W_in,50,16,2.565507173538208,2.5714290142059326,0.005921840667724609
initial,0,W_in,51,16,2.5772511959075928,2.576244354248047,0.0010068416595458984
initial,0,W_in,52,16,2.416903018951416,2.4046552181243896,0.012247800827026367
initial,0,W_in,53,16,2.572996139526367,2.5855605602264404,0.012564420700073242
initial,0,W_in,54,16,2.4398748874664307,2.4259848594665527,0.01389002799987793
initial,0,W_in,55,16,2.5777790546417236,2.5720267295837402,0.0057523250579833984
initial,0,W_in,56,16,2.51711368560791,2.5247626304626465,0.007648944854736328
initial,0,W_in,57,16,2.5104143619537354,2.5073306560516357,0.0030837059020996094
initial,0,W_in,58,16,2.472987413406372,2.4910101890563965,0.018022775650024414
initial,0,W_in,59,16,2.390244483947754,2.380000114440918,0.010244369506835938
initial,0,W_in,60,16,2.6512486934661865,2.6439836025238037,0.0072650909423828125
initial,0,W_in,61,16,2.6772308349609375,2.690645694732666,0.013414859771728516
initial,0,W_in,62,16,2.611239433288574,2.599958896636963,0.011280536651611328
initial,0,W_in,63,16,2.5057406425476074,2.4891700744628906,0.016570568084716797
initial,1,block0.W1,0,16,2.5054938793182373,2.517263412475586,0.011769533157348633
initial,1,block0.W1,1,16,2.5115909576416016,2.5107173919677734,0.000873565673828125
initial,1,block0.W1,2,16,2.5982892513275146,2.602618932723999,0.004329681396484375
initial,1,block0.W1,3,16,2.5386962890625,2.5440518856048584,0.0053555965423583984
initial,1,block0.W1,4,16,2.39388370513916,2.3932971954345703,0.0005865097045898438
initial,1,block0.W1,5,16,2.4907894134521484,2.505847215652466,0.015057802200317383
initial,1,block0.W1,6,16,2.5910773277282715,2.593846321105957,0.002768993377685547
initial,1,block0.W1,7,16,2.51784086227417,2.52584171295166,0.008000850677490234
initial,1,block0.W1,8,16,2.251893997192383,2.2604005336761475,0.008506536483764648
initial,1,block0.W1,9,16,2.667452573776245,2.6721489429473877,0.004696369171142578
initial,1,block0.W1,10,16,2.630095958709717,2.6287639141082764,0.0013320446014404297
initial,1,block0.W1,11,16,2.628140449523926,2.6171090602874756,0.011031389236450195
initial,1,block0.W1,12,16,2.5368425846099854,2.5424177646636963,0.0055751800537109375
initial,1,block0.W1,13,16,2.5788064002990723,2.580465078353882,0.0016586780548095703
initial,1,block0.W1,14,16,2.3032450675964355,2.302067279815674,0.0011777877807617188
initial,1,block0.W1,15,16,2.3398797512054443,2.3385508060455322,0.0013289451599121094
initial,1,block0.W1,16,16,2.481654644012451,2.4799094200134277,0.0017452239990234375
initial,1,block0.W1,17,16,2.59755277633667,2.601464033126831,0.003911256790161133
initial,1,block0.W1,18,16,2.356285572052002,2.3504574298858643,0.005828142166137695
initial,1,block0.W1,19,16,2.5593039989471436,2.545658826828003,0.013645172119140625
initial,1,block0.W1,20,16,2.4183037281036377,2.4255738258361816,0.007270097732543945
initial,1,block0.W1,21,16,2.4554178714752197,2.450639247894287,0.004778623580932617
initial,1,block0.W1,22,16,2.4928886890411377,2.496494770050049,0.003606081008911133
initial,1,block0.W1,23,16,2.440098524093628,2.442356586456299,0.0022580623626708984
