stage,layer,matrix,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,W_in,0,16,2.792631149291992,2.8016531467437744,0.009021997451782227
initial,0,W_in,1,16,2.7532711029052734,2.7568488121032715,0.003577709197998047
initial,0,W_in,2,16,2.75681209564209,2.764423370361328,0.007611274719238281
initial,0,W_in,3,16,2.8817570209503174,2.8672823905944824,0.014474630355834961
initial,0,W_in,4,16,2.756791114807129,2.7748122215270996,0.018021106719970703
initial,0,W_in,5,16,2.6356682777404785,2.6383938789367676,0.0027256011962890625
initial,0,W_in,6,16,2.8788669109344482,2.8821425437927246,0.003275632858276367
initial,0,W_in,7,16,2.7346715927124023,2.7288429737091064,0.0058286190032958984
initial,0,W_in,8,16,2.644097328186035,2.6679749488830566,0.023877620697021484
initial,0,W_in,9,16,2.695939540863037,2.7029688358306885,0.007029294967651367
initial,0,W_in,10,16,2.885625123977661,2.8947906494140625,0.009165525436401367
initial,0,W_in,11,16,2.638287305831909,2.640265941619873,0.001978635787963867
initial,0,W_in,12,16,2.7503418922424316,2.7643072605133057,0.013965368270874023
initial,0,W_in,13,16,2.536062479019165,2.5381739139556885,0.0021114349365234375
initial,0,W_in,14,16,2.7268567085266113,2.7070484161376953,0.019808292388916016
initial,0,W_in,15,16,2.7103500366210938,2.7248427867889404,0.01449275016784668
initial,0,W_in,16,16,2.7559268474578857,2.7595136165618896,0.0035867691040039062
initial,0,W_in,17,16,2.9300591945648193,2.935255289077759,0.005196094512939453
initial,0,W_in,18,16,2.7600722312927246,2.776684284210205,0.01661205291748047
initial,0,W_in,19,16,2.9273478984832764,2.8938162326812744,0.03353166580200195
initial,0,W_in,20,16,2.713625907897949,2.7103660106658936,0.003259897232055664
initial,0,W_in,21,16,2.9250009059906006,2.917400598526001,0.007600307464599609
initial,0,W_in,22,16,2.788140058517456,2.77557635307312,0.012563705444335938
initial,0,W_in,23,16,2.749638080596924,2.7481398582458496,0.0014982223510742188
initial,0,W_in,24,16,2.6887974739074707,2.6784400939941406,0.010357379913330078
initial,0,W_in,25,16,2.7953989505767822,2.7915754318237305,0.003823518753051758
initial,0,W_in,26,16,2.7206852436065674,2.7063934803009033,0.014291763305664062
initial,0,W_in,27,16,2.633758544921875,2.643598794937134,0.009840250015258789
initial,0,W_in,28,16,2.6523520946502686,2.65779447555542,0.005442380905151367
initial,0,W_in,29,16,2.733152389526367,2.7480838298797607,0.014931440353393555
initial,0,W_in,30,16,3.0560503005981445,3.0527374744415283,0.003312826156616211
initial,0,W_in,31,16,2.6634552478790283,2.674306869506836,0.010851621627807617
initial,0,W_in,32,16,2.571016550064087,2.5812880992889404,0.010271549224853516
initial,0,W_in,33,16,2.820415496826172,2.8232522010803223,0.0028367042541503906
initial,0,W_in,34,16,2.842505693435669,2.8606677055358887,0.018162012100219727
initial,0,W_in,35,16,2.691866636276245,2.7045199871063232,0.012653350830078125
initial,0,W_in,36,16,2.9077095985412598,2.9036331176757812,0.004076480865478516
initial,0,W_in,37,16,2.735700845718384,2.7407889366149902,0.005088090896606445
initial,0,W_in,38,16,2.677044630050659,2.6693074703216553,0.007737159729003906
initial,0,W_in,39,16,2.654494047164917,2.6519224643707275,0.002571582794189453
initial,0,W_in,40,16,2.853313446044922,2.8417465686798096,0.011566877365112305
initial,0,W_in,41,16,2.824540615081787,2.8280317783355713,0.0034911632537841797
initial,0,W_in,42,16,2.6487808227539062,2.654832124710083,0.006051301956176758
initial,0,W_in,43,16,2.63844895362854,2.6603453159332275,0.0218963623046875
initial,0,W_in,44,16,2.8588459491729736,2.864912986755371,0.006067037582397461
initial,0,W_in,45,16,2.835692882537842,2.8456344604492188,0.009941577911376953
initial,0,W_in,46,16,2.89615535736084,2.904879570007324,0.008724212646484375
initial,0,W_in,47,16,2.911796808242798,2.9185359477996826,0.006739139556884766
initial,0,W_in,48,16,2.8843584060668945,2.8778228759765625,0.006535530090332031
initial,0,W_in,49,16,2.578882932662964,2.5863234996795654,0.0074405670166015625
initial,0,W_in,50,16,2.8621890544891357,2.864952325820923,0.0027632713317871094
initial,0,W_in,51,16,2.7379913330078125,2.734724998474121,0.0032663345336914062
initial,0,W_in,52,16,2.7454755306243896,2.7603330612182617,0.01485753059387207
initial,0,W_in,53,16,2.8903231620788574,2.8826942443847656,0.007628917694091797
initial,0,W_in,54,16,2.7933497428894043,2.795853853225708,0.002504110336303711
initial,0,W_in,55,16,2.7531819343566895,2.727210760116577,0.025971174240112305
initial,0,W_in,56,16,2.637728691101074,2.640753984451294,0.0030252933502197266
initial,0,W_in,57,16,2.8565778732299805,2.8517894744873047,0.004788398742675781
initial,0,W_in,58,16,2.690568685531616,2.684347629547119,0.00622105598449707
initial,0,W_in,59,16,2.7682137489318848,2.7934744358062744,0.02526068687438965
initial,0,W_in,60,16,2.882965564727783,2.894408702850342,0.011443138122558594
initial,0,W_in,61,16,2.830442190170288,2.8374950885772705,0.007052898406982422
initial,0,W_in,62,16,2.9518682956695557,2.9247090816497803,0.02715921401977539
initial,0,W_in,63,16,2.785092353820801,2.7746901512145996,0.010402202606201172
initial,1,block0.W1,0,16,2.9360525608062744,2.9302518367767334,0.005800724029541016
initial,1,block0.W1,1,16,3.039858818054199,3.0435128211975098,0.003654003143310547
initial,1,block0.W1,2,16,2.831498622894287,2.829489231109619,0.0020093917846679688
initial,1,block0.W1,3,16,2.806278944015503,2.788630247116089,0.017648696899414062
initial,1,block0.W1,4,16,2.7114529609680176,2.711271286010742,0.00018167495727539062
initial,1,block0.W1,5,16,2.786116361618042,2.7882800102233887,0.0021636486053466797
initial,1,block0.W1,6,16,2.9762613773345947,2.9798874855041504,0.003626108169555664
initial,1,block0.W1,7,16,2.8104052543640137,2.79970383644104,0.010701417922973633
initial,1,block0.W1,8,16,2.8925111293792725,2.8905789852142334,0.0019321441650390625
