stage,layer,matrix,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,W_in,0,16,2.7453155517578125,2.7444207668304443,0.0008947849273681641
initial,0,W_in,1,16,2.7630412578582764,2.7566215991973877,0.006419658660888672
initial,0,W_in,2,16,2.542560577392578,2.5489423274993896,0.0063817501068115234
initial,0,W_in,3,16,2.752598524093628,2.760740041732788,0.008141517639160156
initial,0,W_in,4,16,2.7073440551757812,2.6938796043395996,0.01346445083618164
initial,0,W_in,5,16,2.6932694911956787,2.696322441101074,0.003052949905395508
initial,0,W_in,6,16,2.700756788253784,2.706773519515991,0.006016731262207031
initial,0,W_in,7,16,2.6423141956329346,2.6449007987976074,0.0025866031646728516
initial,0,W_in,8,16,2.677506923675537,2.6733827590942383,0.004124164581298828
initial,0,W_in,9,16,2.777858018875122,2.7791640758514404,0.0013060569763183594
initial,0,W_in,10,16,2.9230101108551025,2.9167137145996094,0.006296396255493164
initial,0,W_in,11,16,2.7239975929260254,2.74542236328125,0.02142477035522461
initial,0,W_in,12,16,2.6959495544433594,2.7104527950286865,0.014503240585327148
initial,0,W_in,13,16,2.8049404621124268,2.787093162536621,0.017847299575805664
initial,0,W_in,14,16,2.627978563308716,2.636892557144165,0.008913993835449219
initial,0,W_in,15,16,2.68902850151062,2.6790292263031006,0.009999275207519531
initial,0,W_in,16,16,2.7344813346862793,2.7457611560821533,0.011279821395874023
initial,0,W_in,17,16,2.757079839706421,2.7533743381500244,0.0037055015563964844
initial,0,W_in,18,16,2.778033971786499,2.7823026180267334,0.004268646240234375
initial,0,W_in,19,16,2.7706785202026367,2.781639337539673,0.010960817337036133
initial,0,W_in,20,16,2.686434745788574,2.6857359409332275,0.0006988048553466797
initial,0,W_in,21,16,2.7556803226470947,2.745476007461548,0.010204315185546875
initial,0,W_in,22,16,2.6812551021575928,2.6872525215148926,0.005997419357299805
initial,0,W_in,23,16,2.6831963062286377,2.6786794662475586,0.0045168399810791016
initial,0,W_in,24,16,2.678499698638916,2.6720218658447266,0.006477832794189453
initial,0,W_in,25,16,2.6949946880340576,2.7108354568481445,0.015840768814086914
initial,0,W_in,26,16,2.7592501640319824,2.757981300354004,0.0012688636779785156
initial,0,W_in,27,16,2.6998143196105957,2.6847522258758545,0.015062093734741211
initial,0,W_in,28,16,2.599027633666992,2.5750162601470947,0.02401137351989746
initial,0,W_in,29,16,2.7684972286224365,2.7716569900512695,0.003159761428833008
initial,0,W_in,30,16,2.6898512840270996,2.687387228012085,0.0024640560150146484
initial,0,W_in,31,16,2.711200714111328,2.716893434524536,0.005692720413208008
initial,0,W_in,32,16,2.8475170135498047,2.8430519104003906,0.0044651031494140625
initial,0,W_in,33,16,2.6146786212921143,2.6210920810699463,0.006413459777832031
initial,0,W_in,34,16,2.5558221340179443,2.5494799613952637,0.006342172622680664
initial,0,W_in,35,16,2.74096941947937,2.751265048980713,0.010295629501342773
