step,layer,parameters,selected_coordinates,selected_interval,fires,fire_interval
1,0,4860,1,1,0,0
1,1,2916,2,1,0,0
1,2,2916,0,0,0,0
1,3,2916,0,0,0,0
1,4,2916,0,0,0,0
1,5,2916,1,1,0,0
1,6,2916,0,0,0,0
1,7,2916,0,0,0,0
1,8,2916,0,0,0,0
1,9,2916,0,0,0,0
1,10,2916,0,0,0,0
1,11,2916,3,1,1,1
1,12,2916,0,0,0,0
1,13,2916,0,0,0,0
1,14,2916,0,0,0,0
1,15,2916,0,0,0,0
1,16,2916,0,0,0,0
1,17,2916,0,0,0,0
1,18,2916,1,1,0,0
1,19,2916,0,0,0,0
1,20,2916,0,0,0,0
1,21,2916,1,1,0,0
1,22,2916,0,0,0,0
1,23,2916,1,1,0,0
1,24,2916,0,0,0,0
1,25,2916,0,0,0,0
1,26,2916,0,0,0,0
1,27,2916,2,1,0,0
1,28,2916,2,1,0,0
1,29,2916,0,0,0,0
1,30,2916,1,1,0,0
1,31,2916,0,0,0,0
1,32,2916,1,1,0,0
1,33,540,0,0,0,0
2,0,4860,0,0,0,0
2,1,2916,0,0,0,0
2,2,2916,0,0,0,0
2,3,2916,0,0,0,0
2,4,2916,0,0,0,0
2,5,2916,1,1,0,0
2,6,2916,1,1,1,1
2,7,2916,0,0,0,0
2,8,2916,1,1,0,0
2,9,2916,1,1,0,0
2,10,2916,0,0,0,0
2,11,2916,0,0,0,0
2,12,2916,1,1,0,0
2,13,2916,1,1,0,0
2,14,2916,0,0,0,0
2,15,2916,0,0,0,0
2,16,2916,0,0,0,0
2,17,2916,1,1,0,0
2,18,2916,1,1,0,0
2,19,2916,1,1,0,0
2,20,2916,0,0,0,0
2,21,2916,0,0,0,0
2,22,2916,1,1,0,0
2,23,2916,0,0,0,0
2,24,2916,0,0,0,0
2,25,2916,0,0,0,0
2,26,2916,1,1,0,0
2,27,2916,0,0,0,0
2,28,2916,0,0,0,0
2,29,2916,1,1,0,0
2,30,2916,1,1,0,0
2,31,2916,1,1,0,0
2,32,2916,2,1,0,0
2,33,540,0,0,0,0
3,0,4860,1,1,0,0
3,1,2916,2,1,0,0
3,2,2916,1,1,0,0
3,3,2916,1,1,0,0
3,4,2916,1,1,0,0
3,5,2916,0,0,0,0
3,6,2916,1,1,0,0
3,7,2916,2,1,0,0
3,8,2916,0,0,0,0
3,9,2916,0,0,0,0
3,10,2916,0,0,0,0
3,11,2916,1,1,0,0
3,12,2916,0,0,0,0
3,13,2916,0,0,0,0
