step,elapsed_seconds,train_forward_calls,abs_y_mean,val_loss,val_accuracy,fires,clip_rate,zero_difference_count,zero_difference_fraction,saturation_rate,nonzero_vote_rate,scale,counter_peak_abs,counter_count,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_saturated_count,counter_saturated_fraction,counter_capacity,counter_all_mean,counter_all_abs_mean
1,0.2686016969382763,128,0.004289072006940842,,,1,0.0,0,0.0,0.0,0.220703125,0.02,14,20,-14,11,-0.10000000149011612,14,3.4000000953674316,0,0.0,127,-1.0130480404768605e-05,0.000344436353771016
2,0.5376068763434887,256,0.004851289093494415,,,1,0.0,0,0.0,0.0,0.2587890625,0.0183981351852417,17,21,-11,17,1.476190447807312,17,3.5714285373687744,0,0.0,127,0.00015702245582360774,0.00037989302654750645
3,0.8060646392405033,384,0.005201812833547592,,,0,0.0,0,0.0,0.0,0.302734375,0.016924341869354247,12,22,-6,12,0.09090909361839294,12,3.0,0,0.0,127,1.0130480404768605e-05,0.0003343058633618057
4,1.0746090076863766,512,0.0036434680223464966,,,1,0.0,0,0.0,0.0,0.2158203125,0.0156729582118988,8,21,-8,8,0.0476190485060215,8,3.095238208770752,0,0.0,127,5.065240202384302e-06,0.00032924063270911574
5,1.3439411632716656,640,0.006959270685911179,,,1,0.171875,0,0.0,0.0,0.4375,0.014414724394798278,16,21,-16,9,-1.8095238208770752,16,5.047618865966797,0,0.0,127,-0.0001924791286000982,0.0005369154969230294
6,1.613273911178112,768,0.0027070045471191406,,,0,0.0,0,0.0,0.0,0.20703125,0.013518682138729095,8,18,-7,5,-0.4444444477558136,7,2.777777671813965,0,0.0,127,-4.052192161907442e-05,0.00025326202739961445
7,1.8819400407373905,896,0.004072185605764389,,,1,0.0,0,0.0,0.0,0.337890625,0.012392143323965071,15,18,-12,15,0.3333333432674408,15,5.55555534362793,0,0.0,127,3.0391442123800516e-05,0.0005065240547992289
8,2.1510378159582615,1024,0.004199463874101639,,,0,0.046875,0,0.0,0.0,0.34765625,0.011509054823172568,13,22,-12,6,-1.3636363744735718,12,4.0,0,0.0,127,-0.00015195721061900258,0.0004457411414477974
9,2.4209983199834824,1152,0.003654923290014267,,,0,0.03125,0,0.0,0.0,0.333984375,0.010727459719883632,13,19,-4,13,2.3157894611358643,13,4.210526466369629,0,0.0,127,0.0002228705707238987,0.00040521923801861703
10,2.6897900961339474,1280,0.001742735505104065,,,0,0.0,0,0.0,0.0,0.185546875,0.009994507906830815,12,23,-5,12,-0.08695652335882187,12,2.4347825050354004,0,0.0,127,-1.0130480404768605e-05,0.00028365346952341497
