stage,layer,matrix,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,W_in,0,16,2.4885292053222656,2.476924419403076,0.011604785919189453
initial,0,W_in,1,16,2.3714828491210938,2.365123748779297,0.006359100341796875
initial,0,W_in,2,16,2.3929479122161865,2.3932840824127197,0.0003361701965332031
initial,0,W_in,3,16,2.260938882827759,2.2647297382354736,0.0037908554077148438
initial,0,W_in,4,16,2.4515233039855957,2.451692581176758,0.00016927719116210938
initial,0,W_in,5,16,2.4734959602355957,2.481752395629883,0.00825643539428711
initial,0,W_in,6,16,2.3315441608428955,2.32749080657959,0.004053354263305664
initial,0,W_in,7,16,2.3841233253479004,2.390329599380493,0.0062062740325927734
initial,0,W_in,8,16,2.4554219245910645,2.449061155319214,0.006360769271850586
initial,0,W_in,9,16,2.5416617393493652,2.531559467315674,0.010102272033691406
initial,0,W_in,10,16,2.4581477642059326,2.453256368637085,0.004891395568847656
initial,0,W_in,11,16,2.3882572650909424,2.4048967361450195,0.01663947105407715
initial,0,W_in,12,16,2.3830957412719727,2.3863558769226074,0.0032601356506347656
initial,0,W_in,13,16,2.405851125717163,2.4013924598693848,0.00445866584777832
initial,0,W_in,14,16,2.564732313156128,2.5691702365875244,0.004437923431396484
initial,0,W_in,15,16,2.461554765701294,2.4661014080047607,0.004546642303466797
initial,0,W_in,16,16,2.5152804851531982,2.5240447521209717,0.008764266967773438
initial,0,W_in,17,16,2.3685476779937744,2.357577323913574,0.010970354080200195
initial,0,W_in,18,16,2.412276029586792,2.415604829788208,0.0033288002014160156
initial,0,W_in,19,16,2.2917659282684326,2.2917966842651367,3.075599670410156e-05
initial,0,W_in,20,16,2.5554587841033936,2.5676181316375732,0.012159347534179688
initial,0,W_in,21,16,2.4137885570526123,2.416806221008301,0.0030176639556884766
initial,0,W_in,22,16,2.4190847873687744,2.4175808429718018,0.0015039443969726562
initial,0,W_in,23,16,2.4785475730895996,2.4757332801818848,0.0028142929077148438
initial,0,W_in,24,16,2.3501861095428467,2.3539364337921143,0.003750324249267578
initial,0,W_in,25,16,2.4546332359313965,2.4501118659973145,0.004521369934082031
initial,0,W_in,26,16,2.450681447982788,2.448368787765503,0.0023126602172851562
initial,0,W_in,27,16,2.4436562061309814,2.445770502090454,0.0021142959594726562
initial,0,W_in,28,16,2.2162134647369385,2.213913679122925,0.002299785614013672
initial,0,W_in,29,16,2.482084274291992,2.4813332557678223,0.0007510185241699219
initial,0,W_in,30,16,2.4672117233276367,2.457416534423828,0.009795188903808594
initial,0,W_in,31,16,2.371546983718872,2.3719396591186523,0.00039267539978027344
initial,0,W_in,32,16,2.3408522605895996,2.345715045928955,0.004862785339355469
initial,0,W_in,33,16,2.3284339904785156,2.3256990909576416,0.0027348995208740234
initial,0,W_in,34,16,2.3988544940948486,2.3763937950134277,0.0224606990814209
initial,0,W_in,35,16,2.521934747695923,2.520955801010132,0.0009789466857910156
initial,0,W_in,36,16,2.48399019241333,2.484951972961426,0.0009617805480957031
initial,0,W_in,37,16,2.4000353813171387,2.416323184967041,0.016287803649902344
initial,0,W_in,38,16,2.59578013420105,2.5858232975006104,0.009956836700439453
initial,0,W_in,39,16,2.380016326904297,2.3933606147766113,0.013344287872314453
initial,0,W_in,40,16,2.474823474884033,2.485323667526245,0.010500192642211914
initial,0,W_in,41,16,2.4892144203186035,2.4956164360046387,0.006402015686035156
initial,0,W_in,42,16,2.3466339111328125,2.353794574737549,0.007160663604736328
initial,0,W_in,43,16,2.4887146949768066,2.4822421073913574,0.006472587585449219
initial,0,W_in,44,16,2.3495898246765137,2.3515207767486572,0.0019309520721435547
initial,0,W_in,45,16,2.4206812381744385,2.4309744834899902,0.010293245315551758
initial,0,W_in,46,16,2.2985551357269287,2.294119358062744,0.00443577766418457
initial,0,W_in,47,16,2.422555446624756,2.4314136505126953,0.008858203887939453
initial,0,W_in,48,16,2.2877001762390137,2.2836954593658447,0.004004716873168945
initial,0,W_in,49,16,2.330440044403076,2.32901930809021,0.001420736312866211
initial,0,W_in,50,16,2.4036853313446045,2.40464448928833,0.0009591579437255859
initial,0,W_in,51,16,2.5083119869232178,2.5196805000305176,0.011368513107299805
initial,0,W_in,52,16,2.4698362350463867,2.472252607345581,0.002416372299194336
initial,0,W_in,53,16,2.4686269760131836,2.464742660522461,0.0038843154907226562
initial,0,W_in,54,16,2.411736011505127,2.413029670715332,0.0012936592102050781
initial,0,W_in,55,16,2.3373076915740967,2.3356525897979736,0.0016551017761230469
initial,0,W_in,56,16,2.4303252696990967,2.4294512271881104,0.0008740425109863281
initial,0,W_in,57,16,2.4244329929351807,2.4157843589782715,0.00864863395690918
initial,0,W_in,58,16,2.574387788772583,2.5772645473480225,0.002876758575439453
initial,0,W_in,59,16,2.392072916030884,2.4018235206604004,0.009750604629516602
initial,0,W_in,60,16,2.3882017135620117,2.3949778079986572,0.006776094436645508
initial,0,W_in,61,16,2.4456636905670166,2.447610855102539,0.001947164535522461
initial,0,W_in,62,16,2.4331605434417725,2.434464454650879,0.0013039112091064453
initial,0,W_in,63,16,2.3666834831237793,2.3709957599639893,0.004312276840209961
initial,1,block0.W1,0,16,2.3732194900512695,2.3804914951324463,0.007272005081176758
initial,1,block0.W1,1,16,2.401782274246216,2.418274402618408,0.016492128372192383
initial,1,block0.W1,2,16,2.4563024044036865,2.456768035888672,0.00046563148498535156
initial,1,block0.W1,3,16,2.326946496963501,2.3338966369628906,0.0069501399993896484
initial,1,block0.W1,4,16,2.333925485610962,2.339137315750122,0.005211830139160156
