step,matrix,layer,values,zero_fraction,mse,relative_squared_error,code_histogram,cosine_mean_valid,cosine_valid_examples,cosine_undefined_examples
0,W_in,0,90000,0.0,0.0,0.0,{},1.0,1000,0
0,block0.W1,1,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block0.W2,2,76000,0.5188815789473684,0.0,0.0,{},1.0,1000,0
0,block1.W1,3,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block1.W2,4,76000,0.5050789473684211,0.0,0.0,{},1.0,1000,0
0,block2.W1,5,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block2.W2,6,76000,0.4860263157894737,0.0,0.0,{},1.0,1000,0
0,block3.W1,7,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block3.W2,8,76000,0.5592368421052631,0.0,0.0,{},1.0,1000,0
0,block4.W1,9,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block4.W2,10,76000,0.5428026315789474,0.0,0.0,{},1.0,1000,0
0,block5.W1,11,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block5.W2,12,76000,0.49396052631578946,0.0,0.0,{},1.0,1000,0
0,block6.W1,13,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block6.W2,14,76000,0.5068815789473684,0.0,0.0,{},1.0,1000,0
0,block7.W1,15,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block7.W2,16,76000,0.5483026315789473,0.0,0.0,{},1.0,1000,0
0,W_out,17,76000,0.0,0.0,0.0,{},1.0,1000,0
1,W_in,0,90000,0.0,0.0,0.0,{},1.0,1000,0
1,block0.W1,1,76000,0.0,0.0,0.0,{},1.0,1000,0
1,block0.W2,2,76000,0.5246184210526316,0.0,0.0,{},1.0,1000,0
1,block1.W1,3,76000,0.0,0.0,0.0,{},1.0,1000,0
1,block1.W2,4,76000,0.532157894736842,0.0,0.0,{},1.0,1000,0
1,block2.W1,5,76000,0.0,0.0,0.0,{},1.0,1000,0
1,block2.W2,6,76000,0.4957763157894737,0.0,0.0,{},1.0,1000,0
1,block3.W1,7,76000,0.0,0.0,0.0,{},1.0,1000,0
1,block3.W2,8,76000,0.5586578947368421,0.0,0.0,{},1.0,1000,0
1,block4.W1,9,76000,0.0,0.0,0.0,{},1.0,1000,0
1,block4.W2,10,76000,0.5018552631578947,0.0,0.0,{},1.0,1000,0
1,block5.W1,11,76000,0.0,0.0,0.0,{},1.0,1000,0
1,block5.W2,12,76000,0.5263552631578947,0.0,0.0,{},1.0,1000,0
1,block6.W1,13,76000,0.0,0.0,0.0,{},1.0,1000,0
1,block6.W2,14,76000,0.5014736842105263,0.0,0.0,{},1.0,1000,0
1,block7.W1,15,76000,0.0,0.0,0.0,{},1.0,1000,0
1,block7.W2,16,76000,0.5411184210526315,0.0,0.0,{},1.0,1000,0
1,W_out,17,76000,0.0,0.0,0.0,{},1.0,1000,0
2,W_in,0,90000,0.0,0.0,0.0,{},1.0,1000,0
2,block0.W1,1,76000,0.0,0.0,0.0,{},1.0,1000,0
2,block0.W2,2,76000,0.533157894736842,0.0,0.0,{},1.0,1000,0
2,block1.W1,3,76000,0.0,0.0,0.0,{},1.0,1000,0
2,block1.W2,4,76000,0.5419868421052632,0.0,0.0,{},1.0,1000,0
2,block2.W1,5,76000,0.0,0.0,0.0,{},1.0,1000,0
2,block2.W2,6,76000,0.4961973684210526,0.0,0.0,{},1.0,1000,0
2,block3.W1,7,76000,0.0,0.0,0.0,{},1.0,1000,0
2,block3.W2,8,76000,0.5660131578947368,0.0,0.0,{},1.0,1000,0
2,block4.W1,9,76000,0.0,0.0,0.0,{},1.0,1000,0
2,block4.W2,10,76000,0.5194210526315789,0.0,0.0,{},1.0,1000,0
2,block5.W1,11,76000,0.0,0.0,0.0,{},1.0,1000,0
2,block5.W2,12,76000,0.5317631578947368,0.0,0.0,{},1.0,1000,0
2,block6.W1,13,76000,0.0,0.0,0.0,{},1.0,1000,0
2,block6.W2,14,76000,0.5204868421052632,0.0,0.0,{},1.0,1000,0
2,block7.W1,15,76000,0.0,0.0,0.0,{},1.0,1000,0
2,block7.W2,16,76000,0.5342236842105264,0.0,0.0,{},1.0,1000,0
2,W_out,17,76000,0.0,0.0,0.0,{},1.0,1000,0
3,W_in,0,90000,0.0,0.0,0.0,{},1.0,1000,0
3,block0.W1,1,76000,0.0,0.0,0.0,{},1.0,1000,0
3,block0.W2,2,76000,0.5441447368421053,0.0,0.0,{},1.0,1000,0
3,block1.W1,3,76000,0.0,0.0,0.0,{},1.0,1000,0
3,block1.W2,4,76000,0.5507631578947368,0.0,0.0,{},1.0,1000,0
3,block2.W1,5,76000,0.0,0.0,0.0,{},1.0,1000,0
3,block2.W2,6,76000,0.5085921052631579,0.0,0.0,{},1.0,1000,0
3,block3.W1,7,76000,0.0,0.0,0.0,{},1.0,1000,0
3,block3.W2,8,76000,0.5534605263157895,0.0,0.0,{},1.0,1000,0
3,block4.W1,9,76000,0.0,0.0,0.0,{},1.0,1000,0
3,block4.W2,10,76000,0.5257763157894737,0.0,0.0,{},1.0,1000,0
3,block5.W1,11,76000,0.0,0.0,0.0,{},1.0,1000,0
3,block5.W2,12,76000,0.5338421052631579,0.0,0.0,{},1.0,1000,0
3,block6.W1,13,76000,0.0,0.0,0.0,{},1.0,1000,0
3,block6.W2,14,76000,0.5260526315789473,0.0,0.0,{},1.0,1000,0
3,block7.W1,15,76000,0.0,0.0,0.0,{},1.0,1000,0
