step,matrix,layer,values,zero_fraction,mse,relative_squared_error,code_histogram,cosine_mean_valid,cosine_valid_examples,cosine_undefined_examples
16,W_in,0,90000,0.0,0.0,0.0,{},1.0,1000,0
16,block0.W1,1,76000,0.0,0.0,0.0,{},1.0,1000,0
16,block0.W2,2,76000,0.5740526315789474,0.0,0.0,{},1.0,1000,0
16,block1.W1,3,76000,0.0,0.0,0.0,{},1.0,1000,0
16,block1.W2,4,76000,0.5961842105263158,0.0,0.0,{},1.0,1000,0
16,block2.W1,5,76000,0.0,0.0,0.0,{},1.0,1000,0
16,block2.W2,6,76000,0.5595394736842105,0.0,0.0,{},1.0,1000,0
16,block3.W1,7,76000,0.0,0.0,0.0,{},1.0,1000,0
16,block3.W2,8,76000,0.586171052631579,0.0,0.0,{},1.0,1000,0
16,block4.W1,9,76000,0.0,0.0,0.0,{},1.0,1000,0
16,block4.W2,10,76000,0.5633421052631579,0.0,0.0,{},1.0,1000,0
16,block5.W1,11,76000,0.0,0.0,0.0,{},1.0,1000,0
16,block5.W2,12,76000,0.5752631578947368,0.0,0.0,{},1.0,1000,0
16,block6.W1,13,76000,0.0,0.0,0.0,{},1.0,1000,0
16,block6.W2,14,76000,0.5581578947368421,0.0,0.0,{},1.0,1000,0
16,block7.W1,15,76000,0.0,0.0,0.0,{},1.0,1000,0
16,block7.W2,16,76000,0.5503815789473684,0.0,0.0,{},1.0,1000,0
16,W_out,17,76000,0.0,0.0,0.0,{},1.0,1000,0
