step,matrix,layer,stage,values,examples,features,mean,std,rms,zero_fraction,negative_fraction,max_abs,nonfinite_count,dead_features,dead_feature_fraction
17,W_in,0,input,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
17,W_in,0,output,76000,1000,76,0.06849913544037874,1.0775983885650005,1.079773318152456,0.0,0.4720263157894737,6.57849645614624,0,0,0.0
17,W_in,0,pre_quantization,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
17,block0.W1,1,branch_activation,76000,1000,76,0.580385707915013,0.8698447511907461,1.0456947265459944,0.5196447368421052,0.0,5.665940761566162,0,0,0.0
17,block0.W1,1,branch_output,76000,1000,76,-0.16917687375261214,1.3815884062537347,1.3919078054625034,0.0,0.5458815789473684,6.919116973876953,0,0,0.0
17,block0.W1,1,input,76000,1000,76,0.06955385554553188,0.9975781966878846,0.9999999986641502,0.0,0.4720263157894737,4.6897149085998535,0,0,0.0
17,block0.W1,1,output,76000,1000,76,-0.09798756634494009,1.5786856732404873,1.5817237489691347,0.0,0.5196447368421052,6.134084701538086,0,0,0.0
17,block0.W1,1,pre_quantization,76000,1000,76,0.06955385554553188,0.9975781966878846,0.9999999986641502,0.0,0.4720263157894737,4.6897149085998535,0,0,0.0
17,block0.W1,1,stream_after,76000,1000,76,-0.10067773845125493,1.6132010979447389,1.616339626882225,0.0,0.5138289473684211,7.9314727783203125,0,0,0.0
17,block0.W1,1,stream_before,76000,1000,76,0.06849913544037874,1.0775983885650005,1.079773318152456,0.0,0.4720263157894737,6.57849645614624,0,0,0.0
17,block0.W2,2,input,76000,1000,76,0.580385707915013,0.8698447511907461,1.0456947265459944,0.5196447368421052,0.0,5.665940761566162,0,0,0.0
17,block0.W2,2,output,76000,1000,76,-0.16917687375261214,1.3815884062537347,1.3919078054625034,0.0,0.5458815789473684,6.919116973876953,0,0,0.0
17,block0.W2,2,pre_quantization,76000,1000,76,0.580385707915013,0.8698447511907461,1.0456947265459944,0.5196447368421052,0.0,5.665940761566162,0,0,0.0
17,block1.W1,3,branch_activation,76000,1000,76,0.37816393842858587,0.6969977327655438,0.7929778078913228,0.6351184210526316,0.0,6.017210006713867,0,0,0.0
17,block1.W1,3,branch_output,76000,1000,76,0.08018281270074865,1.1317051863851946,1.134542159791231,0.0,0.4663157894736842,6.071369171142578,0,0,0.0
17,block1.W1,3,input,76000,1000,76,-0.06395059408596679,0.997953062533287,0.9999999967517573,0.0,0.5138289473684211,4.231993675231934,0,0,0.0
17,block1.W1,3,output,76000,1000,76,-0.5097083244273252,1.4963582171156549,1.5807879332535573,0.0,0.6351184210526316,6.297125816345215,0,0,0.0
17,block1.W1,3,pre_quantization,76000,1000,76,-0.06395059408596679,0.997953062533287,0.9999999967517573,0.0,0.5138289473684211,4.231993675231934,0,0,0.0
17,block1.W1,3,stream_after,76000,1000,76,-0.020494925914448688,1.9115493120542855,1.9116591784111128,0.0,0.5000131578947369,8.99013900756836,0,0,0.0
17,block1.W1,3,stream_before,76000,1000,76,-0.10067773845125493,1.6132010979447389,1.616339626882225,0.0,0.5138289473684211,7.9314727783203125,0,0,0.0
17,block1.W2,4,input,76000,1000,76,0.37816393842858587,0.6969977327655438,0.7929778078913228,0.6351184210526316,0.0,6.017210006713867,0,0,0.0
17,block1.W2,4,output,76000,1000,76,0.08018281270074865,1.1317051863851946,1.134542159791231,0.0,0.4663157894736842,6.071369171142578,0,0,0.0
17,block1.W2,4,pre_quantization,76000,1000,76,0.37816393842858587,0.6969977327655438,0.7929778078913228,0.6351184210526316,0.0,6.017210006713867,0,0,0.0
17,block2.W1,5,branch_activation,76000,1000,76,0.45215323238142646,0.7775465450202402,0.8994560440765766,0.5941315789473685,0.0,6.077429294586182,0,0,0.0
17,block2.W1,5,branch_output,76000,1000,76,-0.04036598927089779,1.2874453214213,1.288077974634848,0.0,0.515671052631579,7.2753400802612305,0,0,0.0
17,block2.W1,5,input,76000,1000,76,-0.010350340698902217,0.9999464307857621,0.9999999969968841,0.0,0.5000131578947369,3.9906206130981445,0,0,0.0
17,block2.W1,5,output,76000,1000,76,-0.3515943081674707,1.5275983689425323,1.5675379849725006,0.0,0.5941315789473685,6.713437557220459,0,0,0.0
