step,matrix,layer,stage,values,examples,features,mean,std,rms,zero_fraction,negative_fraction,max_abs,nonfinite_count,dead_features,dead_feature_fraction
0,W_in,0,input,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
0,W_in,0,output,76000,1000,76,0.009335639298897651,1.1058778552624287,1.10591725952756,0.0,0.5063026315789474,6.265900611877441,0,0,0.0
0,W_in,0,pre_quantization,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
0,block0.W1,1,branch_activation,76000,1000,76,0.6027487565217526,0.8631659922279227,1.0527875348935953,0.48368421052631577,0.0,5.932295799255371,0,0,0.0
0,block0.W1,1,branch_output,76000,1000,76,-0.10669676690211992,1.519205423240293,1.5229475756145,0.0,0.5536842105263158,6.062078952789307,0,0,0.0
0,block0.W1,1,input,76000,1000,76,0.001921260560622398,0.9999981526844265,0.9999999983072037,0.0,0.5063026315789474,3.762394905090332,0,0,0.0
0,block0.W1,1,output,76000,1000,76,0.06460218340918407,1.4247029673992233,1.426166886243467,0.0,0.48368421052631577,5.932295799255371,0,0,0.0
0,block0.W1,1,pre_quantization,76000,1000,76,0.001921260560622398,0.9999981526844265,0.9999999983072037,0.0,0.5063026315789474,3.762394905090332,0,0,0.0
0,block0.W1,1,stream_after,76000,1000,76,-0.09736112769654535,1.9076299408598842,1.9101128711286746,0.0,0.5264078947368421,8.376598358154297,0,0,0.0
0,block0.W1,1,stream_before,76000,1000,76,0.009335639298897651,1.1058778552624287,1.10591725952756,0.0,0.5063026315789474,6.265900611877441,0,0,0.0
0,block0.W2,2,input,76000,1000,76,0.6027487565217526,0.8631659922279227,1.0527875348935953,0.48368421052631577,0.0,5.932295799255371,0,0,0.0
0,block0.W2,2,output,76000,1000,76,-0.10669676690211992,1.519205423240293,1.5229475756145,0.0,0.5536842105263158,6.062078952789307,0,0,0.0
0,block0.W2,2,pre_quantization,76000,1000,76,0.6027487565217526,0.8631659922279227,1.0527875348935953,0.48368421052631577,0.0,5.932295799255371,0,0,0.0
0,block1.W1,3,branch_activation,76000,1000,76,0.5180962043835841,0.7498200105044898,0.9114020655833679,0.4808289473684211,0.0,5.1815996170043945,0,0,0.0
0,block1.W1,3,branch_output,76000,1000,76,0.19948562175014822,1.3145943335532375,1.3296438527272347,0.0,0.44355263157894737,5.373778820037842,0,0,0.0
0,block1.W1,3,input,76000,1000,76,-0.04688224209134377,0.9989004187045831,0.9999999955558514,0.0,0.5264078947368421,4.057644367218018,0,0,0.0
0,block1.W1,3,output,76000,1000,76,0.051246507535304436,1.237221130833869,1.2382820079111234,0.0,0.4808289473684211,5.1815996170043945,0,0,0.0
0,block1.W1,3,pre_quantization,76000,1000,76,-0.04688224209134377,0.9989004187045831,0.9999999955558514,0.0,0.5264078947368421,4.057644367218018,0,0,0.0
0,block1.W1,3,stream_after,76000,1000,76,0.10212449400247485,2.298501982051499,2.300769604669257,0.0,0.4800921052631579,9.451315879821777,0,0,0.0
0,block1.W1,3,stream_before,76000,1000,76,-0.09736112769654535,1.9076299408598842,1.9101128711286746,0.0,0.5264078947368421,8.376598358154297,0,0,0.0
0,block1.W2,4,input,76000,1000,76,0.5180962043835841,0.7498200105044898,0.9114020655833679,0.4808289473684211,0.0,5.1815996170043945,0,0,0.0
0,block1.W2,4,output,76000,1000,76,0.19948562175014822,1.3145943335532375,1.3296438527272347,0.0,0.44355263157894737,5.373778820037842,0,0,0.0
0,block1.W2,4,pre_quantization,76000,1000,76,0.5180962043835841,0.7498200105044898,0.9114020655833679,0.4808289473684211,0.0,5.1815996170043945,0,0,0.0
0,block2.W1,5,branch_activation,76000,1000,76,0.5193460931859822,0.8311384398097004,0.9800568711237352,0.553078947368421,0.0,6.264651298522949,0,0,0.0
0,block2.W1,5,branch_output,76000,1000,76,-0.09817926378015732,1.4273710890685996,1.4307436506045705,0.0,0.5197368421052632,6.074792861938477,0,0,0.0
0,block2.W1,5,input,76000,1000,76,0.04676530801372645,0.9989059067318502,1.0000000022686992,0.0,0.4800921052631579,4.230419635772705,0,0,0.0
0,block2.W1,5,output,76000,1000,76,-0.193769372126265,1.5165435209872038,1.5288724016812103,0.0,0.553078947368421,6.264651298522949,0,0,0.0
0,block2.W1,5,pre_quantization,76000,1000,76,0.04676530801372645,0.9989059067318502,1.0000000022686992,0.0,0.4800921052631579,4.230419635772705,0,0,0.0
0,block2.W1,5,stream_after,76000,1000,76,0.003945230388205106,2.706739414128626,2.706742289328667,0.0,0.5058947368421053,10.774938583374023,0,0,0.0
