epoch,layer,matrix,batches,mean_gradient_norm,max_gradient_norm,zero_gradient_batches,gradient_before_clipping,partial_epoch
1,0,W_in,79,0.8151900592861296,1.7733988761901855,0,True,False
1,1,block0.W1,79,0.5361260941511468,1.1036686897277832,0,True,False
1,2,block0.W2,79,0.5377774604513675,1.3976637125015259,0,True,False
1,3,block1.W1,79,0.3849092062704171,1.0296143293380737,0,True,False
1,4,block1.W2,79,0.3635503845878794,1.1709786653518677,0,True,False
1,5,block2.W1,79,0.2863962934175624,0.8813219666481018,0,True,False
1,6,block2.W2,79,0.28713382837138596,0.9500048756599426,0,True,False
1,7,block3.W1,79,0.22614101763767533,0.7372329831123352,0,True,False
1,8,block3.W2,79,0.20071605144988133,0.7391774654388428,0,True,False
1,9,block4.W1,79,0.18951099139602878,0.6276954412460327,0,True,False
1,10,block4.W2,79,0.19122407349604595,0.7235514521598816,0,True,False
1,11,block5.W1,79,0.1587689483090292,0.6663036942481995,0,True,False
1,12,block5.W2,79,0.17469744690800015,0.924933135509491,0,True,False
1,13,block6.W1,79,0.14968676252078406,0.6057884097099304,0,True,False
1,14,block6.W2,79,0.149962708495463,0.7334457635879517,0,True,False
1,15,block7.W1,79,0.1261623983707609,0.5129382014274597,0,True,False
1,16,block7.W2,79,0.13096557307658316,0.6614270210266113,0,True,False
1,17,W_out,79,0.523073219611675,2.68285870552063,0,True,False
2,0,W_in,79,0.8864436719236495,2.2190003395080566,0,True,False
2,1,block0.W1,79,0.5826064235047449,1.4848530292510986,0,True,False
2,2,block0.W2,79,0.5657377854178224,1.3461480140686035,0,True,False
2,3,block1.W1,79,0.39489555151402195,0.8466501832008362,0,True,False
2,4,block1.W2,79,0.3648164228925222,0.7153711318969727,0,True,False
2,5,block2.W1,79,0.27648730179931547,0.659044086933136,0,True,False
2,6,block2.W2,79,0.28160154913799673,0.589862048625946,0,True,False
2,7,block3.W1,79,0.2061816992450364,0.42482802271842957,0,True,False
2,8,block3.W2,79,0.1783114229387875,0.37964388728141785,0,True,False
2,9,block4.W1,79,0.16959162452552892,0.4331454336643219,0,True,False
2,10,block4.W2,79,0.16374484091242658,0.37541118264198303,0,True,False
2,11,block5.W1,79,0.132508271857153,0.27682530879974365,0,True,False
2,12,block5.W2,79,0.1374222456088549,0.2725876271724701,0,True,False
2,13,block6.W1,79,0.11361364011145846,0.2766675651073456,0,True,False
2,14,block6.W2,79,0.11328364173068275,0.25337299704551697,0,True,False
2,15,block7.W1,79,0.09407802798514124,0.22146838903427124,0,True,False
2,16,block7.W2,79,0.0932403875962843,0.19101767241954803,0,True,False
