step,matrix,layer,stage,values,examples,features,mean,std,rms,zero_fraction,negative_fraction,max_abs,nonfinite_count,dead_features,dead_feature_fraction
10,W_in,0,input,90000,1000,90,0.018378877114887452,0.768440140846667,0.7686598943540957,0.0029444444444444444,0.7184444444444444,2.821486711502075,0,0,0.0
10,W_in,0,output,76000,1000,76,0.06882048149518515,1.0867651708888741,1.0889420532472576,0.0,0.4745526315789474,6.733163356781006,0,0,0.0
10,W_in,0,pre_quantization,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
10,block0.W1,1,branch_activation,76000,1000,76,0.5827729182266377,0.8743024988666342,1.0507279066165667,0.5235394736842105,0.0,5.672482490539551,0,0,0.0
10,block0.W1,1,branch_output,76000,1000,76,-0.17207026021841845,1.3987417689518065,1.4092858867745974,0.0,0.5425,7.10261869430542,0,0,0.0
10,block0.W1,1,input,76000,1000,76,0.06768864724797344,0.9976977292082709,0.9999912558785706,0.009039473684210526,0.4698684210526316,4.532261848449707,0,0,0.0
10,block0.W1,1,output,76000,1000,76,-0.11859857762289405,1.6022572485977786,1.6066405675502835,0.0,0.5235394736842105,5.936146259307861,0,0,0.0
10,block0.W1,1,pre_quantization,76000,1000,76,0.06767079998198762,0.9977077036666676,0.9999999995630087,0.0,0.4745526315789474,4.532261848449707,0,0,0.0
10,block0.W1,1,stream_after,76000,1000,76,-0.10324977880485944,1.6249864258614835,1.6282633082696825,0.0,0.5146052631578948,8.473358154296875,0,0,0.0
10,block0.W1,1,stream_before,76000,1000,76,0.06882048149518515,1.0867651708888741,1.0889420532472576,0.0,0.4745526315789474,6.733163356781006,0,0,0.0
10,block0.W2,2,input,76000,1000,76,0.5827529852420434,0.8743071137991411,1.050720691263048,0.5270131578947368,0.0,5.672482490539551,0,0,0.0
10,block0.W2,2,output,76000,1000,76,-0.17207026021841845,1.3987417689518065,1.4092858867745974,0.0,0.5425,7.10261869430542,0,0,0.0
10,block0.W2,2,pre_quantization,76000,1000,76,0.5827729182266377,0.8743024988666342,1.0507279066165667,0.5235394736842105,0.0,5.672482490539551,0,0,0.0
10,block1.W1,3,branch_activation,76000,1000,76,0.3675577475182845,0.6767240780132966,0.7701001074689324,0.6331184210526316,0.0,5.660279750823975,0,0,0.0
10,block1.W1,3,branch_output,76000,1000,76,0.09086867175492894,1.1115131466980304,1.1152213191959084,0.0,0.46011842105263157,5.946229934692383,0,0,0.0
10,block1.W1,3,input,76000,1000,76,-0.06528020114098725,0.9978816784971755,1.0000146743630054,0.009486842105263158,0.5095394736842105,4.403637886047363,0,0,0.0
10,block1.W1,3,output,76000,1000,76,-0.5030068397088328,1.4635149174004591,1.5475437939675698,0.0,0.6331184210526316,6.429902076721191,0,0,0.0
10,block1.W1,3,pre_quantization,76000,1000,76,-0.06529932051287625,0.9978657163606914,0.9999999945737397,0.0,0.5146052631578948,4.403637886047363,0,0,0.0
10,block1.W1,3,stream_after,76000,1000,76,-0.01238110689583884,1.9059287582171844,1.9059689722572255,0.0,0.4990657894736842,9.667811393737793,0,0,0.0
10,block1.W1,3,stream_before,76000,1000,76,-0.10324977880485944,1.6249864258614835,1.6282633082696825,0.0,0.5146052631578948,8.473358154296875,0,0,0.0
10,block1.W2,4,input,76000,1000,76,0.3675443425318716,0.6767424330948152,0.7701098392296233,0.6356842105263157,0.0,5.660279750823975,0,0,0.0
10,block1.W2,4,output,76000,1000,76,0.09086867175492894,1.1115131466980304,1.1152213191959084,0.0,0.46011842105263157,5.946229934692383,0,0,0.0
10,block1.W2,4,pre_quantization,76000,1000,76,0.3675577475182845,0.6767240780132966,0.7701001074689324,0.6331184210526316,0.0,5.660279750823975,0,0,0.0
10,block2.W1,5,branch_activation,76000,1000,76,0.47067755064889305,0.7899055407482595,0.9195042794841367,0.5830263157894737,0.0,5.874166011810303,0,0,0.0
10,block2.W1,5,branch_output,76000,1000,76,-0.012027072272375336,1.3069310716153184,1.3069864101898723,0.0,0.5060657894736842,7.40755033493042,0,0,0.0
10,block2.W1,5,input,76000,1000,76,-0.006355147471087739,1.0000035359931667,1.0000237296675594,0.00918421052631579,0.49457894736842106,4.052724361419678,0,0,0.0
10,block2.W1,5,output,76000,1000,76,-0.30566920724138347,1.5272528073845564,1.5575412681272958,0.0,0.5830263157894737,6.272511005401611,0,0,0.0
10,block2.W1,5,pre_quantization,76000,1000,76,-0.006324816455058525,0.9999799955956574,0.9999999974473406,0.0,0.4990657894736842,4.052724361419678,0,0,0.0
10,block2.W1,5,stream_after,76000,1000,76,-0.024408179027760574,2.2461645453133405,2.2462971583978235,0.0,0.4960921052631579,9.682441711425781,0,0,0.0
10,block2.W1,5,stream_before,76000,1000,76,-0.01238110689583884,1.9059287582171844,1.9059689722572255,0.0,0.4990657894736842,9.667811393737793,0,0,0.0
10,block2.W2,6,input,76000,1000,76,0.47070655852666515,0.7899347140178113,0.919544189612668,0.5859868421052632,0.0,5.874166011810303,0,0,0.0
10,block2.W2,6,output,76000,1000,76,-0.012027072272375336,1.3069310716153184,1.3069864101898723,0.0,0.5060657894736842,7.40755033493042,0,0,0.0
10,block2.W2,6,pre_quantization,76000,1000,76,0.47067755064889305,0.7899055407482595,0.9195042794841367,0.5830263157894737,0.0,5.874166011810303,0,0,0.0
10,block3.W1,7,branch_activation,76000,1000,76,0.5122680331317078,0.8362628160176744,0.9806905909727283,0.559,0.0,6.161312103271484,0,0,0.0
10,block3.W1,7,branch_output,76000,1000,76,-0.011781643760355252,1.3485824175439314,1.3486338806504643,0.0,0.5049736842105264,5.865103244781494,0,0,0.0
10,block3.W1,7,input,76000,1000,76,-0.00828237289535862,1.000015193268683,1.0000494910098094,0.008157894736842105,0.492,3.879164218902588,0,0,0.0
10,block3.W1,7,output,76000,1000,76,-0.2085911192055448,1.5300198377834877,1.5441732283077674,0.0,0.559,6.161312103271484,0,0,0.0
10,block3.W1,7,pre_quantization,76000,1000,76,-0.008282028010325666,0.9999657040863722,1.0000000006684588,0.0,0.4960921052631579,3.879164218902588,0,0,0.0
10,block3.W1,7,stream_after,76000,1000,76,-0.036189823090713044,2.5848488875522935,2.5851022174714227,0.0,0.4985131578947368,13.57465934753418,0,0,0.0
10,block3.W1,7,stream_before,76000,1000,76,-0.024408179027760574,2.2461645453133405,2.2462971583978235,0.0,0.4960921052631579,9.682441711425781,0,0,0.0
10,block3.W2,8,input,76000,1000,76,0.5122851663279886,0.8362947689323202,0.9807267877361452,0.562921052631579,0.0,6.161312103271484,0,0,0.0
10,block3.W2,8,output,76000,1000,76,-0.011781643760355252,1.3485824175439314,1.3486338806504643,0.0,0.5049736842105264,5.865103244781494,0,0,0.0
10,block3.W2,8,pre_quantization,76000,1000,76,0.5122680331317078,0.8362628160176744,0.9806905909727283,0.559,0.0,6.161312103271484,0,0,0.0
10,block4.W1,9,branch_activation,76000,1000,76,0.5983032697729477,0.9544364169795506,1.1264615735469024,0.5446578947368421,0.0,7.179142475128174,0,0,0.0
10,block4.W1,9,branch_output,76000,1000,76,-0.044967880882400335,1.5920485180689714,1.5926834569984902,0.0,0.5136315789473684,7.234118938446045,0,0,0.0
10,block4.W1,9,input,76000,1000,76,-0.005223883477382754,1.0000059066420142,1.0000195509476313,0.008368421052631579,0.4945,4.292954444885254,0,0,0.0
10,block4.W1,9,output,76000,1000,76,-0.09603698629819586,1.615288615288103,1.6181410363180946,0.0,0.5446578947368421,7.179142475128174,0,0,0.0
10,block4.W1,9,pre_quantization,76000,1000,76,-0.0051802292586167874,0.9999865845325043,1.0000000020100777,0.0,0.4985131578947368,4.292954444885254,0,0,0.0
10,block4.W1,9,stream_after,76000,1000,76,-0.0811577042764739,3.0280215171933724,3.0291089253358785,0.0,0.5091184210526316,13.859124183654785,0,0,0.0
10,block4.W1,9,stream_before,76000,1000,76,-0.036189823090713044,2.5848488875522935,2.5851022174714227,0.0,0.4985131578947368,13.57465934753418,0,0,0.0
10,block4.W2,10,input,76000,1000,76,0.598270111708044,0.954434973369803,1.1264427393145964,0.5487236842105263,0.0,7.179142475128174,0,0,0.0
10,block4.W2,10,output,76000,1000,76,-0.044967880882400335,1.5920485180689714,1.5926834569984902,0.0,0.5136315789473684,7.234118938446045,0,0,0.0
10,block4.W2,10,pre_quantization,76000,1000,76,0.5983032697729477,0.9544364169795506,1.1264615735469024,0.5446578947368421,0.0,7.179142475128174,0,0,0.0
10,block5.W1,11,branch_activation,76000,1000,76,0.533003992803559,0.8770513632985584,1.0263100653352262,0.5673026315789473,0.0,5.786592483520508,0,0,0.0
10,block5.W1,11,branch_output,76000,1000,76,0.13546424775049723,1.476672603911957,1.4828730699431856,0.0,0.46361842105263157,6.177728176116943,0,0,0.0
10,block5.W1,11,input,76000,1000,76,-0.021824893476760112,0.999787767986888,1.0000259531589544,0.008460526315789474,0.5048552631578948,4.165951728820801,0,0,0.0
10,block5.W1,11,output,76000,1000,76,-0.19190649113640842,1.5549128868496693,1.566710626450035,0.0,0.5673026315789473,6.3366379737854,0,0,0.0
10,block5.W1,11,pre_quantization,76000,1000,76,-0.021812162597502623,0.9997620854640924,0.9999999989843456,0.0,0.5091184210526316,4.165951728820801,0,0,0.0
10,block5.W1,11,stream_after,76000,1000,76,0.05430654328198809,3.4062924269152512,3.4067253042039405,0.0,0.4928947368421053,13.461040496826172,0,0,0.0
10,block5.W1,11,stream_before,76000,1000,76,-0.0811577042764739,3.0280215171933724,3.0291089253358785,0.0,0.5091184210526316,13.859124183654785,0,0,0.0
10,block5.W2,12,input,76000,1000,76,0.533003809214153,0.8770445032089156,1.0263041075849648,0.5707894736842105,0.0,5.786592483520508,0,0,0.0
10,block5.W2,12,output,76000,1000,76,0.13546424775049723,1.476672603911957,1.4828730699431856,0.0,0.46361842105263157,6.177728176116943,0,0,0.0
10,block5.W2,12,pre_quantization,76000,1000,76,0.533003992803559,0.8770513632985584,1.0263100653352262,0.5673026315789473,0.0,5.786592483520508,0,0,0.0
10,block6.W1,13,branch_activation,76000,1000,76,0.5918011781739239,0.9023529842455761,1.0791058996525509,0.5277236842105263,0.0,5.26060152053833,0,0,0.0
10,block6.W1,13,branch_output,76000,1000,76,0.036440960700264764,1.5590221638986563,1.55944799565231,0.0,0.4903421052631579,6.475579261779785,0,0,0.0
10,block6.W1,13,input,76000,1000,76,0.02019365842963912,0.9997929276796834,0.9999968410345533,0.007894736842105263,0.4891578947368421,3.9461731910705566,0,0,0.0
10,block6.W1,13,output,76000,1000,76,-0.04322896578314649,1.5251971595914722,1.5258096601832665,0.0,0.5277236842105263,5.26060152053833,0,0,0.0
10,block6.W1,13,pre_quantization,76000,1000,76,0.020190845713130665,0.9997961420268836,0.9999999979312258,0.0,0.4928947368421053,3.9461731910705566,0,0,0.0
10,block6.W1,13,stream_after,76000,1000,76,0.09074750351148511,3.8016178072091478,3.802700758866421,0.0,0.49526315789473685,16.03331184387207,0,0,0.0
10,block6.W1,13,stream_before,76000,1000,76,0.05430654328198809,3.4062924269152512,3.4067253042039405,0.0,0.4928947368421053,13.461040496826172,0,0,0.0
10,block6.W2,14,input,76000,1000,76,0.5917950117986797,0.9024099470483069,1.0791501510547674,0.5311973684210526,0.0,5.26060152053833,0,0,0.0
10,block6.W2,14,output,76000,1000,76,0.036440960700264764,1.5590221638986563,1.55944799565231,0.0,0.4903421052631579,6.475579261779785,0,0,0.0
