step,matrix,layer,stage,values,examples,features,mean,std,rms,zero_fraction,negative_fraction,max_abs,nonfinite_count,dead_features,dead_feature_fraction
39,W_in,0,input,90000,1000,90,0.018378877114887452,0.768440140846667,0.7686598943540957,0.0029444444444444444,0.7184444444444444,2.821486711502075,0,0,0.0
39,W_in,0,output,76000,1000,76,0.06316159664746719,0.7046941422550062,0.7075190608171459,0.0,0.4596710526315789,3.407402992248535,0,0,0.0
39,W_in,0,pre_quantization,90000,1000,90,0.018114338403025208,0.7685564910431445,0.7687699325418043,0.0,0.7199444444444445,2.821486711502075,0,0,0.0
39,block0.W1,1,branch_activation,76000,1000,76,0.31135893655767916,0.522641967720291,0.6083576364252088,0.5927236842105263,0.0,3.6812527179718018,0,0,0.0
39,block0.W1,1,branch_output,76000,1000,76,-0.06944276039709607,0.5747851684202101,0.5789648407350984,0.0,0.5468026315789474,3.117755174636841,0,0,0.0
39,block0.W1,1,input,76000,1000,76,0.09327711370990513,0.9956323985624806,0.9999922464746059,0.0075,0.45598684210526313,4.103900909423828,0,0,0.0
39,block0.W1,1,output,76000,1000,76,-0.27409917301635406,1.0815189656802975,1.1157121626003859,0.0,0.5927236842105263,4.18626594543457,0,0,0.0
39,block0.W1,1,pre_quantization,76000,1000,76,0.09327312852426313,0.9956405569754324,0.9999999975995265,0.0,0.4596710526315789,4.103900909423828,0,0,0.0
39,block0.W1,1,stream_after,76000,1000,76,-0.006281163847582464,0.8748094727322769,0.8748320219341565,0.0,0.5015131578947368,4.428956031799316,0,0,0.0
39,block0.W1,1,stream_before,76000,1000,76,0.06316159664746719,0.7046941422550062,0.7075190608171459,0.0,0.4596710526315789,3.407402992248535,0,0,0.0
39,block0.W2,2,input,76000,1000,76,0.311347310291064,0.5226562984926747,0.6083639979317842,0.5955921052631579,0.0,3.6812527179718018,0,0,0.0
39,block0.W2,2,output,76000,1000,76,-0.06944276039709607,0.5747851684202101,0.5789648407350984,0.0,0.5468026315789474,3.117755174636841,0,0,0.0
39,block0.W2,2,pre_quantization,76000,1000,76,0.31135893655767916,0.522641967720291,0.6083576364252088,0.5927236842105263,0.0,3.6812527179718018,0,0,0.0
