epoch,layer,matrix,latent_rms,alpha,effective_rms,negative_codes,zero_codes,positive_codes,parameters,representation
0,0,W_in,0.15054698288440704,0.12004115432500839,0.09990786015987396,2384,2102,2354,6840,active_W3
0,1,block0.W1,0.1622338443994522,0.1288866549730301,0.10709567368030548,2031,1788,1957,5776,active_W3
0,2,block0.W2,0.16258029639720917,0.13010770082473755,0.108191579580307,2016,1782,1978,5776,active_W3
0,3,block1.W1,0.16229717433452606,0.12906555831432343,0.10685369372367859,1943,1817,2016,5776,active_W3
0,4,block1.W2,0.162313774228096,0.12916231155395508,0.10694729536771774,1935,1816,2025,5776,active_W3
0,5,block2.W1,0.16274648904800415,0.13016407191753387,0.10857666283845901,2072,1757,1947,5776,active_W3
0,6,block2.W2,0.1638205647468567,0.13087481260299683,0.10912878066301346,2024,1760,1992,5776,active_W3
0,7,block3.W1,0.16110794246196747,0.12836496531963348,0.10568146407604218,1908,1861,2007,5776,active_W3
0,8,block3.W2,0.1614849865436554,0.12805825471878052,0.10624712705612183,1986,1800,1990,5776,active_W3
0,9,block4.W1,0.16358041763305664,0.13032759726047516,0.10783037543296814,2009,1822,1945,5776,active_W3
0,10,block4.W2,0.16307811439037323,0.1297779530286789,0.1078362837433815,2025,1788,1963,5776,active_W3
0,11,block5.W1,0.16279970109462738,0.13004307448863983,0.1083812490105629,2010,1764,2002,5776,active_W3
0,12,block5.W2,0.1610989272594452,0.12876856327056885,0.10691703110933304,1978,1794,2004,5776,active_W3
0,13,block6.W1,0.16004882752895355,0.12822450697422028,0.10659889876842499,2023,1784,1969,5776,active_W3
0,14,block6.W2,0.16172081232070923,0.12879960238933563,0.10707700997591019,1966,1784,2026,5776,active_W3
0,15,block7.W1,0.1632949262857437,0.13098259270191193,0.10928662866353989,2027,1755,1994,5776,active_W3
0,16,block7.W2,0.16102254390716553,0.12797248363494873,0.10593535751104355,1980,1818,1978,5776,active_W3
0,17,W_out,0.11335897445678711,0.09089189022779465,0.07654428482055664,274,221,265,760,active_W3
1,0,W_in,0.15102390944957733,0.12039531022310257,0.10001209378242493,2362,2120,2358,6840,active_W3
1,1,block0.W1,0.16246649622917175,0.12902246415615082,0.10736971348524094,2040,1776,1960,5776,active_W3
1,2,block0.W2,0.16272200644016266,0.1301184743642807,0.10788853466510773,2010,1805,1961,5776,active_W3
1,3,block1.W1,0.162921741604805,0.12948088347911835,0.10734635591506958,1957,1806,2013,5776,active_W3
1,4,block1.W2,0.16288918256759644,0.12958097457885742,0.10744286328554153,1946,1805,2025,5776,active_W3
1,5,block2.W1,0.1631508469581604,0.13058996200561523,0.10893192887306213,2086,1757,1933,5776,active_W3
1,6,block2.W2,0.16408421099185944,0.13086473941802979,0.10873931646347046,2024,1788,1964,5776,active_W3
1,7,block3.W1,0.16220495104789734,0.1294061839580536,0.10695964843034744,1940,1830,2006,5776,active_W3
1,8,block3.W2,0.16270774602890015,0.1289651244878769,0.1064058318734169,1956,1844,1976,5776,active_W3
1,9,block4.W1,0.1647566258907318,0.13132528960704803,0.10877944529056549,2017,1813,1946,5776,active_W3
1,10,block4.W2,0.16455203294754028,0.1306990683078766,0.10832899808883667,1982,1808,1986,5776,active_W3
1,11,block5.W1,0.16370435059070587,0.13065102696418762,0.1087113618850708,1984,1777,2015,5776,active_W3
1,12,block5.W2,0.16200844943523407,0.12943196296691895,0.10726524144411087,1960,1809,2007,5776,active_W3
1,13,block6.W1,0.16142484545707703,0.12940222024917603,0.10808879137039185,2033,1746,1997,5776,active_W3
1,14,block6.W2,0.16318288445472717,0.1300271898508072,0.1080433651804924,1968,1788,2020,5776,active_W3
1,15,block7.W1,0.16435620188713074,0.13169601559638977,0.1092652827501297,1999,1800,1977,5776,active_W3
1,16,block7.W2,0.16207954287528992,0.12877556681632996,0.10653278231620789,1988,1823,1965,5776,active_W3
1,17,W_out,0.129227414727211,0.10579805821180344,0.08884914964437485,268,224,268,760,active_W3
2,0,W_in,0.15140902996063232,0.12075658142566681,0.10026969015598297,2359,2124,2357,6840,active_W3
2,1,block0.W1,0.1629875749349594,0.12941290438175201,0.10762729495763779,2027,1781,1968,5776,active_W3
2,2,block0.W2,0.1631181687116623,0.1305006891489029,0.10835522413253784,2020,1794,1962,5776,active_W3
2,3,block1.W1,0.16342243552207947,0.1298655867576599,0.1075703427195549,1946,1813,2017,5776,active_W3
2,4,block1.W2,0.16313762962818146,0.12973017990589142,0.10762075334787369,1960,1801,2015,5776,active_W3
