epoch,optimizer_updates,train_loss,train_accuracy,val_loss,val_accuracy,lr,best_epoch,selected_best,explosion_seen,relu_branch_all_zero,all_layer_epoch_gradients_zero,failure,elapsed_seconds
1,79,0.8543703340053558,0.7551,0.43207998657226565,0.883,0.001,1,True,False,False,False,,0.8984974510967731
2,158,0.29800556676387785,0.9173,0.3230792236328125,0.904,0.001,2,True,False,False,False,,1.3192203678190708
3,237,0.23361079576015473,0.9324,0.2603557434082031,0.923,0.001,3,True,False,False,False,,1.7410490550100803
4,316,0.18732519550323487,0.9431,0.23660714721679688,0.925,0.001,4,True,False,False,False,,2.1627707108855247
5,395,0.1685942850112915,0.9473,0.23053701782226563,0.921,0.001,5,True,False,False,False,,2.9280018284916878
6,474,0.15753703274726868,0.9535,0.1938879089355469,0.948,0.001,6,True,False,False,False,,3.7006478644907475
7,553,0.13047810215950012,0.96,0.2138585205078125,0.938,0.001,6,False,False,False,False,,4.483239118009806
8,632,0.11665481390953064,0.9628,0.2190282745361328,0.934,0.001,6,False,False,False,False,,5.25848288461566
9,711,0.13574215232133865,0.9574,0.22109242248535158,0.939,0.001,6,False,False,False,False,,6.035462938249111
10,790,0.10262312147915363,0.968,0.2000071563720703,0.939,0.001,6,False,False,False,False,,6.8156592063605785
11,869,0.08534407808482647,0.9724,0.21217526245117188,0.94,0.001,6,False,False,False,False,,7.5987375639379025
12,948,0.09581585991978646,0.9708,0.2298174591064453,0.937,0.001,6,False,False,False,False,,8.383991602808237
13,1027,0.06739605891704559,0.9783,0.17455422973632811,0.95,0.0005,13,True,False,False,False,,9.18307339027524
14,1106,0.05429432127475738,0.9824,0.20215481567382812,0.944,0.0005,13,False,False,False,False,,9.973662726581097
15,1185,0.051141577493399384,0.985,0.1835056610107422,0.949,0.0005,13,False,False,False,False,,10.7657704167068
16,1264,0.04757556095868349,0.9854,0.17352354431152345,0.947,0.0005,16,True,False,False,False,,11.56169867143035
17,1343,0.04514193434715271,0.9862,0.17723208618164063,0.944,0.0005,16,False,False,False,False,,12.357639390975237
18,1422,0.04414238494560122,0.9864,0.19236932373046875,0.948,0.0005,16,False,False,False,False,,13.155836220830679
19,1501,0.05078727920651436,0.9831,0.21165576171875,0.941,0.0005,16,False,False,False,False,,13.966051805764437
20,1580,0.06035919456016272,0.9802,0.20998867797851561,0.94,0.0005,16,False,False,False,False,,14.769034519791603
21,1659,0.04302491112947464,0.9865,0.1881136474609375,0.943,0.0005,16,False,False,False,False,,15.573451500386
22,1738,0.045435797798633576,0.9842,0.18723332214355468,0.95,0.0005,16,False,False,False,False,,16.38019585236907
23,1817,0.02683227742165327,0.9929,0.16443299865722658,0.958,0.00025,23,True,False,False,False,,17.19100272655487
24,1896,0.018660339371860027,0.9956,0.17143394470214843,0.958,0.00025,23,False,False,False,False,,18.00199069455266
25,1975,0.021744777391850947,0.9945,0.16375962829589844,0.956,0.00025,25,True,False,False,False,,18.816044446080923
26,2054,0.01710218474417925,0.9953,0.1800063781738281,0.952,0.00025,25,False,False,False,False,,19.640331622213125
27,2133,0.01588771235868335,0.9965,0.18050491333007812,0.953,0.00025,25,False,False,False,False,,20.45727476105094
28,2212,0.02105823726337403,0.9941,0.17179808044433595,0.96,0.00025,25,False,False,False,False,,21.276716861873865
29,2291,0.02683172138631344,0.9917,0.16139512634277345,0.96,0.00025,29,True,False,False,False,,22.10037736967206
30,2370,0.020012918029725553,0.9934,0.17464964294433594,0.954,0.00025,29,False,False,False,False,,22.923512760549784
31,2449,0.01697409879937768,0.9949,0.1721272735595703,0.96,0.00025,29,False,False,False,False,,23.749126501381397
32,2528,0.021997149935737252,0.9941,0.19834846496582031,0.952,0.00025,29,False,False,False,False,,24.587364695966244
33,2607,0.02532428528666496,0.9921,0.17225888061523437,0.955,0.00025,29,False,False,False,False,,25.41956151276827
34,2686,0.021157019770890476,0.9936,0.17566278076171876,0.953,0.00025,29,False,False,False,False,,26.25350695475936
35,2765,0.021522312214970588,0.9928,0.20015536499023437,0.951,0.00025,29,False,False,False,False,,27.088720217347145
36,2844,0.015987853725254537,0.9954,0.17925935363769532,0.955,0.000125,29,False,False,False,False,,27.925701919943094
37,2923,0.009897725611925125,0.9981,0.1643866424560547,0.953,0.000125,29,False,False,False,False,,28.765164028853178
38,3002,0.014639181783795356,0.9957,0.18167643737792968,0.953,0.000125,29,False,False,False,False,,29.616631019860506
39,3081,0.011509986901655793,0.9969,0.1914461669921875,0.954,0.000125,29,False,False,False,False,,30.460235249251127
40,3160,0.008679778212215751,0.9988,0.16290919494628905,0.961,0.000125,29,False,False,False,False,,31.307166304439306
41,3239,0.0110452731218189,0.9974,0.16848028564453124,0.951,0.000125,29,False,False,False,False,,32.155846919864416
42,3318,0.008058008674252779,0.9983,0.1719821014404297,0.956,6.25e-05,29,False,False,False,False,,33.00642749667168
43,3397,0.0070404817566275596,0.9986,0.18928851318359374,0.951,6.25e-05,29,False,False,False,False,,33.86250230669975
44,3476,0.011190285508520902,0.9973,0.18683482360839843,0.959,6.25e-05,29,False,False,False,False,,34.717025600373745
45,3555,0.00614910495840013,0.9991,0.17830854797363282,0.954,6.25e-05,29,False,False,False,False,,35.58413775637746
46,3634,0.006604901869595051,0.9989,0.1864680938720703,0.954,6.25e-05,29,False,False,False,False,,36.446040757000446
47,3713,0.006200632855296135,0.9987,0.1843988494873047,0.958,6.25e-05,29,False,False,False,False,,37.308319982141256
48,3792,0.004469737715832889,0.9994,0.17874826049804687,0.958,3.125e-05,29,False,False,False,False,,38.17381201684475
49,3871,0.004769421476125717,0.9994,0.1713550262451172,0.961,3.125e-05,29,False,False,False,False,,39.04008283093572
