condition,seed,status,blocks,width,num_params,test_accuracy_percent,val_accuracy_percent,elapsed_seconds,selected_attempt,epochs,best_epoch,mean_abs_y,zero_difference_fraction
E18a,0,success,16,76,192432,89.21,88.8,5247.188922911882,,,,0.002454879973025527,5.208333333333333e-06
E18a,1,success,16,76,192432,89.85,88.9,5293.557581424713,,,,0.0023420009432981413,9.114583333333334e-06
E18a,2,success,16,76,192432,89.01,86.5,5116.475343350321,,,,0.0023870316091924907,7.8125e-06
E18b,0,success,24,76,284848,89.22,88.9,6627.489370968193,,,,0.002248628388023159,3.90625e-06
E18b,1,success,24,76,284848,87.85,86.5,6691.892377153039,,,,0.0023620266217233925,1.3020833333333334e-05
E18b,2,success,24,76,284848,88.68,86.6,6761.863553024828,,,,0.0022623564540408553,1.171875e-05
E18c,0,success,32,76,377264,87.71,87.8,8311.125460695475,,,,0.002279580664471723,1.3020833333333334e-05
E18c,1,success,32,76,377264,87.7,86.5,7949.63819392398,,,,0.00237703415491463,1.4322916666666666e-05
E18c,2,success,32,76,377264,87.25,84.8,7965.101585038006,,,,0.002184463631051282,9.114583333333334e-06
E18d,0,success,16,54,98712,88.92,87.9,3198.555756084621,,,,0.003524576101277489,1.0416666666666666e-05
E18d,1,success,16,54,98712,89.23,87.9,3261.5164020732045,,,,0.0036271984368989553,1.3020833333333333e-06
E18d,2,success,16,54,98712,89.11,86.9,3240.968293376267,,,,0.003511473659464779,5.208333333333333e-06
E19a,0,success,8,76,100016,74.42999999999999,72.7,3389.9507785476744,,,,0.01691258470644243,3.90625e-06
E19a,1,success,8,76,100016,76.07000000000001,75.1,3167.1464510448277,,,,0.015581130237939457,0.0
E19a,2,success,8,76,100016,77.38000000000001,76.5,3683.0648880898952,,,,0.01479600820480846,3.90625e-06
E20a,0,success,8,76,100016,95.94,95.3,18.695340782403946,0,36,16,,
E20a,1,success,8,76,100016,95.87,95.89999999999999,15.72493489086628,0,37,17,,
E20a,2,success,8,76,100016,96.1,96.3,20.46007316187024,0,39,19,,
E20b,0,success,8,76,100016,95.93,95.39999999999999,23.32153418660164,0,33,13,,
E20b,1,success,8,76,100016,95.19,95.1,21.171744521707296,0,30,10,,
E20b,2,success,8,76,100016,95.42,95.5,20.999246023595333,0,30,10,,
E20c,0,success,8,76,100016,96.12,96.8,35.85701855272055,0,59,39,,
E20c,1,success,8,76,100016,95.99,96.3,48.97855522483587,0,59,39,,
E20c,2,success,8,76,100016,95.85000000000001,96.0,39.35009264945984,0,49,29,,
