condition,seed,layer,mean_abs_y,zero_fraction,selected_intervals
E18a,0,0,0.0027867139151788217,6.025838796760509e-06,5186
E18a,0,1,0.002619194733793211,0.0,4575
E18a,0,2,0.002593002401580533,0.0,4608
E18a,0,3,0.0025237058054882622,9.979774324036619e-06,4697
E18a,0,4,0.0025136299881650345,1.0089324149806285e-05,4646
E18a,0,5,0.0024920107123981533,6.566505568396722e-06,4759
E18a,0,6,0.002489315821108945,6.685922122379119e-06,4674
E18a,0,7,0.002460370340237492,3.2894736842105265e-06,4750
E18a,0,8,0.00243888673298998,3.4477052074139454e-06,4532
E18a,0,9,0.002443707611858749,3.3594925822403784e-06,4651
E18a,0,10,0.0024256081554842367,1.016590761223162e-05,4611
E18a,0,11,0.002411962416034339,1.01769431176726e-05,4606
E18a,0,12,0.002426296844200433,1.0159297789336801e-05,4614
E18a,0,13,0.002423973073314256,3.4048812377424276e-06,4589
E18a,0,14,0.0024250240566257154,0.0,4599
E18a,0,15,0.0024240063842601318,0.0,4585
E18a,0,16,0.0024186326106734658,6.799390774586597e-06,4596
E18a,0,17,0.0023904417298768192,0.0,4601
E18a,0,18,0.0024083438189331386,0.0,4671
E18a,0,19,0.0024281226938252876,3.3667313079077784e-06,4641
E18a,0,20,0.002417120384103077,3.4011754462342184e-06,4594
E18a,0,21,0.0023965497759917626,6.77433340559289e-06,4613
E18a,0,22,0.0024006556540958255,3.41828921461387e-06,4571
E18a,0,23,0.0024065897570261243,6.853070175438597e-06,4560
E18a,0,24,0.002413279285488724,1.004823151125402e-05,4665
E18a,0,25,0.002434732636583073,6.970778496542494e-06,4483
E18a,0,26,0.0024049560046317674,3.398216615919965e-06,4598
E18a,0,27,0.002399253321461958,6.7728651928912006e-06,4614
E18a,0,28,0.0024174331424443264,6.714654061022776e-06,4654
E18a,0,29,0.0024121952715781846,6.780212627467998e-06,4609
E18a,0,30,0.00241495667009869,9.924835909379632e-06,4723
E18a,0,31,0.0024185814024337087,1.3628434365460096e-05,4586
E18a,0,32,0.002408609155726785,3.299894403379092e-06,4735
E18a,0,33,0.0032971217337321146,0.0,751
E18a,1,0,0.0026357694605294232,1.1879870747006273e-05,5261
E18a,1,1,0.0024787566734983894,1.0130754268424465e-05,4627
E18a,1,2,0.0024567021761293436,0.0,4623
E18a,1,3,0.002388530558733365,1.0016025641025641e-05,4680
E18a,1,4,0.0023922029183879143,1.0011747116616831e-05,4682
E18a,1,5,0.002376522688550496,3.391578033427393e-06,4607
E18a,1,6,0.002352670390858699,1.3581051716644938e-05,4602
E18a,1,7,0.002353352407313663,3.348692670381483e-06,4666
E18a,1,8,0.002351088736919707,1.3578101238322832e-05,4603
E18a,1,9,0.00233101071986002,1.3363267051528757e-05,4677
E18a,1,10,0.0023309364487133144,6.746545768566494e-06,4632
E18a,1,11,0.0023180175871165623,1.0159297789336801e-05,4614
E18a,1,12,0.002320419481559426,0.0,4642
E18a,1,13,0.002304972510004433,3.3265914413455397e-06,4697
E18a,1,14,0.0023096446784257843,1.657649055803098e-05,4713
E18a,1,15,0.002304768784379504,6.856077226853883e-06,4558
E18a,1,16,0.0023017002036043147,1.3455328310010765e-05,4645
E18a,1,17,0.0023181879673217667,3.382034632034632e-06,4620
E18a,1,18,0.0023037545543127293,6.8455640744797375e-06,4565
E18a,1,19,0.0022977846766501367,1.0163703382480486e-05,4612
E18a,1,20,0.0023016459163853606,6.674498077744554e-06,4682
E18a,1,21,0.002308083518746676,1.0412039093736118e-05,4502
E18a,1,22,0.002309950985584498,3.339388758281684e-06,4679
E18a,1,23,0.0023033162564388477,6.734913793103448e-06,4640
E18a,1,24,0.0023075023113463453,6.703131703131703e-06,4662
E18a,1,25,0.002304443707951137,1.3498920086393088e-05,4630
E18a,1,26,0.0023102344138605313,9.849758352595083e-06,4759
E18a,1,27,0.002301147882576808,6.706008583690987e-06,4660
E18a,1,28,0.002306412300823982,6.794955425092411e-06,4599
E18a,1,29,0.0023062584934750905,3.390106313733999e-06,4609
E18a,1,30,0.00231309322482997,6.872663294479877e-06,4547
E18a,1,31,0.0022948039246093515,1.0214643713227283e-05,4589
E18a,1,32,0.0022949376455446194,2.045603316604844e-05,4583
E18a,1,33,0.0031945745063599053,0.0,747
E18a,2,0,0.0026770924748017798,1.1897963068722635e-05,5253
E18a,2,1,0.0025325676335430725,9.941675503711559e-06,4715
E18a,2,2,0.00252233803660466,3.374730021598272e-06,4630
E18a,2,3,0.002432072447221604,6.838074398249453e-06,4570
E18a,2,4,0.002459493805577221,1.0082813508281351e-05,4649
E18a,2,5,0.002412809657469046,9.986152535151257e-06,4694
E18a,2,6,0.0023834260382418846,1.333760136577038e-05,4686
E18a,2,7,0.0023786241518020394,3.337961973937193e-06,4681
E18a,2,8,0.0023787972720622883,9.988280417643299e-06,4693
E18a,2,9,0.0023791285953146603,1.0152696556205328e-05,4617
E18a,2,10,0.0023585593861937715,2.0309792027729637e-05,4616
E18a,2,11,0.0023575866534913713,6.812731632875517e-06,4587
E18a,2,12,0.0023707384818824643,3.2880892255892254e-06,4752
E18a,2,13,0.0023598760334484644,3.3718170047475183e-06,4634
E18a,2,14,0.0023702737227961844,1.0210193857547376e-05,4591
E18a,2,15,0.0023512688237952903,1.0290889132821076e-05,4555
E18a,2,16,0.0023489819740500654,3.3689090125053904e-06,4638
E18a,2,17,0.0023476585361186814,3.348692670381483e-06,4666
E18a,2,18,0.0023318117762694086,1.3575152041702866e-05,4604
E18a,2,19,0.002358015876298177,1.342065707537041e-05,4657
E18a,2,20,0.002358225786698459,1.0225785340314137e-05,4584
E18a,2,21,0.0023558236054160896,3.41828921461387e-06,4571
E18a,2,22,0.0023477017605404707,6.886293521375055e-06,4538
E18a,2,23,0.002352344338758531,1.0152696556205328e-05,4617
E18a,2,24,0.0023455589664886697,6.815703380588877e-06,4585
E18a,2,25,0.0023625619551816833,9.882985452245414e-06,4743
E18a,2,26,0.0023609644438351033,2.0032051282051282e-05,4680
E18a,2,27,0.002357335724840793,0.0,4676
E18a,2,28,0.0023349949211197,0.0,4615
E18a,2,29,0.0023344278558767207,6.915246736003541e-06,4519
E18a,2,30,0.0023318919215183477,0.0,4616
E18a,2,31,0.002355623639530398,3.3465410152066823e-06,4669
E18a,2,32,0.002351397661540925,3.404139433551198e-06,4590
E18a,2,33,0.0032808295322359223,2.1492434662998625e-05,727
E18b,0,0,0.0026766856317106944,0.0,3862
E18b,0,1,0.0024769262926043374,4.7091621458710065e-06,3318
E18b,0,2,0.0024107162349982494,4.664179104477612e-06,3350
E18b,0,3,0.0023404197051357114,0.0,3374
E18b,0,4,0.0023712241424774507,9.577076310144039e-06,3263
E18b,0,5,0.002302215228524731,9.347891115764284e-06,3343
E18b,0,6,0.002300051533476518,0.0,3293
E18b,0,7,0.0022702261394615996,4.6502976190476195e-06,3360
E18b,0,8,0.002243220636101956,4.662787227693226e-06,3351
E18b,0,9,0.002263676449204443,9.421163702140488e-06,3317
E18b,0,10,0.002268527176440794,0.0,3465
E18b,0,11,0.0022462263656534464,4.579425556858147e-06,3412
E18b,0,12,0.002242815021558132,0.0,3328
