condition,seed,stage,layer,mean_abs_y,sample_std_abs_y
E18a,0,initial,0,0.00808875635266304,0.006902372299530123
E18a,0,initial,1,0.009179405868053436,0.006617215561038768
E18a,0,initial,2,0.007859371602535248,0.006106085795333037
E18a,0,initial,3,0.00687788799405098,0.00507300519265611
E18a,0,initial,4,0.009049862623214722,0.007505526897470125
E18a,0,initial,5,0.006129678338766098,0.00500661287769537
E18a,0,initial,6,0.007546164095401764,0.006048910502134258
E18a,0,initial,7,0.006020590662956238,0.004997850702691831
E18a,0,initial,8,0.0049896202981472015,0.004559649338306633
E18a,0,initial,9,0.004095491021871567,0.0028707748888123917
E18a,0,initial,10,0.004782665520906448,0.004491876798290758
E18a,0,initial,11,0.003809254616498947,0.003193623802213637
E18a,0,initial,12,0.00391150638461113,0.0032011465578271783
E18a,0,initial,13,0.0035819709300994873,0.0022512235886038012
E18a,0,initial,14,0.0032732710242271423,0.0023635463497508145
E18a,0,initial,15,0.003981336951255798,0.0034957564882617644
E18a,0,initial,16,0.003352805972099304,0.0025385653301242014
E18a,0,initial,17,0.0032882504165172577,0.002811333188091093
E18a,0,initial,18,0.004679389297962189,0.0035315222458279323
E18a,0,initial,19,0.0037307627499103546,0.0029780416004552748
E18a,0,initial,20,0.0031270645558834076,0.002578530533240516
E18a,0,initial,21,0.0029711946845054626,0.002198649581567754
E18a,0,initial,22,0.003178425133228302,0.0026994491371452206
E18a,0,initial,23,0.0033484958112239838,0.0025734629433705664
E18a,0,initial,24,0.004311215132474899,0.003008791654900624
E18a,0,initial,25,0.003210596740245819,0.003443848227239851
E18a,0,initial,26,0.0030789822340011597,0.002458487810310683
E18a,0,initial,27,0.003276500850915909,0.0025464461109160753
E18a,0,initial,28,0.003624655306339264,0.002575362793348351
E18a,0,initial,29,0.003008916974067688,0.0027816325447534646
E18a,0,initial,30,0.003214489668607712,0.0026138329197147245
E18a,0,initial,31,0.0034312307834625244,0.0028674601658961545
E18a,0,initial,32,0.004148948937654495,0.0027592725478190927
E18a,0,initial,33,0.036895446479320526,0.024524490675792987
E18a,0,final,0,0.005684415344148874,0.004258015375738841
E18a,0,final,1,0.0045214369893074036,0.003554078646024538
E18a,0,final,2,0.0037021362222731113,0.002742853386008208
E18a,0,final,3,0.003094709012657404,0.0025128019435948384
E18a,0,final,4,0.0035245930776000023,0.0028651407730543184
E18a,0,final,5,0.002763428259640932,0.0023736259232556723
E18a,0,final,6,0.0023793792352080345,0.00194336108112312
E18a,0,final,7,0.0018944719340652227,0.0013723551396736266
E18a,0,final,8,0.0023802078794687986,0.0016873724075756275
E18a,0,final,9,0.0013808212243020535,0.0013459438015086418
E18a,0,final,10,0.0020433752797544003,0.0016052584254797654
E18a,0,final,11,0.0018596174195408821,0.001227354767907507
E18a,0,final,12,0.0014704195782542229,0.001092547334075484
E18a,0,final,13,0.0013547302223742008,0.0010868420128699503
E18a,0,final,14,0.0012107323855161667,0.0008301620159135149
E18a,0,final,15,0.0014828210696578026,0.001203931703644167
E18a,0,final,16,0.001268231077119708,0.0012274962323746326
E18a,0,final,17,0.0010563021060079336,0.0007953784329227629
E18a,0,final,18,0.001233682269230485,0.0009773492011528823
E18a,0,final,19,0.0011705360375344753,0.0009512274490189425
E18a,0,final,20,0.0010473623406141996,0.0009651585798729932
E18a,0,final,21,0.0012176912277936935,0.0012656856829539596
E18a,0,final,22,0.0008810574654489756,0.0007742752626261502
E18a,0,final,23,0.0009459252469241619,0.0007247421715967347
E18a,0,final,24,0.0010602856054902077,0.0007303111757730332
E18a,0,final,25,0.0011378414928913116,0.0008468727409599876
E18a,0,final,26,0.0009863569866865873,0.0006995576594870684
E18a,0,final,27,0.0007839514873921871,0.0005930282199961162
E18a,0,final,28,0.0008225482888519764,0.0006482729092276246
E18a,0,final,29,0.0007536718621850014,0.0005936187584432997
E18a,0,final,30,0.0007843873463571072,0.0006121979808025884
E18a,0,final,31,0.0007123816758394241,0.0006310355193988639
E18a,0,final,32,0.0006935561541467905,0.00046997177860796393
E18a,0,final,33,0.005487659480422735,0.004123099141878408
E18a,1,initial,0,0.007653072476387024,0.006752310329155958
E18a,1,initial,1,0.005299024283885956,0.0036199468815102743
E18a,1,initial,2,0.007435128092765808,0.005995855153281186
E18a,1,initial,3,0.004818033427000046,0.0032667139650507655
E18a,1,initial,4,0.005057796835899353,0.004622783849388493
E18a,1,initial,5,0.005229126662015915,0.004283184332210401
E18a,1,initial,6,0.005559414625167847,0.004402043544077421
E18a,1,initial,7,0.0030620917677879333,0.0029595642915195906
E18a,1,initial,8,0.0038714371621608734,0.003261028085936927
E18a,1,initial,9,0.0037698261439800262,0.0030427926632952897
E18a,1,initial,10,0.004371233284473419,0.003960894502975958
E18a,1,initial,11,0.0033780187368392944,0.0027977335080957982
E18a,1,initial,12,0.004049811512231827,0.0028737997237601614
E18a,1,initial,13,0.0038362182676792145,0.002769644868174484
E18a,1,initial,14,0.0029391124844551086,0.0022738846196180126
E18a,1,initial,15,0.003683924674987793,0.003026664037575963
E18a,1,initial,16,0.0026738718152046204,0.0026781732021075814
E18a,1,initial,17,0.002931889146566391,0.002581891593476644
E18a,1,initial,18,0.0028128139674663544,0.0025325449165305184
E18a,1,initial,19,0.0033478103578090668,0.0023919845830686405
E18a,1,initial,20,0.002704910933971405,0.0024863826722623166
E18a,1,initial,21,0.00273856520652771,0.0019286945707321507
E18a,1,initial,22,0.002926573157310486,0.002264090916974744
E18a,1,initial,23,0.0024124830961227417,0.0019178712039072032
E18a,1,initial,24,0.0031783953309059143,0.0021672371382891816
E18a,1,initial,25,0.0026099905371665955,0.0022202881749619117
E18a,1,initial,26,0.0034628398716449738,0.0025296500730317244
E18a,1,initial,27,0.002276826649904251,0.0022534714591835652
E18a,1,initial,28,0.0028485655784606934,0.002019096616113681
E18a,1,initial,29,0.0026705414056777954,0.0022438871130016345
E18a,1,initial,30,0.0029543451964855194,0.0022101903089571866
E18a,1,initial,31,0.0026053115725517273,0.0018163589570508731
E18a,1,initial,32,0.0029961690306663513,0.0020863025368420326
E18a,1,initial,33,0.02777082845568657,0.020327924662822124
E18a,1,final,0,0.004818175453692675,0.003640970511355623
E18a,1,final,1,0.0042243474163115025,0.0028654331557701612
E18a,1,final,2,0.003914173226803541,0.0032226138356029185
E18a,1,final,3,0.003645530203357339,0.0038164591706801054
E18a,1,final,4,0.0025842003524303436,0.001999311522472606
E18a,1,final,5,0.0026152869686484337,0.002108706146308284
E18a,1,final,6,0.002542064758017659,0.0022989283658675173
E18a,1,final,7,0.0022927336394786835,0.0018774292133172368
E18a,1,final,8,0.0018112787511199713,0.0018052514635935378
E18a,1,final,9,0.0016855576541274786,0.0014558376228880736
E18a,1,final,10,0.0018066568300127983,0.0013432816923332183
E18a,1,final,11,0.0016220072284340858,0.0013664159357585695
E18a,1,final,12,0.001799468183889985,0.0013874144232515942
E18a,1,final,13,0.0014974107034504414,0.001139386517411904
E18a,1,final,14,0.00149556715041399,0.0011826711151741512
E18a,1,final,15,0.0013252971693873405,0.0013100892614895427
E18a,1,final,16,0.0010878776665776968,0.0010501307651187425
E18a,1,final,17,0.0012032249942421913,0.0011234240862269913
E18a,1,final,18,0.0009928792715072632,0.0008208759563762995
E18a,1,final,19,0.00104206008836627,0.0008533890012894072
E18a,1,final,20,0.001167011447250843,0.0007725677657631301
E18a,1,final,21,0.001050261314958334,0.0007768423546151592
E18a,1,final,22,0.0007605981081724167,0.000636427609326836
E18a,1,final,23,0.0009881937876343727,0.0008636210886562387
E18a,1,final,24,0.0010227435268461704,0.0008718117580886804
E18a,1,final,25,0.0007865941151976585,0.0006217007731044419
E18a,1,final,26,0.0008466532453894615,0.0006896153812218317
E18a,1,final,27,0.0007873484864830971,0.0006223030955826189
E18a,1,final,28,0.0007524301763623953,0.0006384317388934537
