condition,stage,layer,seeds,mean_abs_y_mean,mean_abs_y_sample_std
E18a,final,0,3,0.005281384413441022,0.0004362441212655951
E18a,final,1,3,0.004310609928021829,0.00018358322051289242
E18a,final,10,3,0.0018018316477537155,0.0002439920092786641
E18a,final,11,3,0.0018164869397878647,0.00017690277883362305
E18a,final,12,3,0.0015818589987854164,0.00018847350052430265
E18a,final,13,3,0.0014097457751631737,7.67392742365886e-05
E18a,final,14,3,0.0013184165582060814,0.00015460238809309195
E18a,final,15,3,0.0014007181550065677,7.897424213499114e-05
E18a,final,16,3,0.0011903404568632443,9.26535580994463e-05
E18a,final,17,3,0.0010800797802706559,0.0001131459885838245
E18a,final,18,3,0.0011741113072882097,0.0001599924485524439
E18a,final,19,3,0.0010700603015720844,8.98111542504443e-05
E18a,final,2,3,0.0036342088133096695,0.0003193923338498634
E18a,final,20,3,0.0010728413083901007,8.436726212513891e-05
E18a,final,21,3,0.0011931159533560276,0.00013229021083249339
E18a,final,22,3,0.000851294103388985,8.007623571582254e-05
E18a,final,23,3,0.0008959495462477207,0.00012496616071467056
E18a,final,24,3,0.0009916532629479964,8.837873383159964e-05
E18a,final,25,3,0.0008689619911213716,0.0002386076696504519
E18a,final,26,3,0.0008617572020739317,0.0001177764241406686
E18a,final,27,3,0.0008195190069576105,5.86874471419993e-05
E18a,final,28,3,0.0008106181242813667,5.323508537612541e-05
E18a,final,29,3,0.0007969618309289217,4.884842463448168e-05
E18a,final,3,3,0.0031181312321374812,0.0005160866407413182
E18a,final,30,3,0.0007842979393899441,2.4966084324978604e-05
E18a,final,31,3,0.0007174668523172537,5.6803532454171e-05
E18a,final,32,3,0.0006800543051213026,8.117178510071415e-05
E18a,final,33,3,0.005628912088771661,0.00040969068857843276
E18a,final,4,3,0.002935002247492472,0.0005136630568895256
E18a,final,5,3,0.002668723308791717,8.224222879050242e-05
E18a,final,6,3,0.0025223896373063326,0.00013425847667489305
E18a,final,7,3,0.0022035482494781413,0.00027553059867960785
E18a,final,8,3,0.002084946104635795,0.0002850786339678178
E18a,final,9,3,0.0016211209973941247,0.00021543432801491124
E18a,initial,0,3,0.009047333151102066,0.0020492286942457734
E18a,initial,1,3,0.00730849305788676,0.0019438977920719067
E18a,initial,10,3,0.004562641183535258,0.0002072035151733814
E18a,initial,11,3,0.003879047930240631,0.0005393235086404462
E18a,initial,12,3,0.004278939217329025,0.0005212441208687345
E18a,initial,13,3,0.003984827548265457,0.0004942129149279024
E18a,initial,14,3,0.0036395875116189322,0.000938854932389205
E18a,initial,15,3,0.004164942850669225,0.0005944807704337471
E18a,initial,16,3,0.0033496332665284476,0.0006741806976135843
E18a,initial,17,3,0.003335723032553991,0.000429542207189617
E18a,initial,18,3,0.003622978925704956,0.0009573418767858291
E18a,initial,19,3,0.003357113649447759,0.0003690854033413986
E18a,initial,2,3,0.007978233198324839,0.0006112655512673323
E18a,initial,20,3,0.0032211653888225555,0.0005691692218695061
E18a,initial,21,3,0.0030315816402435303,0.00032741347752371575
E18a,initial,22,3,0.0032474808394908905,0.00036043159918059715
E18a,initial,23,3,0.0029747560620307922,0.0004956697802584284
E18a,initial,24,3,0.0037782353659470878,0.0005693618334029405
E18a,initial,25,3,0.0030177831649780273,0.00035333263020662455
E18a,initial,26,3,0.003332072248061498,0.0002192230528556542
E18a,initial,27,3,0.0029272052148977914,0.0005637599884989967
E18a,initial,28,3,0.003335485855738322,0.0004241554650339226
E18a,initial,29,3,0.002936519682407379,0.0002381799837435733
E18a,initial,3,3,0.005793777604897817,0.0010341941965397667
E18a,initial,30,3,0.0032727730770905814,0.0003512155080412193
E18a,initial,31,3,0.003182807316382726,0.0005017489992342211
E18a,initial,32,3,0.003649012496074041,0.0005914057802733039
E18a,initial,33,3,0.034494816015164055,0.005901967972596375
E18a,initial,4,3,0.006916447232166926,0.002010166451896683
E18a,initial,5,3,0.005786995093027751,0.0004873159433009356
E18a,initial,6,3,0.006240562846263249,0.0011310391472194256
E18a,initial,7,3,0.0046390766898791,0.0014889041598133014
E18a,initial,8,3,0.004397846758365631,0.0005619499223605155
E18a,initial,9,3,0.003868747502565384,0.00019689662706997638
E18b,final,0,3,0.005606211721897125,0.00022527083090053917
E18b,final,1,3,0.0042851098502675695,0.0005010483982696401
E18b,final,10,3,0.002018140939374765,0.00025925054911486126
E18b,final,11,3,0.001870176289230585,0.00010380442053301459
E18b,final,12,3,0.001852652368446191,0.0001613613695828249
E18b,final,13,3,0.0018831010287006695,0.00022617009259064244
E18b,final,14,3,0.001967442532380422,0.0006139749616596616
E18b,final,15,3,0.0016862729874749978,0.0002959078533573573
E18b,final,16,3,0.0016066973718504112,0.0003354959066011186
E18b,final,17,3,0.0015175997590025265,3.94732065739642e-05
