condition,step,layer,matrix,seeds,relative_squared_error_mean,relative_squared_error_sample_std,cosine_mean_valid_mean,cosine_mean_valid_sample_std
E17a,0,0,W_in,3,4.652780117705896e-05,0.0,0.9999797303468754,0.0
E17a,0,1,block0.W1,3,3.6009367159669144e-05,2.501967096358998e-06,0.9999822095954896,1.2384533784190047e-06
E17a,0,10,block4.W2,3,2.9758561137918692e-05,3.072211887040387e-06,0.9999854798847674,1.5181631242887637e-06
E17a,0,11,block5.W1,3,3.382855064078176e-05,1.0067291244895313e-06,0.9999832885536784,5.014589540698422e-07
E17a,0,12,block5.W2,3,3.289366263236174e-05,2.415643694737711e-06,0.9999839857074699,1.0777458379635176e-06
E17a,0,13,block6.W1,3,3.657850833397207e-05,2.594790819180579e-06,0.9999819247373618,1.2772839987348407e-06
E17a,0,14,block6.W2,3,2.9774996664980923e-05,3.119509802519084e-07,0.9999854254292913,1.5584920576436172e-07
E17a,0,15,block7.W1,3,3.75792884510682e-05,2.805374517961483e-06,0.9999814212575799,1.4000191264210229e-06
E17a,0,16,block7.W2,3,2.9409682878608633e-05,1.6794372872012345e-06,0.9999856502197211,8.015103491555776e-07
E17a,0,17,W_out,3,3.5585117277960495e-05,1.6422862401350585e-06,0.9999824268354869,8.108417952075245e-07
E17a,0,2,block0.W2,3,2.9207875363285777e-05,7.37103011418397e-07,0.9999857361381527,3.708546254668485e-07
E17a,0,3,block1.W1,3,3.6591976408236235e-05,1.5451790680162257e-06,0.9999819203326655,7.670800858725946e-07
E17a,0,4,block1.W2,3,3.2293842904711805e-05,4.808572287825653e-06,0.999984190906987,2.4495116349600247e-06
E17a,0,5,block2.W1,3,3.487819519163393e-05,2.538224433042098e-06,0.999982768747528,1.2669367073587406e-06
E17a,0,6,block2.W2,3,2.860381835984724e-05,2.2046931663769655e-06,0.9999860381548471,1.0184203787363123e-06
E17a,0,7,block3.W1,3,3.840987796656076e-05,3.3480039015243765e-06,0.999981032374588,1.6676904804602111e-06
E17a,0,8,block3.W2,3,2.8431673890981682e-05,3.091707750613186e-06,0.9999861127953321,1.5683604046213415e-06
E17a,0,9,block4.W1,3,3.4098130863905546e-05,1.6653354981172977e-06,0.9999831672910074,8.16816820383552e-07
E17a,1000,0,W_in,3,4.652780117705896e-05,0.0,0.9999797303468754,0.0
