condition,seed,layer,matrix,fires,selected_intervals,fire_intervals,selected_coordinates,all_interval_firing_rate,selected_interval_firing_rate
E17a,0,0,W_in,720,8135,720,13008,0.06,0.08850645359557467
E17a,0,1,block0.W1,647,7380,647,11135,0.05391666666666667,0.08766937669376694
E17a,0,2,block0.W2,678,7436,678,11240,0.0565,0.09117805271651426
E17a,0,3,block1.W1,589,7352,589,11076,0.04908333333333333,0.08011425462459194
E17a,0,4,block1.W2,588,7350,588,11059,0.049,0.08
E17a,0,5,block2.W1,591,7321,591,10981,0.04925,0.08072667668351319
E17a,0,6,block2.W2,603,7356,603,10950,0.05025,0.08197389885807504
E17a,0,7,block3.W1,614,7341,614,11097,0.051166666666666666,0.08363983108568315
E17a,0,8,block3.W2,571,7370,571,11130,0.04758333333333333,0.07747625508819539
E17a,0,9,block4.W1,578,7294,578,11013,0.04816666666666667,0.07924321360021935
E17a,0,10,block4.W2,595,7384,595,11115,0.04958333333333333,0.08057963163596966
E17a,0,11,block5.W1,609,7398,609,11143,0.05075,0.08231954582319546
E17a,0,12,block5.W2,633,7389,633,11154,0.05275,0.08566788469346326
E17a,0,13,block6.W1,611,7424,611,11155,0.050916666666666666,0.08230064655172414
E17a,0,14,block6.W2,609,7285,609,11017,0.05075,0.08359643102264928
E17a,0,15,block7.W1,615,7338,615,11071,0.05125,0.08381030253475061
E17a,0,16,block7.W2,591,7394,591,11175,0.04925,0.07992967270760076
E17a,0,17,W_out,133,1402,133,1481,0.011083333333333334,0.09486447931526391
E17a,1,0,W_in,675,8106,675,12968,0.05625,0.08327165062916358
E17a,1,1,block0.W1,656,7376,656,11139,0.05466666666666667,0.08893709327548807
E17a,1,2,block0.W2,622,7339,622,11012,0.051833333333333335,0.08475269110233002
E17a,1,3,block1.W1,609,7308,609,11003,0.05075,0.08333333333333333
E17a,1,4,block1.W2,570,7438,570,11113,0.0475,0.07663350363000807
E17a,1,5,block2.W1,624,7351,624,11221,0.052,0.08488641001224323
E17a,1,6,block2.W2,609,7307,609,10999,0.05075,0.08334473792254003
E17a,1,7,block3.W1,596,7366,596,11021,0.049666666666666665,0.08091229975563399
E17a,1,8,block3.W2,585,7335,585,10952,0.04875,0.07975460122699386
E17a,1,9,block4.W1,625,7436,625,11074,0.052083333333333336,0.08405056481979559
E17a,1,10,block4.W2,594,7397,594,11021,0.0495,0.08030282546978505
E17a,1,11,block5.W1,529,7386,529,11055,0.044083333333333335,0.07162198754400216
E17a,1,12,block5.W2,617,7481,617,11193,0.051416666666666666,0.08247560486565968
E17a,1,13,block6.W1,628,7364,628,11062,0.052333333333333336,0.08527973927213471
E17a,1,14,block6.W2,627,7423,627,11310,0.05225,0.0844671965512596
E17a,1,15,block7.W1,580,7373,580,11125,0.04833333333333333,0.078665400786654
E17a,1,16,block7.W2,609,7492,609,11243,0.05075,0.08128670581954084
E17a,1,17,W_out,135,1410,135,1489,0.01125,0.09574468085106383
E17a,2,0,W_in,715,8012,715,12791,0.059583333333333335,0.08924113829256115
E17a,2,1,block0.W1,641,7392,641,11194,0.05341666666666667,0.08671536796536797
E17a,2,2,block0.W2,571,7419,571,11274,0.04758333333333333,0.07696455047850115
E17a,2,3,block1.W1,602,7373,602,11074,0.050166666666666665,0.08164926081649261
E17a,2,4,block1.W2,578,7299,578,11037,0.04816666666666667,0.07918892999040965
E17a,2,5,block2.W1,645,7339,645,11052,0.05375,0.0878866330562747
E17a,2,6,block2.W2,634,7408,634,11294,0.052833333333333336,0.08558315334773219
E17a,2,7,block3.W1,612,7477,612,11384,0.051,0.08185100976327404
E17a,2,8,block3.W2,598,7312,598,10949,0.049833333333333334,0.08178336980306346
E17a,2,9,block4.W1,607,7281,607,10906,0.050583333333333334,0.08336766927619832
E17a,2,10,block4.W2,632,7429,632,11181,0.05266666666666667,0.0850720150760533
E17a,2,11,block5.W1,584,7366,584,11044,0.048666666666666664,0.07928319304914472
E17a,2,12,block5.W2,620,7291,620,10935,0.051666666666666666,0.0850363461802222
E17a,2,13,block6.W1,607,7435,607,11137,0.050583333333333334,0.0816408876933423
E17a,2,14,block6.W2,605,7435,605,11177,0.050416666666666665,0.08137188971082716
E17a,2,15,block7.W1,644,7355,644,11067,0.05366666666666667,0.0875594833446635
E17a,2,16,block7.W2,599,7350,599,11057,0.049916666666666665,0.08149659863945578
E17a,2,17,W_out,119,1367,119,1447,0.009916666666666667,0.08705193855157278
E17b,0,0,W_in,696,8135,696,13008,0.058,0.08555623847572219
E17b,0,1,block0.W1,582,7380,582,11135,0.0485,0.07886178861788617
E17b,0,2,block0.W2,584,7436,584,11240,0.048666666666666664,0.078536847767617
E17b,0,3,block1.W1,535,7352,535,11076,0.044583333333333336,0.07276931447225245
E17b,0,4,block1.W2,637,7350,637,11059,0.05308333333333334,0.08666666666666667
E17b,0,5,block2.W1,597,7321,597,10981,0.04975,0.08154623685288895
E17b,0,6,block2.W2,593,7356,593,10950,0.049416666666666664,0.08061446438281675
E17b,0,7,block3.W1,637,7341,637,11097,0.05308333333333334,0.0867729192208146
E17b,0,8,block3.W2,641,7370,641,11130,0.05341666666666667,0.0869742198100407
E17b,0,9,block4.W1,636,7294,636,11013,0.053,0.0871949547573348
E17b,0,10,block4.W2,609,7384,609,11115,0.05075,0.08247562296858071
E17b,0,11,block5.W1,658,7398,658,11143,0.05483333333333333,0.08894295755609624
E17b,0,12,block5.W2,612,7389,612,11154,0.051,0.0828258221680877
E17b,0,13,block6.W1,591,7424,591,11155,0.04925,0.07960668103448276
E17b,0,14,block6.W2,570,7285,570,11017,0.0475,0.07824296499656828
E17b,0,15,block7.W1,608,7338,608,11071,0.050666666666666665,0.08285636413191605
E17b,0,16,block7.W2,642,7394,642,11175,0.0535,0.08682715715444955
E17b,0,17,W_out,115,1402,115,1481,0.009583333333333333,0.08202567760342368
E17b,1,0,W_in,721,8106,721,12968,0.060083333333333336,0.08894645941278066
E17b,1,1,block0.W1,605,7376,605,11139,0.050416666666666665,0.08202277657266811
E17b,1,2,block0.W2,583,7339,583,11012,0.04858333333333333,0.07943861561520643
E17b,1,3,block1.W1,637,7308,637,11003,0.05308333333333334,0.0871647509578544
E17b,1,4,block1.W2,559,7438,559,11113,0.04658333333333333,0.07515461145469213
E17b,1,5,block2.W1,631,7351,631,11221,0.052583333333333336,0.08583866140661134
E17b,1,6,block2.W2,589,7307,589,10999,0.04908333333333333,0.0806076365129328
E17b,1,7,block3.W1,597,7366,597,11021,0.04975,0.08104805864784144
E17b,1,8,block3.W2,562,7335,562,10952,0.04683333333333333,0.07661895023858215
E17b,1,9,block4.W1,594,7436,594,11074,0.0495,0.07988165680473373
E17b,1,10,block4.W2,615,7397,615,11021,0.05125,0.08314181424901987
