step,elapsed_seconds,train_forward_calls,abs_y_mean,val_loss,val_accuracy,fires,clip_rate,zero_difference_count,zero_difference_fraction,saturation_rate,nonzero_vote_rate,scale,counter_peak_abs,counter_count,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_saturated_count,counter_saturated_fraction,counter_capacity,counter_all_mean,counter_all_abs_mean
1,0.17449115216732025,128,0.003108251839876175,,,0,0.0,0,0.0,0.0,0.154296875,0.02,6,21,-5,6,0.6666666865348816,6,2.3809523582458496,0,0.0,127,6.998880417086184e-05,0.0002499599941074848
2,0.3498108424246311,256,0.004188653081655502,,,0,0.0,0,0.0,0.0,0.2001953125,0.018266647338867188,10,24,-8,10,0.5416666865348816,10,3.125,0,0.0,127,6.498960283352062e-05,0.0003749400202650577
3,0.5247837603092194,384,0.012626245617866516,,,1,0.140625,0,0.0,0.0,0.7431640625,0.016835566711425783,49,19,-49,16,-3.8421051502227783,49,9.421052932739258,0,0.0,127,-0.00036494160303846,0.0008948568138293922
4,0.698995515704155,512,0.005659658461809158,,,1,0.0,0,0.0,0.0,0.353515625,0.016445049362182617,21,21,-17,21,-0.5714285969734192,21,5.333333492279053,0,0.0,127,-5.99904014961794e-05,0.0005599104333668947
5,0.8739006109535694,640,0.003595896065235138,,,1,0.0,0,0.0,0.0,0.2294921875,0.015354200050354004,10,19,-10,5,-2.1578948497772217,10,4.157894611358643,0,0.0,127,-0.0002049672038992867,0.0003949367965105921
6,1.049386978149414,768,0.006361473351716995,,,1,0.0625,0,0.0,0.0,0.4482421875,0.01410354719619751,22,23,-13,22,-0.21739129722118378,22,5.08695650100708,0,0.0,127,-2.4996001229737885e-05,0.0005849064327776432
7,1.225187424570322,896,0.007562953978776932,,,1,0.09375,0,0.0,0.0,0.55078125,0.013269712442703249,18,19,-18,13,-0.21052631735801697,18,7.473684310913086,0,0.0,127,-1.9996799892396666e-05,0.0007098864298313856
8,1.400019384920597,1024,0.005014743655920029,,,1,0.03125,0,0.0,0.0,0.392578125,0.012633964342964174,18,22,-18,13,0.27272728085517883,18,5.363636493682861,0,0.0,127,2.99952007480897e-05,0.0005899055977351964
9,1.5745444297790527,1152,0.004031691700220108,,,1,0.03125,0,0.0,0.0,0.3505859375,0.011848787894629672,22,22,-22,9,-0.9545454382896423,22,4.409090995788574,0,0.0,127,-0.00010498320625629276,0.0004849224060308188
10,1.7488982640206814,1280,0.0074288249015808105,,,0,0.1875,0,0.0,0.0,0.6064453125,0.01100973525415352,35,20,-10,35,3.8499999046325684,35,5.849999904632568,0,0.0,127,0.0003849384083878249,0.0005849064327776432
11,1.9197449199855328,1408,0.01306537538766861,,,1,0.59375,0,0.0,0.0,0.82421875,0.010669793833230357,54,24,-54,16,-2.5833332538604736,54,7.25,0,0.0,127,-0.00030995041015557945,0.0008698608144186437
12,2.0910036973655224,1536,0.009261876344680786,,,1,0.390625,0,0.0,0.0,0.71484375,0.010777550472856539,42,19,-42,11,-3.6842105388641357,42,7.684210300445557,0,0.0,127,-0.0003499440208543092,0.00072988320607692
13,2.264137003570795,1664,0.0040229372680187225,,,1,0.0,0,0.0,0.0,0.3955078125,0.010574720085299888,17,20,-9,17,1.5499999523162842,17,5.449999809265137,0,0.0,127,0.00015497520507778972,0.0005449128220789135
14,2.4352685026824474,1792,0.0059540532529354095,,,1,0.203125,0,0.0,0.0,0.533203125,0.00991247455534656,20,21,-15,18,-0.095238097012043,18,5.809523582458496,0,0.0,127,-9.998399946198333e-06,0.0006099024321883917
15,2.6098846048116684,1920,0.003447398543357849,,,1,0.0,0,0.0,0.0,0.3583984375,0.009414014460956924,11,20,-7,11,1.350000023841858,11,4.349999904632568,0,0.0,127,0.00013497839972842485,0.00043493040720932186
16,2.7806526385247707,2048,0.005279611796140671,,,1,0.171875,0,0.0,0.0,0.517578125,0.0088249003073417,17,21,-17,14,-0.6666666865348816,17,6.5714287757873535,0,0.0,127,-6.998880417086184e-05,0.0006898895953781903
17,2.95129831135273,2176,0.004818174988031387,,,1,0.171875,0,0.0,0.0,0.541015625,0.00836813049145128,19,19,-19,16,1.1578947305679321,19,7.3684210777282715,0,0.0,127,0.00010998240031767637,0.0006998880417086184
18,3.122337382286787,2304,0.004980217665433884,,,1,0.21875,0,0.0,0.0,0.5615234375,0.007962044447311035,22,18,-15,21,3.722222328186035,21,8.05555534362793,0,0.0,127,0.00033494640956632793,0.0007248840411193669
19,3.293123982846737,2432,0.0020921453833580017,,,1,0.0,0,0.0,0.0,0.275390625,0.007629278036637549,12,21,-6,11,1.1428571939468384,11,3.4285714626312256,0,0.0,127,0.0001199808029923588,0.0003599424089770764
20,3.465612579137087,2560,0.004715844988822937,,,1,0.3125,0,0.0,0.0,0.576171875,0.007036008893862466,29,21,-12,29,-0.5714285969734192,29,7.047618865966797,0,0.0,127,-5.99904014961794e-05,0.0007398815941996872
21,3.637447588145733,2688,0.004623081535100937,,,1,0.203125,0,0.0,0.0,0.533203125,0.006720744186116844,18,23,-10,18,0.782608687877655,18,6.08695650100708,0,0.0,127,8.99856022442691e-05,0.0006998880417086184
22,3.809463180601597,2816,0.005124516785144806,,,1,0.296875,0,0.0,0.0,0.65625,0.006408109617358675,21,21,-20,21,-2.857142925262451,21,7.809523582458496,0,0.0,127,-0.00029995202203281224,0.0008198688155971467
