step,elapsed_seconds,train_forward_calls,abs_y_mean,val_loss,val_accuracy,fires,clip_rate,zero_difference_count,zero_difference_fraction,saturation_rate,nonzero_vote_rate,scale,counter_peak_abs,counter_count,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_saturated_count,counter_saturated_fraction,counter_capacity,counter_all_mean,counter_all_abs_mean
1,0.1687384583055973,128,0.007204119116067886,,,1,0.0,0,0.0,0.0,0.3408203125,0.02,19,21,-6,19,2.238095283508301,19,5.190476417541504,0,0.0,127,0.000234962411923334,0.0005449128220789135
2,0.33713989704847336,256,0.0050626397132873535,,,1,0.0,0,0.0,0.0,0.2353515625,0.018642728805541995,11,24,-11,9,0.7083333134651184,11,3.625,0,0.0,127,8.498640090692788e-05,0.00043493040720932186
3,0.5070482827723026,384,0.012993976473808289,,,1,0.328125,0,0.0,0.0,0.681640625,0.01721564407348633,39,19,-39,9,-4.736842155456543,39,7.789473533630371,0,0.0,127,-0.00044992801849730313,0.0007398815941996872
4,0.6790707819163799,512,0.006851650774478912,,,1,0.015625,0,0.0,0.0,0.4169921875,0.016932935791015628,19,21,-14,19,0.0476190485060215,19,6.333333492279053,0,0.0,127,4.9991999730991665e-06,0.0006648935959674418
5,0.8476638086140156,640,0.005216319113969803,,,1,0.0,0,0.0,0.0,0.3193359375,0.015878985473632815,15,19,-13,15,-0.7894737124443054,15,4.684210300445557,0,0.0,127,-7.498800550820306e-05,0.0004449288244359195
6,1.0168498158454895,768,0.005502298474311829,,,1,0.078125,0,0.0,0.0,0.3515625,0.01473614288787842,15,23,-15,10,0.17391304671764374,15,4.782608509063721,0,0.0,127,1.9996799892396666e-05,0.0005499119870364666
7,1.1852513141930103,896,0.01105768233537674,,,1,0.359375,0,0.0,0.0,0.6796875,0.013652342975921633,22,19,-22,18,-3.473684310913086,22,10.736842155456543,0,0.0,127,-0.0003299472155049443,0.0010198368690907955
8,1.354161687195301,1024,0.004889782518148422,,,0,0.03125,0,0.0,0.0,0.37109375,0.013422148007858278,12,22,-10,12,-1.3636363744735718,12,4.545454502105713,0,0.0,127,-0.00014997601101640612,0.0004999199882149696
9,1.5233412310481071,1152,0.008576720952987671,,,1,0.28125,0,0.0,0.0,0.5986328125,0.012448432962931825,18,22,-15,18,-0.04545454680919647,18,5.590909004211426,0,0.0,127,-4.9991999730991665e-06,0.0006149015971459448
10,1.6928036324679852,1280,0.009489323943853378,,,1,0.3125,0,0.0,0.0,0.6142578125,0.012113323438916475,25,20,-14,25,2.75,25,5.050000190734863,0,0.0,127,0.0002749559935182333,0.0005049192113801837
11,1.8635204955935478,1408,0.018937282264232635,,,1,0.796875,0,0.0,0.0,0.9150390625,0.011784449781853442,59,24,-59,9,-2.2083332538604736,59,6.958333492279053,0,0.0,127,-0.0002649576053954661,0.000834866426885128
12,2.0326561518013477,1536,0.016268957406282425,,,1,0.53125,0,0.0,0.0,0.73828125,0.01263547143269642,31,19,-31,16,-3.8947367668151855,31,9.789473533630371,0,0.0,127,-0.0003699407970998436,0.0009298512013629079
13,2.2018726766109467,1664,0.005114428699016571,,,1,0.046875,0,0.0,0.0,0.390625,0.012883808025083517,13,20,-11,13,-0.5,13,5.0,0,0.0,127,-4.999200245947577e-05,0.0004999199882149696
14,2.3787962831556797,1792,0.004703674465417862,,,1,0.03125,0,0.0,0.0,0.3720703125,0.012060558028544404,14,21,-10,14,0.6190476417541504,14,3.952380895614624,0,0.0,127,6.498960283352062e-05,0.000414933601859957
15,2.5470339842140675,1920,0.007003128528594971,,,1,0.21875,0,0.0,0.0,0.556640625,0.011262412572674827,17,20,-15,17,-0.6000000238418579,17,7.5,0,0.0,127,-5.99904014961794e-05,0.0007498800405301154
16,2.71602700650692,2048,0.005891792476177216,,,1,0.1875,0,0.0,0.0,0.5068359375,0.010714050267433713,26,21,-20,26,-1.1904761791229248,26,7.952381134033203,0,0.0,127,-0.0001249799970537424,0.000834866426885128
17,2.884365253150463,2176,0.007046114653348923,,,1,0.234375,0,0.0,0.0,0.61328125,0.010085793853666416,39,19,-11,39,3.0526316165924072,39,7.263157844543457,0,0.0,127,0.00028995360480621457,0.0006898895953781903
18,3.054760418832302,2304,0.005763836205005646,,,1,0.1875,0,0.0,0.0,0.5439453125,0.009655570257484345,25,18,-16,25,1.8333333730697632,25,6.722222328186035,0,0.0,127,0.00016497360775247216,0.0006049032090231776
19,3.2258547358214855,2432,0.00820668414235115,,,1,0.390625,0,0.0,0.0,0.7080078125,0.009269084276657787,22,21,-21,7,-4.809523582458496,21,7.857142925262451,0,0.0,127,-0.0005049192113801837,0.0008248680387623608
20,3.3937280476093292,2560,0.0066094547510147095,,,1,0.25,0,0.0,0.0,0.603515625,0.009085803397209782,21,21,-19,21,-2.3809523582458496,21,8.285714149475098,0,0.0,127,-0.0002499599941074848,0.0008698608144186437
21,3.562253575772047,2688,0.007723763585090637,,,1,0.390625,0,0.0,0.0,0.6455078125,0.008789577336053258,34,23,-34,14,-0.6521739363670349,34,7.0,0,0.0,127,-7.498800550820306e-05,0.0008048712043091655
22,3.7314892411231995,2816,0.006367519497871399,,,1,0.265625,0,0.0,0.0,0.59765625,0.00867613397622723,27,21,-22,27,-2.4761905670166016,27,7.142857074737549,0,0.0,127,-0.0002599584113340825,0.0007498800405301154
23,3.8998421020805836,2944,0.004183042794466019,,,1,0.15625,0,0.0,0.0,0.46875,0.008358909868460464,20,19,-20,11,-0.21052631735801697,20,6.4210524559021,0,0.0,127,-1.9996799892396666e-05,0.0006099024321883917
24,4.0681118331849575,3072,0.004437349736690521,,,1,0.125,0,0.0,0.0,0.533203125,0.007852799460227699,22,21,-21,11,0.380952388048172,21,6.38095235824585,0,0.0,127,3.999359978479333e-05,0.0006698928191326559
25,4.236721187829971,3200,0.006538327783346176,,,1,0.328125,0,0.0,0.0,0.650390625,0.007406860677840183,18,23,-18,14,0.08695652335882187,18,6.6086955070495605,0,0.0,127,9.998399946198333e-06,0.0007598784286528826
26,4.405892554670572,3328,0.005991857498884201,,,1,0.328125,0,0.0,0.0,0.6376953125,0.007224860866464856,27,22,-27,15,-0.22727273404598236,27,7.863636493682861,0,0.0,127,-2.4996001229737885e-05,0.0008648616494610906
27,4.575733050704002,3456,0.005565136671066284,,,1,0.328125,0,0.0,0.0,0.6494140625,0.007031473290560558,20,20,-19,10,-4.349999904632568,19,6.75,0,0.0,127,-0.00043493040720932186,0.0006748920422978699
28,4.745121277868748,3584,0.007573593407869339,,,1,0.578125,0,0.0,0.0,0.8154296875,0.006850844119463487,49,24,-12,49,-0.2916666567325592,49,8.208333015441895,0,0.0,127,-3.499440208543092e-05,0.000984842423349619
29,4.913753215223551,3712,0.011118408292531967,,,1,0.625,0,0.0,0.0,0.8017578125,0.006931321765012256,31,22,-17,31,1.8636363744735718,31,8.045454978942871,0,0.0,127,0.0002049672038992867,0.000884858425706625
