step,elapsed_seconds,train_forward_calls,abs_y_mean,val_loss,val_accuracy,fires,clip_rate,zero_difference_count,zero_difference_fraction,saturation_rate,nonzero_vote_rate,scale,counter_peak_abs,counter_count,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_saturated_count,counter_saturated_fraction,counter_capacity,counter_all_mean,counter_all_abs_mean
1,0.16073447465896606,128,0.012910477817058563,,,1,0.171875,0,0.0,0.0,0.611328125,0.02,38,20,-25,38,-1.2999999523162842,38,8.0,0,0.0,127,-0.00012997920566704124,0.0007998720393516123
2,0.32072894647717476,256,0.006628137081861496,,,1,0.03125,0,0.0,0.0,0.3232421875,0.01948894786834717,19,21,-18,9,-1.952380895614624,18,5.095238208770752,0,0.0,127,-0.0002049672038992867,0.0005349144339561462
3,0.4806950241327286,384,0.0040412284433841705,,,1,0.0,0,0.0,0.0,0.201171875,0.018116620731353766,10,20,-9,9,-0.800000011920929,9,3.799999952316284,0,0.0,127,-7.998719956958666e-05,0.0003799392143264413
4,0.6407252065837383,512,0.005350921303033829,,,1,0.03125,0,0.0,0.0,0.318359375,0.01669389088630677,14,22,-14,10,1.2727272510528564,14,4.363636493682861,0,0.0,127,0.00013997760834172368,0.0004799232119694352
5,0.8005866184830666,640,0.008845377713441849,,,1,0.09375,0,0.0,0.0,0.54296875,0.015468699452400215,20,20,-12,20,0.699999988079071,20,7.699999809265137,0,0.0,127,6.998880417086184e-05,0.0007698768167756498
6,0.9608507379889488,768,0.006739966571331024,,,1,0.09375,0,0.0,0.0,0.4306640625,0.01469802503328324,17,25,-17,13,-0.6000000238418579,17,4.679999828338623,0,0.0,127,-7.498800550820306e-05,0.0005849064327776432
7,1.1210187077522278,896,0.006431296467781067,,,1,0.09375,0,0.0,0.0,0.4423828125,0.01381940523869515,22,24,-22,12,-1.625,22,5.375,0,0.0,127,-0.00019496880122460425,0.0006448968197219074
8,1.2810524106025696,1024,0.005512408912181854,,,1,0.046875,0,0.0,0.0,0.40234375,0.013029982567608837,20,20,-18,20,0.4000000059604645,20,6.800000190734863,0,0.0,127,3.999359978479333e-05,0.0006798912072554231
9,1.4408256597816944,1152,0.013109076768159866,,,1,0.421875,0,0.0,0.0,0.69921875,0.01222079687188311,28,19,-28,25,-2.3157894611358643,28,7.3684210777282715,0,0.0,127,-0.00021996480063535273,0.0006998880417086184
10,1.601229827851057,1280,0.004717051982879639,,,1,0.046875,0,0.0,0.0,0.376953125,0.012008109923037084,14,23,-14,12,-0.8695651888847351,14,4.782608509063721,0,0.0,127,-9.998400491895154e-05,0.0005499119870364666
11,1.7606188245117664,1408,0.0064121149480342865,,,1,0.140625,0,0.0,0.0,0.5439453125,0.011258482249825173,17,18,-17,16,-1.9444444179534912,17,8.166666984558105,0,0.0,127,-0.0001749720104271546,0.0007348824292421341
12,1.921051949262619,1536,0.01372889056801796,,,1,0.53125,0,0.0,0.0,0.751953125,0.010754858832581914,39,21,-11,39,0.9523809552192688,39,6.761904716491699,0,0.0,127,9.998400491895154e-05,0.0007098864298313856
13,2.0813721157610416,1664,0.007426820695400238,,,1,0.234375,0,0.0,0.0,0.5703125,0.010990889711103508,21,20,-21,18,-1.2000000476837158,21,8.5,0,0.0,127,-0.0001199808029923588,0.0008498640381731093
14,2.2416264228522778,1792,0.006597347557544708,,,1,0.15625,0,0.0,0.0,0.5478515625,0.010489349224795405,25,20,-25,23,0.75,25,6.949999809265137,0,0.0,127,7.498800550820306e-05,0.0006948888185434043
15,2.4023193046450615,1920,0.008332941681146622,,,1,0.359375,0,0.0,0.0,0.6064453125,0.010097901217904243,19,21,-18,19,0.3333333432674408,19,6.4285712242126465,0,0.0,127,3.499440208543092e-05,0.0006748920422978699
16,2.5633964091539383,2048,0.007139991968870163,,,1,0.25,0,0.0,0.0,0.646484375,0.009781170063704152,21,22,-21,14,-3.454545497894287,21,7.0,0,0.0,127,-0.0003799392143264413,0.0007698768167756498
17,2.7245089784264565,2176,0.006465122103691101,,,1,0.25,0,0.0,0.0,0.6123046875,0.009469981348654538,26,23,-19,26,1.95652174949646,26,5.695652008056641,0,0.0,127,0.00022496400924865156,0.0006548952078446746
18,2.8851858898997307,2304,0.0034729354083538055,,,1,0.015625,0,0.0,0.0,0.380859375,0.009119268080122093,16,21,-11,16,1.4285714626312256,16,5.333333492279053,0,0.0,127,0.00014997601101640612,0.0005599104333668947
19,3.0459913574159145,2432,0.006021425127983093,,,1,0.28125,0,0.0,0.0,0.6123046875,0.008524700242751973,21,25,-14,21,2.0399999618530273,21,6.199999809265137,0,0.0,127,0.0002549592172726989,0.0007748760399408638
20,3.2067308090627193,2560,0.004687786102294922,,,1,0.171875,0,0.0,0.0,0.4951171875,0.00824829718930197,21,21,-21,17,0.9047619104385376,21,5.38095235824585,0,0.0,127,9.498480358161032e-05,0.0005649095983244479
21,3.3676533102989197,2688,0.009474258869886398,,,1,0.5625,0,0.0,0.0,0.7939453125,0.007834167314732125,45,23,-45,11,-5.34782600402832,45,7.5217390060424805,0,0.0,127,-0.0006149015971459448,0.0008648616494610906
22,3.528551273047924,2816,0.009212888777256012,,,1,0.53125,0,0.0,0.0,0.755859375,0.007959292262641237,32,22,-32,21,0.8181818127632141,32,7.909090995788574,0,0.0,127,8.99856022442691e-05,0.0008698608144186437
23,3.6891316324472427,2944,0.011904221028089523,,,1,0.59375,0,0.0,0.0,0.7587890625,0.008045869406921546,49,25,-5,49,2.359999895095825,49,5.239999771118164,0,0.0,127,0.0002949527988675982,0.0006548952078446746
24,3.849846336990595,3072,0.00872945785522461,,,1,0.515625,0,0.0,0.0,0.7109375,0.008389768603619528,37,23,-10,37,2.4347825050354004,37,7.4782609939575195,0,0.0,127,0.00027995521668344736,0.0008598624262958765
25,4.010309658944607,3200,0.006170190870761871,,,1,0.296875,0,0.0,0.0,0.62109375,0.00846383953378492,16,25,-12,16,0.9599999785423279,16,5.039999961853027,0,0.0,127,0.0001199808029923588,0.0006298992084339261
26,4.1709402538836,3328,0.005246944725513458,,,1,0.203125,0,0.0,0.0,0.591796875,0.008160692312889338,39,19,-39,12,-3.5789473056793213,39,6.4210524559021,0,0.0,127,-0.00033994560362771153,0.0006099024321883917
27,4.332005586475134,3456,0.010702386498451233,,,1,0.578125,0,0.0,0.0,0.783203125,0.007867641918575502,22,22,-22,15,-0.5454545617103577,22,7.636363506317139,0,0.0,127,-5.99904014961794e-05,0.0008398656500503421
28,4.4923127591609955,3584,0.00564565509557724,,,1,0.265625,0,0.0,0.0,0.6201171875,0.0079624781066618,18,24,-18,8,-0.4583333432674408,18,5.208333492279053,0,0.0,127,-5.499120015883818e-05,0.000624900043476373
29,4.653021864593029,3712,0.008104734122753143,,,1,0.546875,0,0.0,0.0,0.7568359375,0.007745205973485854,25,20,-10,25,3.3499999046325684,25,7.349999904632568,0,0.0,127,0.00033494640956632793,0.0007348824292421341
30,4.813635990023613,3840,0.005285199731588364,,,1,0.296875,0,0.0,0.0,0.5888671875,0.007811230076759827,23,21,-23,10,-3.095238208770752,23,5.095238208770752,0,0.0,127,-0.0003249480214435607,0.0005349144339561462
31,4.9740673787891865,3968,0.0035871900618076324,,,1,0.078125,0,0.0,0.0,0.4375,0.007505871343681012,19,20,-12,19,2.9000000953674316,19,5.900000095367432,0,0.0,127,0.00028995360480621457,0.0005899055977351964
32,5.134855501353741,4096,0.008508440107107162,,,1,0.59375,0,0.0,0.0,0.84765625,0.007052472968163009,52,20,-52,10,-2.5999999046325684,52,7.099999904632568,0,0.0,127,-0.0002599584113340825,0.0007098864298313856
33,5.295635432004929,4224,0.05673471465706825,,,1,1.0,0,0.0,0.0,1.0,0.007161973481710477,64,18,-64,22,-2.222222328186035,64,8.44444465637207,0,0.0,127,-0.00019996800983790308,0.0007598784286528826
34,5.456526912748814,4352,0.0045552439987659454,,,1,0.015625,0,0.0,0.0,0.37890625,0.012060390620233766,20,23,-17,20,0.43478259444236755,20,4.0,0,0.0,127,4.999200245947577e-05,0.00045992640662007034
35,5.617289938032627,4480,0.0037099607288837433,,,1,0.046875,0,0.0,0.0,0.33203125,0.01122237447691156,16,25,-16,12,0.4000000059604645,16,4.159999847412109,0,0.0,127,4.999200245947577e-05,0.000519916822668165
36,5.7778125293552876,4608,0.010694842785596848,,,1,0.46875,0,0.0,0.0,0.7119140625,0.010420333180953803,32,22,-32,17,-2.954545497894287,32,7.318181991577148,0,0.0,127,-0.0003249480214435607,0.0008048712043091655
37,5.938309893012047,4736,0.008158326148986816,,,1,0.265625,0,0.0,0.0,0.6318359375,0.01040187850665725,17,24,-16,10,-3.625,16,5.791666507720947,0,0.0,127,-0.00043493040720932186,0.0006948888185434043
38,6.099925737828016,4864,0.00487947091460228,,,1,0.046875,0,0.0,0.0,0.4765625,0.010073894635483712,13,22,-13,8,0.09090909361839294,13,4.090909004211426,0,0.0,127,9.998399946198333e-06,0.00044992801849730313
39,6.2607122883200645,4992,0.003474973142147064,,,1,0.03125,0,0.0,0.0,0.388671875,0.009496016242186807,14,23,-11,14,-0.08695652335882187,14,4.17391300201416,0,0.0,127,-9.998399946198333e-06,0.0004799232119694352
40,6.421445716172457,5120,0.005726877599954605,,,1,0.234375,0,0.0,0.0,0.533203125,0.008828606848192736,25,21,-22,25,0.190476194024086,25,5.523809432983398,0,0.0,127,1.9996799892396666e-05,0.0005799072096124291
41,6.581970613449812,5248,0.009252563118934631,,,1,0.5,0,0.0,0.0,0.76953125,0.008393281678205005,23,21,-19,23,-0.2857142984867096,23,6.857142925262451,0,0.0,127,-2.99952007480897e-05,0.0007198848179541528
42,6.742871414870024,5376,0.007625464349985123,,,1,0.4375,0,0.0,0.0,0.6669921875,0.008407039028267806,15,25,-15,13,-0.6000000238418579,15,5.960000038146973,0,0.0,127,-7.498800550820306e-05,0.0007448808173649013
43,6.903723426163197,5504,0.006604347378015518,,,1,0.328125,0,0.0,0.0,0.6494140625,0.008205964489454699,22,23,-22,19,1.7826087474822998,22,8.565217018127441,0,0.0,127,0.0002049672038992867,0.000984842423349619
44,7.064245868474245,5632,0.009232312440872192,,,1,0.5,0,0.0,0.0,0.7880859375,0.008014816931195264,28,21,-15,28,1.2857142686843872,28,5.761904716491699,0,0.0,127,0.00013497839972842485,0.0006049032090231776
45,7.225119646638632,5760,0.007510453462600708,,,1,0.375,0,0.0,0.0,0.69140625,0.00802531739292193,33,20,-12,33,1.7000000476837158,33,7.0,0,0.0,127,0.00016997280181385577,0.0006998880417086184
46,7.386356487870216,5888,0.007266197353601456,,,1,0.421875,0,0.0,0.0,0.68359375,0.00787633866266294,16,23,-15,15,-2.2608695030212402,15,5.304347991943359,0,0.0,127,-0.0002599584113340825,0.0006099024321883917
47,7.547918379306793,6016,0.0038339756429195404,,,1,0.0625,0,0.0,0.0,0.46875,0.007786341400705728,17,21,-13,17,-0.380952388048172,17,4.666666507720947,0,0.0,127,-3.999359978479333e-05,0.0004899216000922024
48,7.70856037735939,6144,0.011849742382764816,,,1,0.796875,0,0.0,0.0,0.9248046875,0.007315553329971093,35,24,-13,35,0.7083333134651184,35,6.708333492279053,0,0.0,127,8.498640090692788e-05,0.0008048712043091655
49,7.86927130445838,6272,0.0034539662301540375,,,1,0.09375,0,0.0,0.0,0.4404296875,0.007722708972620956,13,23,-6,12,0.5652173757553101,12,3.5217392444610596,0,0.0,127,6.498960283352062e-05,0.00040493521373718977
50,8.029819075018167,6400,0.009550660848617554,,,1,0.625,0,0.0,0.0,0.8037109375,0.007253825717265599,48,21,-48,22,-1.5714285373687744,48,7.761904716491699,0,0.0,127,-0.00016497360775247216,0.0008148695924319327
51,8.190063882619143,6528,0.0052491724491119385,,,1,0.234375,0,0.0,0.0,0.609375,0.007434076118256324,20,23,-20,16,-1.2173912525177002,20,6.5217390060424805,0,0.0,127,-0.00013997760834172368,0.0007498800405301154
52,8.350228525698185,6656,0.004445202648639679,,,1,0.171875,0,0.0,0.0,0.58203125,0.007191275996970243,21,23,-9,21,3.3913042545318604,21,6.0,0,0.0,127,0.0003899376024492085,0.0006898895953781903
53,8.510499007999897,6784,0.00867752730846405,,,1,0.546875,0,0.0,0.0,0.7568359375,0.006924285390681423,35,24,-13,35,3.4583332538604736,35,7.458333492279053,0,0.0,127,0.000414933601859957,0.0008948568138293922
54,8.670790806412697,6912,0.006467860192060471,,,1,0.40625,0,0.0,0.0,0.7099609375,0.007001162080800293,35,20,-15,35,-0.3499999940395355,35,7.050000190734863,0,0.0,127,-3.499440208543092e-05,0.0007048872066661716
55,8.83156617730856,7040,0.005807749927043915,,,1,0.390625,0,0.0,0.0,0.6572265625,0.006951714016946338,19,18,-9,19,3.277777671813965,19,7.722222328186035,0,0.0,127,0.0002949527988675982,0.0006948888185434043
56,8.992265049368143,7168,0.004034973680973053,,,1,0.1875,0,0.0,0.0,0.5107421875,0.0068209747594167435,23,22,-13,23,-0.5,23,5.681818008422852,0,0.0,127,-5.499120015883818e-05,0.000624900043476373
57,9.152902632951736,7296,0.008745625615119934,,,1,0.640625,0,0.0,0.0,0.8369140625,0.006490997682950167,27,23,-14,27,1.6956521272659302,27,7.34782600402832,0,0.0,127,0.00019496880122460425,0.0008448648150078952
58,9.313541814684868,7424,0.008928902447223663,,,1,0.546875,0,0.0,0.0,0.7568359375,0.006719778964765014,24,18,-16,24,-0.5,24,6.722222328186035,0,0.0,127,-4.499280112213455e-05,0.0006049032090231776
59,9.474137425422668,7552,0.008439570665359497,,,1,0.515625,0,0.0,0.0,0.7421875,0.0068431892900292345,23,21,-21,22,3.047619104385376,22,6.857142925262451,0,0.0,127,0.00031994879827834666,0.0007198848179541528
60,9.63487620651722,7680,0.005385216325521469,,,1,0.296875,0,0.0,0.0,0.6669921875,0.006867784164126898,22,20,-18,22,-0.44999998807907104,22,5.849999904632568,0,0.0,127,-4.499280112213455e-05,0.0005849064327776432
61,9.795300722122192,7808,0.012763779610395432,,,1,0.765625,0,0.0,0.0,0.8916015625,0.006742934496798681,56,20,-56,9,-2.75,56,7.150000095367432,0,0.0,127,-0.0002749559935182333,0.0007148855947889388
62,9.955283112823963,7936,0.009239133447408676,,,1,0.578125,0,0.0,0.0,0.7763671875,0.007335716585754067,24,23,-24,17,0.47826087474823,24,7.6086955070495605,0,0.0,127,5.499120015883818e-05,0.0008748600375838578
63,10.115669626742601,8064,0.00796932727098465,,,1,0.5,0,0.0,0.0,0.6884765625,0.0075008160773861795,42,23,-11,42,2.82608699798584,42,7.17391300201416,0,0.0,127,0.0003249480214435607,0.0008248680387623608
64,10.276628121733665,8192,0.007821127772331238,,,1,0.359375,0,0.0,0.0,0.689453125,0.007504876277203714,20,23,-18,19,-1.04347825050354,19,6.4347825050354,0,0.0,127,-0.0001199808029923588,0.0007398815941996872
65,10.437467247247696,8320,0.004197325557470322,,,1,0.171875,0,0.0,0.0,0.5322265625,0.0073689125371176195,20,23,-14,20,0.739130437374115,20,5.869565010070801,0,0.0,127,8.498640090692788e-05,0.0006748920422978699
66,10.598103500902653,8448,0.008442524820566177,,,1,0.515625,0,0.0,0.0,0.7822265625,0.0070406230442701155,24,22,-12,24,1.6818181276321411,24,8.954545021057129,0,0.0,127,0.0001849703985499218,0.000984842423349619
67,10.758652932941914,8576,0.00376790389418602,,,1,0.09375,0,0.0,0.0,0.4814453125,0.0070726542609612685,18,26,-17,10,-1.3461538553237915,17,5.269230842590332,0,0.0,127,-0.0001749720104271546,0.0006848904304206371
68,10.91938391327858,8704,0.004257485270500183,,,1,0.234375,0,0.0,0.0,0.5439453125,0.006709784472377349,22,21,-22,14,-1.3809523582458496,22,5.666666507720947,0,0.0,127,-0.00014497680240310729,0.0005949048209004104
69,11.07998139411211,8832,0.009591955691576004,,,1,0.625,0,0.0,0.0,0.84375,0.006399604860894009,54,21,-54,6,-4.476190567016602,54,6.5714287757873535,0,0.0,127,-0.000469924823846668,0.0006898895953781903
70,11.240510869771242,8960,0.007778551429510117,,,1,0.5,0,0.0,0.0,0.7373046875,0.006680917606310956,33,21,-26,33,1.7619047164916992,33,7.5714287757873535,0,0.0,127,0.0001849703985499218,0.0007948728161863983
71,11.401209898293018,9088,0.007832031697034836,,,1,0.5,0,0.0,0.0,0.7373046875,0.006696872590980153,26,23,-11,26,1.6956521272659302,26,5.6086955070495605,0,0.0,127,0.00019496880122460425,0.0006448968197219074
72,11.561674907803535,9216,0.004559174180030823,,,1,0.265625,0,0.0,0.0,0.5791015625,0.006712257277072568,17,22,-10,17,2.045454502105713,17,5.318181991577148,0,0.0,127,0.00022496400924865156,0.0005849064327776432
73,11.72223687171936,9344,0.005117457360029221,,,1,0.296875,0,0.0,0.0,0.630859375,0.006440883348376542,27,22,-13,27,-0.09090909361839294,27,5.818181991577148,0,0.0,127,-9.998399946198333e-06,0.0006398975965566933
74,11.882930409163237,9472,0.005679510533809662,,,1,0.421875,0,0.0,0.0,0.6923828125,0.006186132553211739,31,22,-31,13,-1.4090908765792847,31,7.954545497894287,0,0.0,127,-0.00015497520507778972,0.0008748600375838578
75,12.04385106638074,9600,0.007436949759721756,,,1,0.453125,0,0.0,0.0,0.744140625,0.0061385556366967175,25,19,-8,25,6.1052632331848145,25,9.052631378173828,0,0.0,127,0.0005799072096124291,0.0008598624262958765
76,12.204855136573315,9728,0.010659486055374146,,,1,0.6875,0,0.0,0.0,0.8486328125,0.006079476264738472,25,26,-19,25,0.03846153989434242,25,7.346153736114502,0,0.0,127,4.9991999730991665e-06,0.0009548472007736564
