stage,layer,matrix,pair,perturbed_coordinates,loss_plus,loss_minus,abs_y
initial,0,W_in,0,16,3.043020248413086,3.044668436050415,0.0016481876373291016
initial,0,W_in,1,16,3.0327939987182617,3.0383994579315186,0.005605459213256836
initial,0,W_in,2,16,2.937059164047241,2.942147970199585,0.00508880615234375
initial,0,W_in,3,16,3.116443395614624,3.106508255004883,0.009935140609741211
initial,0,W_in,4,16,3.1028411388397217,3.123344659805298,0.020503520965576172
initial,0,W_in,5,16,3.229590654373169,3.229623317718506,3.266334533691406e-05
initial,0,W_in,6,16,3.233222723007202,3.227954626083374,0.005268096923828125
initial,0,W_in,7,16,3.0723254680633545,3.084824562072754,0.012499094009399414
initial,0,W_in,8,16,3.1328866481781006,3.1481566429138184,0.015269994735717773
initial,0,W_in,9,16,2.9615495204925537,2.937732696533203,0.023816823959350586
initial,0,W_in,10,16,3.0588219165802,3.0672199726104736,0.008398056030273438
initial,0,W_in,11,16,3.0347182750701904,3.051652669906616,0.01693439483642578
initial,0,W_in,12,16,2.80837345123291,2.8071935176849365,0.0011799335479736328
initial,0,W_in,13,16,3.105534553527832,3.0731680393218994,0.03236651420593262
initial,0,W_in,14,16,3.088820219039917,3.0867483615875244,0.002071857452392578
initial,0,W_in,15,16,2.907724380493164,2.8974227905273438,0.010301589965820312
initial,0,W_in,16,16,2.933397054672241,2.9318180084228516,0.0015790462493896484
initial,0,W_in,17,16,3.0438923835754395,3.068990707397461,0.025098323822021484
initial,0,W_in,18,16,2.8906779289245605,2.9012906551361084,0.010612726211547852
initial,0,W_in,19,16,3.1642792224884033,3.134751796722412,0.02952742576599121
initial,0,W_in,20,16,3.1960833072662354,3.1806511878967285,0.015432119369506836
initial,0,W_in,21,16,3.009270429611206,3.0092451572418213,2.5272369384765625e-05
initial,0,W_in,22,16,3.0104589462280273,3.007115364074707,0.0033435821533203125
initial,0,W_in,23,16,2.8815596103668213,2.8939781188964844,0.012418508529663086
initial,0,W_in,24,16,3.1076579093933105,3.1135201454162598,0.005862236022949219
initial,0,W_in,25,16,3.1043450832366943,3.1227447986602783,0.018399715423583984
initial,0,W_in,26,16,3.0287766456604004,3.018291711807251,0.010484933853149414
initial,0,W_in,27,16,3.365931987762451,3.3365557193756104,0.02937626838684082
initial,0,W_in,28,16,3.2267777919769287,3.2425174713134766,0.01573967933654785
initial,0,W_in,29,16,3.142822265625,3.1451964378356934,0.0023741722106933594
initial,0,W_in,30,16,3.0008723735809326,2.9931089878082275,0.007763385772705078
