step,matrix,layer,values,zero_fraction,mse,relative_squared_error,code_histogram,cosine_mean_valid,cosine_valid_examples,cosine_undefined_examples
0,W_in,0,90000,0.0,0.0,0.0,{},1.0,1000,0
0,block0.W1,1,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block0.W2,2,76000,0.5185657894736843,0.0,0.0,{},1.0,1000,0
0,block1.W1,3,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block1.W2,4,76000,0.4967236842105263,0.0,0.0,{},1.0,1000,0
0,block2.W1,5,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block2.W2,6,76000,0.49298684210526317,0.0,0.0,{},1.0,1000,0
0,block3.W1,7,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block3.W2,8,76000,0.5188157894736842,0.0,0.0,{},1.0,1000,0
0,block4.W1,9,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block4.W2,10,76000,0.4753552631578947,0.0,0.0,{},1.0,1000,0
0,block5.W1,11,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block5.W2,12,76000,0.5231578947368422,0.0,0.0,{},1.0,1000,0
0,block6.W1,13,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block6.W2,14,76000,0.5294473684210527,0.0,0.0,{},1.0,1000,0
0,block7.W1,15,76000,0.0,0.0,0.0,{},1.0,1000,0
0,block7.W2,16,76000,0.5342236842105264,0.0,0.0,{},1.0,1000,0
0,W_out,17,76000,0.0,0.0,0.0,{},1.0,1000,0
500,W_in,0,90000,0.0,0.0,0.0,{},1.0,1000,0
500,block0.W1,1,76000,0.0,0.0,0.0,{},1.0,1000,0
500,block0.W2,2,76000,0.49247368421052634,0.0,0.0,{},1.0,1000,0
500,block1.W1,3,76000,0.0,0.0,0.0,{},1.0,1000,0
500,block1.W2,4,76000,0.4933947368421053,0.0,0.0,{},1.0,1000,0
500,block2.W1,5,76000,0.0,0.0,0.0,{},1.0,1000,0
500,block2.W2,6,76000,0.4923026315789474,0.0,0.0,{},1.0,1000,0
500,block3.W1,7,76000,0.0,0.0,0.0,{},1.0,1000,0
500,block3.W2,8,76000,0.48169736842105265,0.0,0.0,{},1.0,1000,0
500,block4.W1,9,76000,0.0,0.0,0.0,{},1.0,1000,0
500,block4.W2,10,76000,0.47182894736842107,0.0,0.0,{},1.0,1000,0
500,block5.W1,11,76000,0.0,0.0,0.0,{},1.0,1000,0
500,block5.W2,12,76000,0.5340394736842106,0.0,0.0,{},1.0,1000,0
500,block6.W1,13,76000,0.0,0.0,0.0,{},1.0,1000,0
500,block6.W2,14,76000,0.5293684210526316,0.0,0.0,{},1.0,1000,0
500,block7.W1,15,76000,0.0,0.0,0.0,{},1.0,1000,0
500,block7.W2,16,76000,0.5317236842105263,0.0,0.0,{},1.0,1000,0
500,W_out,17,76000,0.0,0.0,0.0,{},1.0,1000,0
1000,W_in,0,90000,0.0,0.0,0.0,{},1.0,1000,0
1000,block0.W1,1,76000,0.0,0.0,0.0,{},1.0,1000,0
1000,block0.W2,2,76000,0.482421052631579,0.0,0.0,{},1.0,1000,0
1000,block1.W1,3,76000,0.0,0.0,0.0,{},1.0,1000,0
1000,block1.W2,4,76000,0.48769736842105266,0.0,0.0,{},1.0,1000,0
1000,block2.W1,5,76000,0.0,0.0,0.0,{},1.0,1000,0
1000,block2.W2,6,76000,0.4764342105263158,0.0,0.0,{},1.0,1000,0
1000,block3.W1,7,76000,0.0,0.0,0.0,{},1.0,1000,0
1000,block3.W2,8,76000,0.48419736842105265,0.0,0.0,{},1.0,1000,0
1000,block4.W1,9,76000,0.0,0.0,0.0,{},1.0,1000,0
1000,block4.W2,10,76000,0.48201315789473687,0.0,0.0,{},1.0,1000,0
1000,block5.W1,11,76000,0.0,0.0,0.0,{},1.0,1000,0
1000,block5.W2,12,76000,0.5294736842105263,0.0,0.0,{},1.0,1000,0
1000,block6.W1,13,76000,0.0,0.0,0.0,{},1.0,1000,0
1000,block6.W2,14,76000,0.5219736842105264,0.0,0.0,{},1.0,1000,0
1000,block7.W1,15,76000,0.0,0.0,0.0,{},1.0,1000,0
1000,block7.W2,16,76000,0.5359078947368421,0.0,0.0,{},1.0,1000,0
1000,W_out,17,76000,0.0,0.0,0.0,{},1.0,1000,0
1500,W_in,0,90000,0.0,0.0,0.0,{},1.0,1000,0
1500,block0.W1,1,76000,0.0,0.0,0.0,{},1.0,1000,0
1500,block0.W2,2,76000,0.47371052631578947,0.0,0.0,{},1.0,1000,0
1500,block1.W1,3,76000,0.0,0.0,0.0,{},1.0,1000,0
1500,block1.W2,4,76000,0.48067105263157894,0.0,0.0,{},1.0,1000,0
1500,block2.W1,5,76000,0.0,0.0,0.0,{},1.0,1000,0
1500,block2.W2,6,76000,0.48585526315789473,0.0,0.0,{},1.0,1000,0
1500,block3.W1,7,76000,0.0,0.0,0.0,{},1.0,1000,0
1500,block3.W2,8,76000,0.49028947368421055,0.0,0.0,{},1.0,1000,0
1500,block4.W1,9,76000,0.0,0.0,0.0,{},1.0,1000,0
1500,block4.W2,10,76000,0.5010657894736842,0.0,0.0,{},1.0,1000,0
1500,block5.W1,11,76000,0.0,0.0,0.0,{},1.0,1000,0
1500,block5.W2,12,76000,0.5432105263157895,0.0,0.0,{},1.0,1000,0
1500,block6.W1,13,76000,0.0,0.0,0.0,{},1.0,1000,0
1500,block6.W2,14,76000,0.517921052631579,0.0,0.0,{},1.0,1000,0
