condition,seed,layer,matrix,selected_intervals,candidate_pairs,mean_abs_y,zero_fraction,scope
E17a,0,0,W_in,8135,520640,0.0028413859479067493,1.1524277811923787e-05,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,1,block0.W1,7380,472320,0.002750596084170104,6.351626016260163e-06,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,2,block0.W2,7436,475904,0.002757308296935664,1.0506320602474448e-05,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,3,block1.W1,7352,470528,0.002700552192120889,1.0626360174102285e-05,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,4,block1.W2,7350,470400,0.0027149689460464685,6.3775510204081635e-06,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,5,block2.W1,7321,468544,0.0026848366383993368,8.537085097664253e-06,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,6,block2.W2,7356,470784,0.002674453708676438,1.4868814573137575e-05,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,7,block3.W1,7341,469824,0.00268789348739305,1.0642283067701947e-05,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,8,block3.W2,7370,471680,0.002673359244608218,4.240162822252375e-06,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,9,block4.W1,7294,466816,0.0026731265201645747,1.0710858239649027e-05,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,10,block4.W2,7384,472576,0.0026816443514867403,1.058030877573131e-05,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,11,block5.W1,7398,473472,0.0026693499926427316,1.2672343876723439e-05,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,12,block5.W2,7389,472896,0.0026844071694404606,1.0573149275950738e-05,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,13,block6.W1,7424,475136,0.0026665555263615057,8.41864224137931e-06,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,14,block6.W2,7285,466240,0.002647573518513733,1.2868908716540837e-05,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,15,block7.W1,7338,469632,0.002655768404744208,6.387980376124285e-06,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,16,block7.W2,7394,473216,0.002662608900664423,8.452799567216662e-06,mixed-layer block conditioned on selection; not isolated contribution
E17a,0,17,W_out,1402,89728,0.0033599953094069525,2.2289586305278175e-05,mixed-layer block conditioned on selection; not isolated contribution
