condition,seed,stage,layer,matrix,mean_abs_y,std_abs_y,zero_fraction
E17a,0,initial,0,W_in,0.010981012135744095,0.00941539859561542,0.0
E17a,0,initial,1,block0.W1,0.00857359915971756,0.00680802531415689,0.0
E17a,0,initial,2,block0.W2,0.010755781084299088,0.008202393883845395,0.0
E17a,0,initial,3,block1.W1,0.007137607783079147,0.005586212883884475,0.0
E17a,0,initial,4,block1.W2,0.010116517543792725,0.006855495168714406,0.0
E17a,0,initial,5,block2.W1,0.006867613643407822,0.005464236227046467,0.0
E17a,0,initial,6,block2.W2,0.010945592075586319,0.008474523204158823,0.0
E17a,0,initial,7,block3.W1,0.006528802216053009,0.006494654746176754,0.0
E17a,0,initial,8,block3.W2,0.007657565176486969,0.005914861726428666,0.0
E17a,0,initial,9,block4.W1,0.005415976047515869,0.0037260157024802914,0.0
E17a,0,initial,10,block4.W2,0.007103361189365387,0.005779590437579674,0.0
E17a,0,initial,11,block5.W1,0.00647180899977684,0.005048325644063689,0.0
E17a,0,initial,12,block5.W2,0.005335211753845215,0.004150373361582759,0.0
E17a,0,initial,13,block6.W1,0.004291277378797531,0.0034118306578911533,0.0
E17a,0,initial,14,block6.W2,0.0037625133991241455,0.003250666636231155,0.0
E17a,0,initial,15,block7.W1,0.0048539899289608,0.0037831045109980896,0.0
E17a,0,initial,16,block7.W2,0.006008677184581757,0.0056274309613546574,0.0
E17a,0,initial,17,W_out,0.04336877539753914,0.0374532917839296,0.0
E17a,0,final,0,W_in,0.0047299854923039675,0.0038394967135260663,0.0
E17a,0,final,1,block0.W1,0.00418156897649169,0.003652718884295992,0.0
E17a,0,final,2,block0.W2,0.0031516505405306816,0.0024381506054857727,0.0
E17a,0,final,3,block1.W1,0.0031352383084595203,0.002349281371334888,0.0
E17a,0,final,4,block1.W2,0.0025281126145273447,0.00192997133209004,0.0
E17a,0,final,5,block2.W1,0.0021072484087198973,0.0019528545751474594,0.0
E17a,0,final,6,block2.W2,0.0018389769829809666,0.001740921791976987,0.0
E17a,0,final,7,block3.W1,0.0016340373549610376,0.0014811898348581441,0.0
E17a,0,final,8,block3.W2,0.0015497810672968626,0.001259752184601794,0.0
E17a,0,final,9,block4.W1,0.0012162851635366678,0.0009541582595832121,0.0
E17a,0,final,10,block4.W2,0.0011242085602134466,0.0008442218612940345,0.0
E17a,0,final,11,block5.W1,0.001098240027204156,0.0008817388064876214,0.0
E17a,0,final,12,block5.W2,0.0012740783859044313,0.0011478749011031091,0.0
E17a,0,final,13,block6.W1,0.0011579599231481552,0.0008873121705285097,0.0
E17a,0,final,14,block6.W2,0.0009007053449749947,0.0007118558553366133,0.0
E17a,0,final,15,block7.W1,0.0009249101858586073,0.0007123578162465478,0.0
E17a,0,final,16,block7.W2,0.0008711200207471848,0.0006931578613234501,0.0
E17a,0,final,17,W_out,0.005564836319535971,0.003820016079766714,0.0
E17a,1,initial,0,W_in,0.011430732905864716,0.009567886909220774,0.0
E17a,1,initial,1,block0.W1,0.006866283714771271,0.005635103033044284,0.0
