condition,stage,layer,matrix,seeds,mean_abs_y_mean,mean_abs_y_sample_std,zero_fraction_mean,zero_fraction_sample_std
E17a,final,0,W_in,3,0.005095841052631537,0.00031764274573044287,0.0,0.0
E17a,final,1,block0.W1,3,0.004087481802950303,0.00038207597993788155,0.0,0.0
E17a,final,10,block4.W2,3,0.0012230036469797294,8.688675703962287e-05,0.0,0.0
E17a,final,11,block5.W1,3,0.0011573222000151873,5.8696981130729525e-05,0.0,0.0
E17a,final,12,block5.W2,3,0.0012079242927332718,0.00023122123986629253,0.0,0.0
E17a,final,13,block6.W1,3,0.001121585878233115,6.834916252659295e-05,0.0,0.0
E17a,final,14,block6.W2,3,0.0009539477371921142,8.575373576348305e-05,0.0,0.0
E17a,final,15,block7.W1,3,0.0008731105675299963,0.00010190301245034198,0.0,0.0
E17a,final,16,block7.W2,3,0.0008411557258417209,2.810306331792582e-05,0.0,0.0
E17a,final,17,W_out,3,0.005414443789049983,0.00030017150802679306,0.0,0.0
E17a,final,2,block0.W2,3,0.003402456253146132,0.00021725105790974293,0.0,0.0
E17a,final,3,block1.W1,3,0.003140066827957829,0.0004077506239913015,0.0,0.0
E17a,final,4,block1.W2,3,0.002670526116465529,0.0003912391716164769,0.0,0.0
E17a,final,5,block2.W1,3,0.0021308158369114003,0.00017053554433251578,0.0,0.0
E17a,final,6,block2.W2,3,0.0020439122648288808,0.0002083163389742892,0.0,0.0
E17a,final,7,block3.W1,3,0.0016390460853775342,0.00019869787582853395,0.0,0.0
E17a,final,8,block3.W2,3,0.001578480548535784,0.00022080428378591592,0.0,0.0
E17a,final,9,block4.W1,3,0.0013132694487770398,8.823423442387241e-05,0.0,0.0
E17a,initial,0,W_in,3,0.009830210357904434,0.0023933034391972426,0.0,0.0
E17a,initial,1,block0.W1,3,0.0072119881709416704,0.0012258797124436464,0.0,0.0
E17a,initial,10,block4.W2,3,0.005378949145476024,0.0016077337017961525,0.0,0.0
E17a,initial,11,block5.W1,3,0.004811320453882217,0.0015296102848002364,0.0,0.0
E17a,initial,12,block5.W2,3,0.004452950010697047,0.0013458472682507823,0.0,0.0
E17a,initial,13,block6.W1,3,0.0035960860550403595,0.0008026520607494369,0.0,0.0
E17a,initial,14,block6.W2,3,0.0038779514531294503,0.0004155223362122512,0.0,0.0
E17a,initial,15,block7.W1,3,0.0038592293858528137,0.0010605034533186604,0.0,0.0
E17a,initial,16,block7.W2,3,0.00469259296854337,0.0013512840262555191,0.0,0.0
E17a,initial,17,W_out,3,0.03868537892897924,0.008506098236118182,0.0,0.0
E17a,initial,2,block0.W2,3,0.00931776687502861,0.0025288102140973,0.0,0.0
E17a,initial,3,block1.W1,3,0.005893944452206294,0.0014919084488008855,0.0,0.0
E17a,initial,4,block1.W2,3,0.007119855533043544,0.0025997053936517435,0.0,0.0
E17a,initial,5,block2.W1,3,0.00518370047211647,0.0016829212599277809,0.0,0.0
E17a,initial,6,block2.W2,3,0.00699671854575475,0.0036721433565940873,0.0,0.0
E17a,initial,7,block3.W1,3,0.004976147164901097,0.0016269197444809592,0.0,0.0
E17a,initial,8,block3.W2,3,0.005708700666824977,0.001962613271629029,0.0,0.0
E17a,initial,9,block4.W1,3,0.0043230007092158,0.0009617308009486535,0.0,0.0
E17b,final,0,W_in,3,0.005202763558675845,0.000672307328436274,0.0,0.0
E17b,final,1,block0.W1,3,0.004373455885797739,0.0007449992709252493,0.0,0.0
E17b,final,10,block4.W2,3,0.0013015298172831535,6.13069076525492e-05,0.0,0.0
E17b,final,11,block5.W1,3,0.0009513957581172386,0.0002124115881129064,0.0,0.0
