seed,block_size,threshold,counter_value,count,fraction
0,8,1,-62,1,3.42301636201821e-05
0,8,1,-61,1,3.42301636201821e-05
0,8,1,-59,1,3.42301636201821e-05
0,8,1,-58,4,0.0001369206544807284
0,8,1,-57,3,0.00010269049086054631
0,8,1,-56,3,0.00010269049086054631
0,8,1,-55,2,6.84603272403642e-05
0,8,1,-54,5,0.00017115081810091052
0,8,1,-53,9,0.00030807147258163895
0,8,1,-52,7,0.00023961114534127472
0,8,1,-51,6,0.00020538098172109262
0,8,1,-50,10,0.00034230163620182103
0,8,1,-49,8,0.0002738413089614568
0,8,1,-48,16,0.0005476826179229136
0,8,1,-47,14,0.00047922229068254944
0,8,1,-46,16,0.0005476826179229136
0,8,1,-45,23,0.0007872937632641884
0,8,1,-44,12,0.00041076196344218524
0,8,1,-43,17,0.0005819127815430957
0,8,1,-42,15,0.0005134524543027316
0,8,1,-41,29,0.000992674744985281
0,8,1,-40,29,0.000992674744985281
0,8,1,-39,26,0.0008899842541247347
0,8,1,-38,34,0.0011638255630861914
0,8,1,-37,35,0.0011980557267063736
0,8,1,-36,36,0.0012322858903265558
0,8,1,-35,36,0.0012322858903265558
0,8,1,-34,35,0.0011980557267063736
0,8,1,-33,56,0.0019168891627301978
0,8,1,-32,49,0.0016772780173889231
0,8,1,-31,43,0.0014718970356678305
0,8,1,-30,76,0.00260149243513384
0,8,1,-29,57,0.00195111932635038
0,8,1,-28,55,0.0018826589991100158
0,8,1,-27,72,0.0024645717806531116
0,8,1,-26,77,0.002635722598754022
0,8,1,-25,94,0.003217635380297118
0,8,1,-24,87,0.002978024234955843
0,8,1,-23,100,0.0034230163620182106
0,8,1,-22,102,0.0034914766892585746
0,8,1,-21,109,0.0037310878345998494
0,8,1,-20,125,0.004278770452522763
0,8,1,-19,134,0.004586841925104402
0,8,1,-18,170,0.0058191278154309575
0,8,1,-17,191,0.006537961251454782
0,8,1,-16,208,0.007119874032997878
0,8,1,-15,234,0.008009858287122612
0,8,1,-14,264,0.009036763195728076
0,8,1,-13,316,0.010816731703977544
0,8,1,-12,369,0.012630930375847197
0,8,1,-11,443,0.015163962483740672
0,8,1,-10,562,0.019237351954542344
0,8,1,-9,622,0.02129116177175327
0,8,1,-8,713,0.02440610666118984
0,8,1,-7,838,0.028684877113712603
0,8,1,-6,958,0.032792496748134455
0,8,1,-5,1031,0.03529129869240775
0,8,1,-4,1171,0.04008352159923324
0,8,1,-3,1377,0.04713493530499076
0,8,1,-2,1376,0.047100705141370575
0,8,1,-1,1415,0.04843568152255768
0,8,1,0,1499,0.05131101526665297
0,8,1,1,1463,0.05007872937632642
0,8,1,2,1346,0.04607380023276511
0,8,1,3,1285,0.04398576025193401
0,8,1,4,1068,0.036557814746354486
0,8,1,5,1003,0.03433285411104265
