seed,block_size,threshold,initial_val_accuracy,initial_val_loss,val_accuracy,val_loss,val_loss_drop,test_accuracy,total_fires,fire_epoch_fraction,train_forward_calls,total_forward_calls,train_forward_examples,counter_min,counter_max,counter_mean,counter_abs_max,counter_abs_mean,counter_capacity,counter_count,counter_saturated_count,counter_saturated_fraction,counter_saturation_update_count,counter_peak_abs_during_accumulation
0,8,1,0.084,2.65402685546875,0.794,1.0080599975585938,1.6459668579101563,0.8114,2908,0.9693333333333334,384000,384017,49152000,-62,61,0.08194701170671596,62,8.664270555213253,127,29214,0,0.0,0,62
1,8,1,0.116,2.526526611328125,0.784,1.0129578857421875,1.5135687255859376,0.8079,2903,0.9676666666666667,384000,384017,49152000,-61,63,-0.01682511456124752,63,8.623623555160385,127,29242,0,0.0,0,63
2,8,1,0.057,2.482106689453125,0.786,1.005138427734375,1.4769682617187503,0.805,2913,0.971,384000,384017,49152000,-63,58,0.1505633321952885,63,8.69627859337658,127,29290,0,0.0,0,63
0,8,2,0.084,2.65402685546875,0.783,1.0108242797851563,1.6432025756835937,0.8138,2847,0.949,384000,384017,49152000,-62,58,0.06815841855995607,62,8.698812547189238,127,29138,0,0.0,0,62
1,8,2,0.116,2.526526611328125,0.803,0.9989682006835937,1.5275584106445312,0.8165,2848,0.9493333333333334,384000,384017,49152000,-64,63,-0.009392397281327914,64,8.626899825813723,127,29279,0,0.0,0,64
2,8,2,0.057,2.482106689453125,0.786,1.0038271484375,1.478279541015625,0.8123,2836,0.9453333333333334,384000,384017,49152000,-63,60,0.13388978209557692,63,8.708309102726371,127,29233,0,0.0,0,63
0,8,3,0.084,2.65402685546875,0.79,1.0054358520507813,1.6485910034179687,0.8188,2746,0.9153333333333333,384000,384017,49152000,-62,58,0.10332821300563236,62,8.641030892643796,127,29295,0,0.0,0,62
1,8,3,0.116,2.526526611328125,0.788,1.0117086181640624,1.5148179931640626,0.8069,2751,0.917,384000,384017,49152000,-63,63,0.007425826889668563,63,8.567973566781347,127,29357,0,0.0,0,63
2,8,3,0.057,2.482106689453125,0.783,1.0075835571289062,1.474523132324219,0.8059,2773,0.9243333333333333,384000,384017,49152000,-64,59,0.11971758576961306,64,8.729718613976763,127,29177,0,0.0,0,64
0,8,4,0.084,2.65402685546875,0.795,1.0085593872070313,1.6454674682617187,0.8223,2589,0.863,384000,384017,49152000,-62,57,0.058881222943722944,62,8.594324945887445,127,29568,0,0.0,0,62
1,8,4,0.116,2.526526611328125,0.794,0.9981437377929687,1.5283828735351563,0.8181,2593,0.8643333333333333,384000,384017,49152000,-60,63,-0.010038871049518337,63,8.541524421159371,127,29585,0,0.0,0,63
2,8,4,0.057,2.482106689453125,0.784,1.0159744262695312,1.466132263183594,0.8098,2638,0.8793333333333333,384000,384017,49152000,-63,58,0.11990927248722029,63,8.628998950539964,127,29539,0,0.0,0,63
0,8,5,0.084,2.65402685546875,0.798,1.0090107421875,1.64501611328125,0.823,2354,0.7846666666666666,384000,384017,49152000,-62,59,0.12102828797425928,62,8.522087411181124,127,29836,0,0.0,0,62
1,8,5,0.116,2.526526611328125,0.794,1.0003126831054687,1.5262139282226563,0.8098,2416,0.8053333333333333,384000,384017,49152000,-61,63,0.006616099174658335,63,8.502823537274033,127,29927,0,0.0,0,63
2,8,5,0.057,2.482106689453125,0.797,1.006120849609375,1.4759858398437502,0.8095,2431,0.8103333333333333,384000,384017,49152000,-63,58,0.12374436842983481,63,8.559052227598865,127,29965,0,0.0,0,63
0,8,6,0.084,2.65402685546875,0.794,1.0042352294921875,1.6497916259765626,0.8255,2105,0.7016666666666667,384000,384017,49152000,-60,59,0.14766890557092058,60,8.404220993019887,127,30372,0,0.0,0,60
1,8,6,0.116,2.526526611328125,0.801,1.0110494384765625,1.5154771728515626,0.8079,2148,0.716,384000,384017,49152000,-62,62,0.0024349313941627454,62,8.364318383732027,127,30391,0,0.0,0,62
2,8,6,0.057,2.482106689453125,0.793,1.0076736450195312,1.474433044433594,0.8158,2166,0.722,384000,384017,49152000,-63,61,0.12718511133266866,63,8.507045530076438,127,30090,0,0.0,0,63
0,8,7,0.084,2.65402685546875,0.792,1.0110271606445314,1.6429996948242187,0.8219,1847,0.6156666666666667,384000,384017,49152000,-61,57,0.09555605977115815,61,8.310913746718096,127,30851,0,0.0,0,61
1,8,7,0.116,2.526526611328125,0.796,1.008408935546875,1.51811767578125,0.8129,1901,0.6336666666666667,384000,384017,49152000,-63,62,-0.010700012891581796,63,8.27942503545185,127,31028,0,0.0,0,63
2,8,7,0.057,2.482106689453125,0.796,1.0091792602539063,1.472927429199219,0.8119,1903,0.6343333333333333,384000,384017,49152000,-63,61,0.13000323310701584,63,8.347979308115098,127,30930,0,0.0,0,63
0,8,8,0.084,2.65402685546875,0.791,1.0138088989257812,1.6402179565429689,0.8225,1553,0.5176666666666667,384000,384017,49152000,-61,56,0.08000126334407176,61,8.142599962099679,127,31662,0,0.0,0,61
1,8,8,0.116,2.526526611328125,0.8,1.0087260131835938,1.5178005981445313,0.8226,1596,0.532,384000,384017,49152000,-63,62,-0.018577612081766767,63,8.120312154434298,127,31651,0,0.0,0,63
2,8,8,0.057,2.482106689453125,0.801,1.0112547607421876,1.4708519287109376,0.8265,1646,0.5486666666666666,384000,384017,49152000,-64,57,0.1287712953269249,64,8.24463056375115,127,31521,0,0.0,0,64
0,8,9,0.084,2.65402685546875,0.796,1.0123619384765625,1.6416649169921875,0.823,1325,0.44166666666666665,384000,384017,49152000,-62,60,0.0539261473317143,62,8.07983062457189,127,32118,0,0.0,0,62
1,8,9,0.116,2.526526611328125,0.801,1.0179246826171875,1.5086019287109376,0.8124,1283,0.42766666666666664,384000,384017,49152000,-62,62,-0.009392707563439271,62,7.964184528208919,127,32472,0,0.0,0,62
2,8,9,0.057,2.482106689453125,0.793,1.0225029907226562,1.459603698730469,0.818,1304,0.43466666666666665,384000,384017,49152000,-63,59,0.09516705516705516,63,8.124444444444444,127,32175,0,0.0,0,63
0,8,10,0.084,2.65402685546875,0.791,1.0156575927734375,1.6383692626953126,0.8278,1060,0.35333333333333333,384000,384017,49152000,-62,59,0.07021218468263364,62,7.9478796709467865,127,32943,0,0.0,0,62
1,8,10,0.116,2.526526611328125,0.785,1.03961767578125,1.486908935546875,0.8097,1074,0.358,384000,384017,49152000,-63,62,-0.007727646110316712,63,7.914509111929173,127,32869,0,0.0,0,63
2,8,10,0.057,2.482106689453125,0.794,1.0341591796875,1.4479475097656251,0.8215,1072,0.35733333333333334,384000,384017,49152000,-63,58,0.09858427512455949,63,7.994683436626564,127,32916,0,0.0,0,63
0,8,11,0.084,2.65402685546875,0.789,1.02760791015625,1.6264189453125,0.8191,880,0.29333333333333333,384000,384017,49152000,-61,60,0.05205884126122867,61,7.902483872912522,127,33174,0,0.0,0,61
1,8,11,0.116,2.526526611328125,0.787,1.041568603515625,1.4849580078125,0.8143,881,0.2936666666666667,384000,384017,49152000,-62,61,-0.022678544466253964,62,7.8654688207760834,127,33115,0,0.0,0,62
2,8,11,0.057,2.482106689453125,0.799,1.03439794921875,1.4477087402343751,0.8127,845,0.2816666666666667,384000,384017,49152000,-63,58,0.11536955015215884,63,7.994425863991081,127,33189,0,0.0,0,63
0,8,12,0.084,2.65402685546875,0.78,1.0576783447265625,1.5963485107421875,0.8085,720,0.24,384000,384017,49152000,-62,58,0.023004583060532113,62,7.827599547645973,127,33602,0,0.0,0,62
1,8,12,0.116,2.526526611328125,0.795,1.0595587158203126,1.4669678955078125,0.8169,702,0.234,384000,384017,49152000,-62,61,-0.052603311949873194,62,7.813128449947785,127,33515,0,0.0,0,62
2,8,12,0.057,2.482106689453125,0.788,1.058365234375,1.423741455078125,0.8054,696,0.232,384000,384017,49152000,-64,62,0.08800525404501762,64,7.922323720819153,127,33498,0,0.0,0,64
0,8,13,0.084,2.65402685546875,0.786,1.059626953125,1.59439990234375,0.8067,621,0.207,384000,384017,49152000,-62,59,0.04514424789267482,62,7.844799952510982,127,33692,0,0.0,0,62
1,8,13,0.116,2.526526611328125,0.789,1.08344287109375,1.443083740234375,0.805,596,0.19866666666666666,384000,384017,49152000,-62,61,-0.045390874139421215,62,7.810598158137871,127,33553,0,0.0,0,62
2,8,13,0.057,2.482106689453125,0.789,1.0805107421875,1.4015959472656252,0.8087,587,0.19566666666666666,384000,384017,49152000,-64,62,0.08280938049405524,64,7.944247444798712,127,33559,0,0.0,0,64
0,8,14,0.084,2.65402685546875,0.766,1.096158447265625,1.557868408203125,0.7994,527,0.17566666666666667,384000,384017,49152000,-61,58,0.018500342048124684,61,7.872341691204902,127,33621,0,0.0,0,61
1,8,14,0.116,2.526526611328125,0.775,1.093369140625,1.4331574707031252,0.7999,502,0.16733333333333333,384000,384017,49152000,-62,60,-0.07355050806933652,62,7.832008368200837,127,33460,0,0.0,0,62
2,8,14,0.057,2.482106689453125,0.781,1.112021240234375,1.3700854492187502,0.7961,501,0.167,384000,384017,49152000,-64,58,0.023571217056559075,64,7.920047379330767,127,33770,0,0.0,0,64
0,8,15,0.084,2.65402685546875,0.779,1.1231224365234376,1.5309044189453125,0.7956,462,0.154,384000,384017,49152000,-61,57,-0.011763304446231276,61,7.891152208225379,127,33579,0,0.0,0,61
1,8,15,0.116,2.526526611328125,0.758,1.1390325927734375,1.3874940185546876,0.7729,431,0.14366666666666666,384000,384017,49152000,-63,60,-0.051649202190997855,63,7.835824005715646,127,33592,0,0.0,0,63
2,8,15,0.057,2.482106689453125,0.771,1.1397559814453124,1.3423507080078128,0.7864,445,0.14833333333333334,384000,384017,49152000,-63,59,0.014942154629109092,63,7.9375980116578395,127,33797,0,0.0,0,63
0,8,16,0.084,2.65402685546875,0.767,1.1511922607421874,1.5028345947265627,0.7837,401,0.13366666666666666,384000,384017,49152000,-62,56,0.0014292520247737017,62,7.943008575512149,127,33584,0,0.0,0,62
1,8,16,0.116,2.526526611328125,0.757,1.1627918701171875,1.3637347412109375,0.7755,391,0.13033333333333333,384000,384017,49152000,-63,61,-0.04893249045801527,63,7.860120467557252,127,33536,0,0.0,0,63
2,8,16,0.057,2.482106689453125,0.781,1.159087890625,1.3230187988281252,0.7892,393,0.131,384000,384017,49152000,-63,59,-0.016972367794187707,63,8.019414006669843,127,33584,0,0.0,0,63
0,8,17,0.084,2.65402685546875,0.761,1.17681884765625,1.4772080078125,0.7804,369,0.123,384000,384017,49152000,-62,56,-0.014349802430256395,62,7.94096675480555,127,33659,0,0.0,0,62
1,8,17,0.116,2.526526611328125,0.726,1.233495361328125,1.29303125,0.7482,332,0.11066666666666666,384000,384017,49152000,-63,61,-0.08258002923714908,63,7.90488976401444,127,33519,0,0.0,0,63
2,8,17,0.057,2.482106689453125,0.764,1.198184814453125,1.283921875,0.7794,340,0.11333333333333333,384000,384017,49152000,-63,59,0.003267003267003267,63,8.017166617166618,127,33670,0,0.0,0,63
0,8,18,0.084,2.65402685546875,0.759,1.212371337890625,1.4416555175781252,0.7811,320,0.10666666666666667,384000,384017,49152000,-61,60,-0.04403982419947977,61,7.989625377462851,127,33447,0,0.0,0,61
1,8,18,0.116,2.526526611328125,0.719,1.267806884765625,1.2587197265625,0.7489,291,0.097,384000,384017,49152000,-63,62,-0.07857869843740646,63,7.937526192899479,127,33406,0,0.0,0,63
2,8,18,0.057,2.482106689453125,0.745,1.26281884765625,1.219287841796875,0.758,298,0.09933333333333333,384000,384017,49152000,-63,61,-0.015525737695184944,63,8.07543193017871,127,33686,0,0.0,0,63
0,8,19,0.084,2.65402685546875,0.74,1.2568079833984376,1.3972188720703125,0.7624,295,0.09833333333333333,384000,384017,49152000,-60,61,-0.051015855073326,61,7.988666448523069,127,33617,0,0.0,0,61
1,8,19,0.116,2.526526611328125,0.708,1.29044970703125,1.2360769042968751,0.726,257,0.08566666666666667,384000,384017,49152000,-63,61,-0.056521086597628695,63,8.012997148431637,127,33315,0,0.0,0,63
2,8,19,0.057,2.482106689453125,0.729,1.27643994140625,1.2056667480468752,0.7531,275,0.09166666666666666,384000,384017,49152000,-64,60,-0.01323926748724107,64,8.193785649954968,127,33310,0,0.0,0,64
0,8,20,0.084,2.65402685546875,0.728,1.3043223876953125,1.3497044677734376,0.7491,254,0.08466666666666667,384000,384017,49152000,-61,60,-0.09084938050455292,61,8.052992984027467,127,33495,0,0.0,0,61
1,8,20,0.116,2.526526611328125,0.69,1.3487593994140625,1.1777672119140625,0.7174,226,0.07533333333333334,384000,384017,49152000,-62,62,-0.10822393239776672,62,8.079191187566018,127,33135,0,0.0,0,62
2,8,20,0.057,2.482106689453125,0.707,1.34389111328125,1.138215576171875,0.7304,228,0.076,384000,384017,49152000,-63,58,-0.03814844852963263,63,8.20594154576312,127,33291,0,0.0,0,63
0,8,21,0.084,2.65402685546875,0.705,1.338907958984375,1.315118896484375,0.7313,234,0.078,384000,384017,49152000,-60,61,-0.06857519314846978,61,8.087979876624543,127,33394,0,0.0,0,61
1,8,21,0.116,2.526526611328125,0.687,1.37537060546875,1.151156005859375,0.707,202,0.06733333333333333,384000,384017,49152000,-63,59,-0.11226774798765357,63,8.13000060521697,127,33046,0,0.0,0,63
2,8,21,0.057,2.482106689453125,0.712,1.373328857421875,1.1087778320312502,0.7418,214,0.07133333333333333,384000,384017,49152000,-64,61,-0.045211648153707595,64,8.250375262683878,127,33310,0,0.0,0,64
0,8,22,0.084,2.65402685546875,0.692,1.389171630859375,1.2648552246093752,0.7213,217,0.07233333333333333,384000,384017,49152000,-61,60,-0.08435062228309415,61,8.083397844339904,127,33586,0,0.0,0,61
1,8,22,0.116,2.526526611328125,0.662,1.453874267578125,1.07265234375,0.681,179,0.059666666666666666,384000,384017,49152000,-63,61,-0.09937756828619773,63,8.133460236886632,127,33096,0,0.0,0,63
2,8,22,0.057,2.482106689453125,0.684,1.4496029052734376,1.0325037841796876,0.7053,193,0.06433333333333334,384000,384017,49152000,-64,62,-0.07369739628381401,64,8.218348295505383,127,33529,0,0.0,0,64
0,8,23,0.084,2.65402685546875,0.667,1.45698779296875,1.1970390625,0.6932,193,0.06433333333333334,384000,384017,49152000,-62,58,-0.09031433074612663,62,8.107978707586167,127,33627,0,0.0,0,62
1,8,23,0.116,2.526526611328125,0.656,1.502125,1.0244016113281251,0.6684,159,0.053,384000,384017,49152000,-64,60,-0.13989041261768534,64,8.166833166833166,127,33033,0,0.0,0,64
2,8,23,0.057,2.482106689453125,0.682,1.487771728515625,0.9943349609375003,0.6864,173,0.057666666666666665,384000,384017,49152000,-64,61,-0.07186809247864269,64,8.266622856801481,127,33478,0,0.0,0,64
0,8,24,0.084,2.65402685546875,0.652,1.5176519775390624,1.1363748779296876,0.6806,176,0.058666666666666666,384000,384017,49152000,-62,58,-0.08291898651263882,62,8.151874237056004,127,33587,0,0.0,0,62
1,8,24,0.116,2.526526611328125,0.632,1.53993115234375,0.9865954589843751,0.6542,149,0.049666666666666665,384000,384017,49152000,-63,60,-0.10973397823458284,63,8.170858524788391,127,33080,0,0.0,0,63
2,8,24,0.057,2.482106689453125,0.663,1.5522191162109376,0.9298875732421876,0.6614,155,0.051666666666666666,384000,384017,49152000,-64,61,-0.07968115595892047,64,8.279943873895391,127,33496,0,0.0,0,64
0,8,25,0.084,2.65402685546875,0.644,1.546864013671875,1.107162841796875,0.6619,166,0.05533333333333333,384000,384017,49152000,-61,60,-0.07408179058277278,61,8.205280076195011,127,33598,0,0.0,0,61
1,8,25,0.116,2.526526611328125,0.626,1.5700535888671876,0.9564730224609375,0.6575,138,0.046,384000,384017,49152000,-63,60,-0.09023740310077519,63,8.214207848837209,127,33024,0,0.0,0,63
2,8,25,0.057,2.482106689453125,0.624,1.611039794921875,0.8710668945312501,0.629,145,0.04833333333333333,384000,384017,49152000,-64,61,-0.10308482527240878,64,8.274873073839851,127,33681,0,0.0,0,64
0,8,26,0.084,2.65402685546875,0.633,1.58540771484375,1.068619140625,0.6423,153,0.051,384000,384017,49152000,-62,58,-0.09543865937808048,62,8.187203154404516,127,33477,0,0.0,0,62
1,8,26,0.116,2.526526611328125,0.626,1.6047047119140625,0.9218218994140626,0.6463,128,0.042666666666666665,384000,384017,49152000,-63,61,-0.11014431239388794,63,8.264037108901286,127,32984,0,0.0,0,63
